frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.80536,0.18268,0.02814,0.00216,0.03593,1.38751,0.09680,0.03480,2955774.10000
60,2.20820,0.21952,0.03314,0.00215,0.03982,1.74199,0.10136,0.03840,3390293.45000
120,1.86570,0.14725,0.02875,0.00216,0.03935,1.47016,0.10113,0.03854,1763572.05000
180,1.83756,0.11718,0.02719,0.00216,0.03927,1.47864,0.10333,0.03853,1334104.85000
240,1.57658,0.12047,0.02688,0.00237,0.03917,1.22238,0.09805,0.03853,1563999.05000
300,1.20360,0.10394,0.02658,0.00251,0.03888,0.86599,0.09649,0.03850,942806.45000
360,1.65225,0.08772,0.02670,0.00236,0.03924,1.33290,0.09601,0.03868,651664.20000
420,1.80052,0.07999,0.02679,0.00257,0.03915,1.49523,0.09295,0.03830,531526.60000
480,1.34721,0.06384,0.02673,0.00228,0.03915,1.04686,0.09735,0.03790,335265.25000
540,1.32272,0.06968,0.02665,0.00227,0.03908,1.01759,0.09821,0.03840,394504.35000
600,3.21913,0.28989,0.03235,0.00292,0.03944,2.69439,0.09416,0.03948,4763095.10000
660,4.63341,0.40184,0.03301,0.00289,0.04003,3.98471,0.09845,0.03978,7008309.50000
720,4.82430,0.40613,0.03248,0.00310,0.03972,4.18131,0.09163,0.03910,6851715.25000
780,4.27473,0.41609,0.03395,0.00315,0.04055,3.62088,0.09366,0.04013,6833477.10000
840,3.27424,0.45716,0.02960,0.00272,0.03988,2.56992,0.10153,0.03966,7736553.50000
900,4.00516,0.48436,0.03017,0.00287,0.03959,3.27926,0.09740,0.04303,7912527.20000
960,3.76469,0.41335,0.03024,0.00318,0.04007,3.12013,0.09304,0.04146,6364935.35000
1020,3.21962,0.33826,0.03227,0.00290,0.04015,2.64081,0.09524,0.03957,5390683.35000
1080,2.89676,0.28166,0.03171,0.00294,0.03982,2.37885,0.09314,0.03979,4144249.10000
1140,2.08921,0.18521,0.02884,0.00268,0.03939,1.67692,0.09258,0.03862,2469341.80000
1200,2.01328,0.20148,0.02958,0.00289,0.03968,1.57323,0.09576,0.03884,2921893.50000
1260,1.13196,0.13106,0.02773,0.00240,0.03915,0.76102,0.09983,0.03829,1600253.25000
1320,1.29462,0.16660,0.02738,0.00228,0.03897,0.88900,0.09973,0.03825,1828604.05000
1380,3.52221,0.36184,0.02872,0.00278,0.03868,2.93349,0.09151,0.03981,5316520.45000
1440,4.69375,0.45875,0.02911,0.00286,0.03838,4.00942,0.09013,0.03912,7541994.90000
1500,4.21845,0.52138,0.02809,0.00293,0.03734,3.47912,0.08780,0.03769,9143355.45000
1560,2.81170,0.53072,0.02820,0.00302,0.03625,2.06467,0.08677,0.03605,10284076.30000
1620,2.53431,0.51824,0.02807,0.00289,0.03556,1.80600,0.08500,0.03414,10793619.40000
1680,2.94375,0.52418,0.02761,0.00309,0.03392,2.21341,0.08237,0.03324,11201993.95000
1740,2.50682,0.51806,0.02566,0.00306,0.03129,1.79610,0.08059,0.02961,11196844.40000
1800,2.40523,0.52269,0.02512,0.00300,0.03119,1.68834,0.08083,0.02818,11241036.30000
1860,2.71895,0.53267,0.02620,0.00295,0.03276,1.98736,0.08118,0.03012,11241007.00000
1920,2.94027,0.54992,0.02794,0.00295,0.03508,2.17933,0.08389,0.03460,11240943.40000
1980,2.91556,0.53228,0.02778,0.00294,0.03619,2.15984,0.08741,0.03576,10257777.50000
2040,2.77534,0.42880,0.02729,0.00294,0.03676,2.11836,0.09317,0.03650,7118236.70000
2100,2.98417,0.33378,0.02804,0.00312,0.03866,2.41800,0.09418,0.04131,4779189.60000
2160,0.93725,0.15059,0.02418,0.00235,0.03440,0.56038,0.09516,0.03500,1653801.50000
2220,0.27372,0.01774,0.02042,0.00215,0.02551,0.06134,0.08592,0.02839,250198.20000
2280,0.24526,0.00986,0.01995,0.00214,0.02479,0.04455,0.08567,0.02569,81778.25000
2340,0.22520,0.00560,0.01972,0.00212,0.02442,0.03322,0.08566,0.02327,0.00000
2400,0.22576,0.00546,0.01973,0.00212,0.02441,0.03326,0.08570,0.02327,0.00000
2460,0.22534,0.00559,0.01971,0.00212,0.02441,0.03330,0.08572,0.02327,0.00000
