frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,2.26347,0.56344,0.03026,0.00217,0.03603,1.46269,0.09724,0.03485,18152448.10000
60,2.74342,0.59810,0.03327,0.00220,0.03976,1.90341,0.09911,0.03811,18586967.45000
120,2.24390,0.45395,0.03194,0.00253,0.03957,1.54436,0.09978,0.03843,13912915.15000
180,1.90664,0.11841,0.02702,0.00277,0.03939,1.55531,0.10018,0.03815,1334104.85000
240,1.65815,0.12360,0.02672,0.00277,0.03941,1.29972,0.09690,0.03834,1563999.05000
300,1.19992,0.10715,0.02632,0.00288,0.03878,0.86672,0.09451,0.03812,942806.45000
360,1.67494,0.08833,0.02675,0.00251,0.03922,1.35215,0.09477,0.03852,651664.20000
420,1.86505,0.08257,0.02697,0.00260,0.03940,1.56149,0.09088,0.03806,531526.60000
480,1.36048,0.07222,0.02683,0.00275,0.03900,1.06615,0.09141,0.03753,335265.25000
540,1.33153,0.07803,0.02670,0.00288,0.03896,1.02981,0.09234,0.03835,394504.35000
