frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.27194,0.06913,0.10685,0.06712,0.01515,3553381.35000
60,0.30211,0.07510,0.12781,0.06804,0.01739,3662944.30000
120,0.30011,0.06895,0.13008,0.06791,0.02035,2176008.00000
180,0.25679,0.04606,0.10723,0.06880,0.02060,1760027.75000
240,0.32216,0.07871,0.13882,0.06965,0.02089,2911562.30000
300,0.35194,0.09654,0.15131,0.06907,0.02093,3211259.30000
360,0.35836,0.09888,0.15484,0.06953,0.02102,3197534.35000
420,0.31430,0.07322,0.13775,0.06911,0.02089,2080022.75000
480,0.31791,0.07658,0.13849,0.06866,0.02080,2143202.10000
540,0.32669,0.08425,0.13990,0.06807,0.02057,2652802.15000
600,0.33626,0.09187,0.14234,0.06815,0.02014,2718203.40000
660,0.26722,0.05154,0.11417,0.06787,0.02040,1551084.95000
720,0.29043,0.06747,0.11949,0.06898,0.02022,2455791.85000
780,0.27966,0.06653,0.11220,0.06743,0.02049,2049572.45000
840,0.22131,0.03463,0.08665,0.06648,0.02063,904159.35000
900,0.29605,0.07267,0.12377,0.06678,0.01915,2916661.70000
960,0.35086,0.09802,0.14959,0.06926,0.02005,3578981.25000
1020,0.33424,0.08511,0.14480,0.06927,0.02061,2767377.40000
1080,0.34680,0.09038,0.15283,0.06922,0.02094,2271770.15000
1140,0.37966,0.11280,0.16163,0.07043,0.02113,2903832.20000
1200,0.34676,0.09551,0.14719,0.06962,0.02062,2424988.15000
1260,0.32107,0.08383,0.13440,0.06858,0.02038,2026572.10000
1320,0.33424,0.08943,0.14115,0.06974,0.02056,2301510.50000
1380,0.34037,0.09049,0.14598,0.06975,0.02080,2404923.35000
1440,0.34667,0.09066,0.15135,0.06972,0.02100,2983851.65000
1500,0.46722,0.13616,0.22572,0.07011,0.02122,5965339.50000
1560,0.48589,0.14867,0.23151,0.07062,0.02093,6425388.50000
1620,0.49177,0.14951,0.23639,0.07070,0.02119,6351675.30000
1680,0.38363,0.10283,0.17711,0.06916,0.02085,3853289.10000
1740,0.30037,0.06741,0.12999,0.06813,0.02101,1807302.25000
1800,0.30255,0.06990,0.12998,0.06808,0.02105,1503980.35000
1860,0.30388,0.06968,0.13130,0.06795,0.02131,1304820.90000
1920,0.30065,0.06566,0.13198,0.06798,0.02120,1271388.55000
1980,0.29311,0.05886,0.13174,0.06777,0.02099,1145896.95000
2040,0.28201,0.05333,0.12845,0.06733,0.02094,833803.50000
2100,0.27261,0.04957,0.12306,0.06731,0.02089,724541.55000
2160,0.26225,0.04262,0.11866,0.06739,0.02094,651558.70000
2220,0.25711,0.03660,0.11942,0.06729,0.02100,606690.35000
2280,0.18291,0.01978,0.06697,0.06618,0.01752,387407.30000
2340,0.28039,0.06348,0.11465,0.06961,0.01923,2264677.55000
2400,0.38704,0.11006,0.17177,0.07109,0.02031,3983123.90000
2460,0.40772,0.11936,0.18280,0.07102,0.02065,4233659.50000
2520,0.38302,0.11049,0.16721,0.07057,0.02086,3774183.40000
2580,0.36699,0.11460,0.14723,0.07014,0.02097,2738790.20000
2640,0.34706,0.10062,0.14224,0.06935,0.02105,2234217.40000
2700,0.33506,0.08268,0.14899,0.06898,0.02116,1876452.05000
2760,0.31460,0.06817,0.14456,0.06868,0.02100,1554160.70000
2820,0.31762,0.07389,0.14218,0.06843,0.02107,1444209.80000
2880,0.29360,0.06775,0.12066,0.06845,0.02127,1270269.50000
