frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.41628,0.15324,0.02014,0.00211,0.02505,0.09866,0.06895,0.01679,3553381.35000
60,0.46769,0.16420,0.02096,0.00209,0.02720,0.13267,0.07069,0.01779,3662944.30000
120,0.48067,0.12859,0.02219,0.00210,0.03039,0.17358,0.07359,0.01911,2176008.00000
180,0.44532,0.10126,0.02150,0.00209,0.03002,0.16596,0.07369,0.01927,1760027.75000
240,0.50473,0.14677,0.02228,0.00208,0.03066,0.17740,0.07450,0.01944,2911562.30000
300,0.52424,0.16464,0.02253,0.00210,0.03073,0.17857,0.07483,0.01957,3211259.30000
360,0.52589,0.16529,0.02262,0.00210,0.03095,0.17912,0.07532,0.01946,3197534.35000
420,0.47506,0.12383,0.02202,0.00209,0.03057,0.17081,0.07521,0.01912,2080022.75000
480,0.47818,0.12505,0.02216,0.00210,0.03062,0.17260,0.07493,0.01907,2143202.10000
540,0.50503,0.15164,0.02235,0.00208,0.03064,0.17332,0.07422,0.01909,2652802.15000
600,0.51844,0.16840,0.02269,0.00209,0.03056,0.17063,0.07384,0.01871,2718203.40000
660,0.45214,0.10163,0.02196,0.00210,0.03063,0.17238,0.07326,0.01912,1551084.95000
720,0.48084,0.13236,0.02176,0.00209,0.03036,0.17087,0.07338,0.01905,2455791.85000
780,0.45772,0.12513,0.02095,0.00210,0.02953,0.15479,0.07410,0.01899,2049572.45000
840,0.40771,0.07974,0.02039,0.00210,0.02918,0.15062,0.07423,0.01890,904159.35000
900,0.48585,0.15795,0.02093,0.00209,0.02951,0.15332,0.07190,0.01870,2916661.70000
960,0.54167,0.18089,0.02270,0.00210,0.03097,0.18132,0.07289,0.01921,3578981.25000
1020,0.50886,0.14748,0.02254,0.00209,0.03082,0.18076,0.07425,0.01934,2767377.40000
1080,0.49437,0.13692,0.02233,0.00209,0.03060,0.17678,0.07503,0.01935,2271770.15000
1140,0.54058,0.17477,0.02293,0.00210,0.03116,0.18277,0.07546,0.01952,2903832.20000
1200,0.52297,0.15626,0.02335,0.00210,0.03160,0.18402,0.07454,0.01897,2424988.15000
1260,0.49319,0.13715,0.02286,0.00210,0.03115,0.17549,0.07418,0.01861,2026572.10000
1320,0.50038,0.14559,0.02215,0.00209,0.03060,0.17438,0.07532,0.01896,2301510.50000
1380,0.51038,0.14774,0.02284,0.00210,0.03119,0.18010,0.07553,0.01913,2404923.35000
1440,0.53372,0.15749,0.02387,0.00210,0.03217,0.19041,0.07551,0.01930,2983851.65000
1500,0.64047,0.25981,0.02545,0.00210,0.03219,0.19431,0.07553,0.01932,5965339.50000
1560,0.65596,0.28836,0.02426,0.00210,0.03156,0.18252,0.07507,0.01924,6425388.50000
1620,0.65582,0.28153,0.02517,0.00210,0.03217,0.18766,0.07547,0.01919,6351675.30000
1680,0.55071,0.18768,0.02345,0.00211,0.03146,0.17930,0.07534,0.01904,3853289.10000
1740,0.46367,0.10564,0.02256,0.00209,0.03103,0.17607,0.07532,0.01904,1807302.25000
1800,0.46147,0.10460,0.02225,0.00210,0.03082,0.17609,0.07546,0.01921,1503980.35000
1860,0.45722,0.10195,0.02221,0.00211,0.03082,0.17409,0.07590,0.01930,1304820.90000
1920,0.45678,0.09926,0.02229,0.00210,0.03106,0.17538,0.07582,0.01917,1271388.55000
1980,0.44665,0.09079,0.02236,0.00211,0.03093,0.17423,0.07555,0.01912,1145896.95000
2040,0.43214,0.08163,0.02195,0.00210,0.03060,0.17024,0.07526,0.01907,833803.50000
2100,0.43054,0.07944,0.02180,0.00210,0.03044,0.17107,0.07529,0.01914,724541.55000
2160,0.42504,0.07581,0.02171,0.00211,0.03036,0.16940,0.07532,0.01922,651558.70000
2220,0.41783,0.07250,0.02124,0.00211,0.02998,0.16620,0.07526,0.01918,606690.35000
2280,0.31200,0.04185,0.01886,0.00210,0.02546,0.10381,0.06969,0.01835,387407.30000
2340,0.45360,0.13090,0.02078,0.00210,0.02855,0.14748,0.07305,0.01890,2264677.55000
2400,0.56537,0.20529,0.02294,0.00210,0.03098,0.17875,0.07473,0.01905,3983123.90000
2460,0.57717,0.21125,0.02316,0.00210,0.03129,0.18234,0.07520,0.01919,4233659.50000
2520,0.55950,0.19553,0.02325,0.00210,0.03130,0.18057,0.07486,0.01938,3774183.40000
2580,0.53086,0.17458,0.02231,0.00211,0.03080,0.17606,0.07479,0.01929,2738790.20000
2640,0.50408,0.14750,0.02210,0.00210,0.03068,0.17556,0.07527,0.01940,2234217.40000
2700,0.48165,0.12759,0.02199,0.00210,0.03053,0.17334,0.07570,0.01926,1876452.05000
2760,0.46377,0.11082,0.02162,0.00212,0.03021,0.17229,0.07561,0.01924,1554160.70000
2820,0.45992,0.10825,0.02177,0.00210,0.03044,0.17171,0.07545,0.01931,1444209.80000
2880,0.45082,0.09931,0.02149,0.00211,0.03025,0.17110,0.07557,0.01947,1270269.50000
2940,0.43480,0.08691,0.02152,0.00211,0.03028,0.16811,0.07521,0.01938,1185182.60000
3000,0.53048,0.17988,0.02266,0.00210,0.03010,0.17075,0.07424,0.01917,3737532.35000
3060,0.60664,0.23771,0.02417,0.00210,0.03104,0.18534,0.07490,0.01946,5419981.65000
3120,0.61004,0.23426,0.02465,0.00210,0.03167,0.19065,0.07495,0.01951,5328916.45000
3180,0.59884,0.22390,0.02432,0.00210,0.03173,0.19026,0.07508,0.01957,4942521.95000
3240,0.57689,0.20319,0.02413,0.00211,0.03184,0.18874,0.07530,0.01954,4355188.50000
3300,0.56210,0.19025,0.02390,0.00211,0.03186,0.18691,0.07549,0.01946,3918437.60000
3360,0.54368,0.17537,0.02336,0.00211,0.03163,0.18425,0.07566,0.01940,3488605.15000
3420,0.52463,0.16054,0.02277,0.00210,0.03115,0.18108,0.07573,0.01931,3070083.20000
3480,0.50698,0.15156,0.02196,0.00210,0.03052,0.17504,0.07527,0.01941,2804740.95000
3540,0.49559,0.14749,0.02114,0.00211,0.02978,0.16909,0.07491,0.01934,2554279.00000
3600,0.49301,0.14245,0.02141,0.00211,0.02997,0.17054,0.07512,0.01941,2404749.20000
3660,0.48392,0.13595,0.02182,0.00211,0.03009,0.16982,0.07381,0.01896,2364661.40000
3720,0.46598,0.12227,0.02188,0.00210,0.02981,0.16697,0.07259,0.01866,2323845.85000
3780,0.44825,0.11665,0.02137,0.00210,0.02901,0.15693,0.07174,0.01853,2171285.25000
3840,0.43312,0.11176,0.02111,0.00210,0.02834,0.14901,0.07115,0.01848,2069926.10000
3900,0.41595,0.10214,0.02086,0.00210,0.02802,0.14182,0.07101,0.01845,1706132.85000
3960,0.41809,0.09777,0.02116,0.00211,0.02837,0.14686,0.07180,0.01856,1310622.90000
4020,0.42253,0.09589,0.02143,0.00212,0.02891,0.15107,0.07278,0.01880,1119696.90000
4080,0.42984,0.09780,0.02071,0.00211,0.02898,0.15572,0.07340,0.01880,958432.85000
4140,0.40772,0.08502,0.02041,0.00211,0.02840,0.14936,0.07240,0.01860,891260.80000
4200,0.36722,0.06326,0.02026,0.00210,0.02762,0.13192,0.07169,0.01883,795127.20000
4260,0.38865,0.11787,0.02034,0.00211,0.02635,0.10086,0.06991,0.01865,2716290.05000
4320,0.67790,0.32668,0.02367,0.00210,0.03024,0.16975,0.07439,0.01906,7242797.15000
4380,0.62468,0.28435,0.02328,0.00211,0.02973,0.16048,0.07379,0.01913,6033148.00000
4440,0.36881,0.05838,0.02090,0.00209,0.02821,0.13720,0.07196,0.01873,867288.75000
4500,0.38119,0.06394,0.02028,0.00210,0.02835,0.14373,0.07285,0.01866,698827.95000
4560,0.35858,0.05869,0.01958,0.00210,0.02724,0.12947,0.07112,0.01865,684012.30000
4620,0.37925,0.06691,0.02046,0.00211,0.02803,0.13938,0.07184,0.01862,872447.40000
4680,0.43051,0.11960,0.02062,0.00210,0.02786,0.13935,0.07068,0.01842,2415162.35000
4740,0.53482,0.23528,0.02123,0.00210,0.02746,0.12795,0.07007,0.01834,5264990.15000
4800,0.61680,0.32902,0.02158,0.00210,0.02665,0.11749,0.06940,0.01876,7605016.10000
4860,0.58966,0.31805,0.02057,0.00210,0.02560,0.10263,0.06905,0.01891,7298187.05000
4920,0.59208,0.32408,0.02052,0.00209,0.02530,0.09907,0.06889,0.01894,7437915.15000
4980,0.63082,0.35196,0.02127,0.00210,0.02599,0.10900,0.06912,0.01873,8149009.90000
5040,0.54834,0.26326,0.02084,0.00210,0.02658,0.11495,0.06948,0.01872,5907876.05000
5100,0.56856,0.28948,0.02074,0.00211,0.02620,0.11016,0.06925,0.01842,6713387.25000
5160,0.64788,0.36636,0.02125,0.00210,0.02613,0.11183,0.06904,0.01869,8461629.95000
5220,0.64403,0.36861,0.02088,0.00209,0.02575,0.10620,0.06892,0.01863,8496360.00000
5280,0.62674,0.36649,0.02051,0.00209,0.02487,0.09310,0.06873,0.01854,8448473.20000
5340,0.52047,0.29212,0.01897,0.00210,0.02288,0.06752,0.06785,0.01694,6607069.85000
5400,0.22123,0.04106,0.01563,0.00204,0.01911,0.03121,0.06553,0.01549,1056943.50000
5460,0.17994,0.01293,0.01483,0.00193,0.01793,0.02106,0.06545,0.01492,344217.00000
