resolution,variant,renderer,pass,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
640x360,8,DonutDeferredPrepass,total,0.169535,0.138745,0.334893,0.429004,0.038830,0.433800
640x360,8,DonutDeferredPrepass,depth_prepass,0.065319,0.052895,0.141274,0.186122,0.006610,0.188670
640x360,8,DonutDeferredPrepass,geometry,0.076210,0.058950,0.163970,0.213457,0.005950,0.215150
640x360,8,DonutDeferredPrepass,lighting,0.010868,0.010840,0.011158,0.011271,0.010450,0.011380
640x360,8,DonutDeferredPrepass,tonemap,0.004176,0.004065,0.004750,0.004804,0.003400,0.004850
640x360,9,DonutVisGBuffer,total,0.215219,0.188145,0.361552,0.434677,0.088030,0.434850
640x360,9,DonutVisGBuffer,visibility,0.114982,0.087345,0.258870,0.335435,0.010460,0.338420
640x360,9,DonutVisGBuffer,visutil_histogram,0.005256,0.004985,0.006339,0.007073,0.003730,0.007310
640x360,9,DonutVisGBuffer,visutil_prefix,0.001985,0.001950,0.002100,0.002110,0.001910,0.002110
640x360,9,DonutVisGBuffer,visutil_flatten,0.006215,0.006270,0.006777,0.006883,0.003590,0.006910
640x360,9,DonutVisGBuffer,gbuffer,0.041695,0.041765,0.046253,0.050230,0.022950,0.050840
640x360,9,DonutVisGBuffer,lighting,0.010173,0.010090,0.010499,0.010696,0.009950,0.010760
640x360,9,DonutVisGBuffer,tonemap,0.004244,0.004140,0.004710,0.005021,0.003650,0.005030
1920x1080,8,DonutDeferredPrepass,total,0.341813,0.323695,0.476576,0.533182,0.107660,0.533610
1920x1080,8,DonutDeferredPrepass,depth_prepass,0.090194,0.084040,0.150122,0.192805,0.007760,0.194570
1920x1080,8,DonutDeferredPrepass,geometry,0.149768,0.142290,0.218659,0.241518,0.005920,0.246350
1920x1080,8,DonutDeferredPrepass,lighting,0.068471,0.068220,0.070288,0.071151,0.065940,0.071770
1920x1080,8,DonutDeferredPrepass,tonemap,0.019668,0.020565,0.021068,0.021274,0.014950,0.021310
1920x1080,9,DonutVisGBuffer,total,0.493828,0.493100,0.616124,0.657935,0.179940,0.677900
1920x1080,9,DonutVisGBuffer,visibility,0.160576,0.146180,0.289368,0.366681,0.012930,0.368610
1920x1080,9,DonutVisGBuffer,visutil_histogram,0.021793,0.021850,0.023648,0.025195,0.014830,0.025450
1920x1080,9,DonutVisGBuffer,visutil_prefix,0.002098,0.002100,0.002110,0.002120,0.001930,0.002120
1920x1080,9,DonutVisGBuffer,visutil_flatten,0.029308,0.030320,0.031550,0.032172,0.017930,0.032190
1920x1080,9,DonutVisGBuffer,gbuffer,0.156125,0.170690,0.183895,0.190979,0.021060,0.194310
1920x1080,9,DonutVisGBuffer,lighting,0.073276,0.074245,0.075528,0.075827,0.065450,0.075900
1920x1080,9,DonutVisGBuffer,tonemap,0.018894,0.019070,0.019437,0.019570,0.014920,0.019570
