frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.28578,0.14026,0.01132,0.00207,0.01298,0.04591,0.03181,0.00950,3553381.35000
60,0.31084,0.14863,0.01184,0.00209,0.01408,0.05649,0.03262,0.00944,3662944.30000
120,0.27687,0.10227,0.01235,0.00209,0.01559,0.06981,0.03312,0.00928,2176008.00000
180,0.25089,0.07837,0.01191,0.00209,0.01537,0.06902,0.03335,0.00914,1760027.75000
240,0.30506,0.12755,0.01262,0.00209,0.01566,0.07142,0.03401,0.01000,2911562.30000
300,0.32116,0.14256,0.01280,0.00209,0.01569,0.07275,0.03406,0.00986,3211259.30000
360,0.32330,0.14141,0.01291,0.00208,0.01584,0.07268,0.03443,0.00995,3197534.35000
420,0.27100,0.09581,0.01212,0.00209,0.01560,0.07086,0.03402,0.00935,2080022.75000
480,0.27374,0.09853,0.01236,0.00209,0.01568,0.07027,0.03385,0.00956,2143202.10000
540,0.29799,0.12133,0.01267,0.00208,0.01573,0.07096,0.03360,0.00946,2652802.15000
600,0.30732,0.13096,0.01290,0.00209,0.01574,0.06914,0.03339,0.00930,2718203.40000
660,0.24704,0.07267,0.01212,0.00209,0.01567,0.07091,0.03315,0.00915,1551084.95000
720,0.28795,0.11216,0.01200,0.00209,0.01553,0.07009,0.03352,0.00917,2455791.85000
780,0.27156,0.10042,0.01411,0.00209,0.01511,0.06562,0.03280,0.00909,2049572.45000
840,0.21736,0.05175,0.01079,0.00208,0.01477,0.06484,0.03231,0.00900,904159.35000
900,0.29996,0.13153,0.01144,0.00208,0.01501,0.06659,0.03292,0.00924,2916661.70000
960,0.33339,0.15573,0.01274,0.00209,0.01583,0.07245,0.03395,0.00901,3578981.25000
1020,0.30016,0.12274,0.01275,0.00209,0.01578,0.07248,0.03406,0.00902,2767377.40000
1080,0.28341,0.10586,0.01257,0.00209,0.01563,0.07254,0.03426,0.00909,2271770.15000
1140,0.31880,0.13507,0.01305,0.00208,0.01598,0.07447,0.03435,0.00944,2903832.20000
1200,0.29567,0.11554,0.01314,0.00209,0.01617,0.07380,0.03427,0.00980,2424988.15000
1260,0.27576,0.09839,0.01262,0.00210,0.01592,0.07112,0.03408,0.00989,2026572.10000
1320,0.28581,0.10860,0.01229,0.00209,0.01572,0.07169,0.03436,0.00922,2301510.50000
1380,0.29125,0.11126,0.01279,0.00209,0.01594,0.07318,0.03446,0.00954,2404923.35000
1440,0.30926,0.12716,0.01351,0.00209,0.01630,0.07536,0.03425,0.00981,2983851.65000
1500,0.42631,0.24097,0.01429,0.00208,0.01636,0.07642,0.03482,0.00985,5965339.50000
1560,0.44913,0.26734,0.01379,0.00208,0.01598,0.07378,0.03455,0.00975,6425388.50000
1620,0.44739,0.26261,0.01443,0.00209,0.01640,0.07549,0.03480,0.00984,6351675.30000
1680,0.34800,0.16465,0.01356,0.00209,0.01609,0.07336,0.03459,0.00983,3853289.10000
1740,0.25735,0.07919,0.01247,0.00210,0.01579,0.07253,0.03362,0.01000,1807302.25000
1800,0.24856,0.07194,0.01218,0.00209,0.01567,0.07119,0.03360,0.00996,1503980.35000
1860,0.24434,0.06585,0.01209,0.00209,0.01564,0.07110,0.03333,0.01001,1304820.90000
1920,0.23924,0.06355,0.01218,0.00208,0.01579,0.07108,0.03329,0.01004,1271388.55000
1980,0.23547,0.05946,0.01219,0.00209,0.01578,0.07084,0.03312,0.01002,1145896.95000
2040,0.22583,0.04993,0.01185,0.00210,0.01561,0.07005,0.03287,0.00929,833803.50000
2100,0.21800,0.04611,0.01175,0.00210,0.01551,0.06909,0.03272,0.00914,724541.55000
2160,0.21566,0.04357,0.01167,0.00210,0.01551,0.06902,0.03255,0.00909,651558.70000
2220,0.21153,0.04100,0.01142,0.00209,0.01530,0.06831,0.03253,0.00905,606690.35000
2280,0.16817,0.02452,0.00996,0.00196,0.01290,0.04834,0.03127,0.00818,387407.30000
