frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.27429,0.06868,0.10939,0.06706,0.01525,3553381.35000
60,0.30197,0.07500,0.12768,0.06809,0.01750,3662944.30000
120,0.30346,0.07051,0.13027,0.06801,0.02054,2176008.00000
180,0.25790,0.04653,0.10755,0.06898,0.02068,1760027.75000
240,0.32617,0.07900,0.14015,0.06977,0.02091,2911562.30000
300,0.35534,0.09666,0.15405,0.06909,0.02119,3211259.30000
360,0.35939,0.09920,0.15490,0.06946,0.02116,3197534.35000
420,0.31682,0.07363,0.13824,0.06899,0.02089,2080022.75000
480,0.32297,0.07702,0.13926,0.06845,0.02076,2143202.10000
540,0.32943,0.08461,0.13982,0.06811,0.02069,2652802.15000
600,0.33984,0.09206,0.14232,0.06817,0.02021,2718203.40000
660,0.26816,0.05181,0.11448,0.06775,0.02041,1551084.95000
720,0.29067,0.06767,0.11964,0.06894,0.02035,2455791.85000
780,0.28009,0.06662,0.11208,0.06736,0.02063,2049572.45000
840,0.22458,0.03462,0.08708,0.06643,0.02077,904159.35000
900,0.29605,0.07314,0.12315,0.06682,0.01932,2916661.70000
960,0.35179,0.09875,0.14953,0.06927,0.02030,3578981.25000
1020,0.33462,0.08577,0.14489,0.06920,0.02074,2767377.40000
1080,0.34788,0.09075,0.15286,0.06907,0.02095,2271770.15000
1140,0.38089,0.11324,0.16196,0.07029,0.02138,2903832.20000
1200,0.34633,0.09588,0.14649,0.06955,0.02077,2424988.15000
1260,0.32339,0.08448,0.13414,0.06850,0.02039,2026572.10000
1320,0.33484,0.08983,0.14076,0.06979,0.02065,2301510.50000
1380,0.34404,0.09085,0.14592,0.06991,0.02090,2404923.35000
1440,0.34986,0.09090,0.15185,0.06969,0.02117,2983851.65000
1500,0.47280,0.13632,0.22718,0.07009,0.02124,5965339.50000
1560,0.48696,0.14902,0.23232,0.07047,0.02110,6425388.50000
1620,0.49790,0.15009,0.24157,0.07064,0.02115,6351675.30000
1680,0.38519,0.10301,0.17804,0.06927,0.02088,3853289.10000
1740,0.30487,0.06785,0.12995,0.06814,0.02095,1807302.25000
1800,0.30357,0.07051,0.13016,0.06805,0.02124,1503980.35000
1860,0.30432,0.06982,0.13144,0.06790,0.02133,1304820.90000
1920,0.30097,0.06588,0.13204,0.06784,0.02124,1271388.55000
1980,0.29382,0.05900,0.13173,0.06773,0.02104,1145896.95000
2040,0.28277,0.05373,0.12834,0.06736,0.02095,833803.50000
2100,0.27296,0.04987,0.12298,0.06718,0.02101,724541.55000
2160,0.26206,0.04289,0.11867,0.06718,0.02108,651558.70000
2220,0.25683,0.03687,0.11956,0.06705,0.02099,606690.35000
2280,0.18397,0.01934,0.06714,0.06618,0.01726,387407.30000
2340,0.28105,0.06345,0.11525,0.06961,0.01932,2264677.55000
2400,0.39146,0.11024,0.17564,0.07118,0.02046,3983123.90000
2460,0.41082,0.11975,0.18284,0.07105,0.02071,4233659.50000
2520,0.38582,0.11342,0.16685,0.07060,0.02104,3774183.40000
2580,0.37322,0.11480,0.14710,0.06999,0.02104,2738790.20000
2640,0.34763,0.10101,0.14221,0.06925,0.02117,2234217.40000
2700,0.34001,0.08296,0.14935,0.06881,0.02120,1876452.05000
2760,0.32446,0.06819,0.14591,0.06857,0.02101,1554160.70000
2820,0.32599,0.07413,0.14255,0.06853,0.02099,1444209.80000
2880,0.29392,0.06792,0.12191,0.06946,0.02117,1270269.50000
2940,0.27955,0.05513,0.11886,0.06814,0.02121,1185182.60000
3000,0.36764,0.09889,0.16124,0.06919,0.02056,3737532.35000
3060,0.43648,0.12397,0.20180,0.07073,0.02073,5419981.65000
3120,0.44484,0.12794,0.21092,0.07069,0.02097,5328916.45000
3180,0.42870,0.12369,0.19903,0.07055,0.02107,4942521.95000
