frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.19043,0.11088,0.00381,0.00192,0.00332,0.02850,0.00739,0.00334,3553381.35000
60,0.19897,0.11685,0.00392,0.00194,0.00367,0.03071,0.00737,0.00337,3662944.30000
120,0.16511,0.07719,0.00394,0.00196,0.00397,0.03277,0.00702,0.00337,2176008.00000
180,0.13470,0.05223,0.00374,0.00192,0.00392,0.03203,0.00689,0.00333,1760027.75000
240,0.18229,0.09794,0.00390,0.00202,0.00426,0.03286,0.00694,0.00366,2911562.30000
300,0.19913,0.11236,0.00409,0.00210,0.00440,0.03429,0.00703,0.00387,3211259.30000
360,0.20159,0.11234,0.00409,0.00210,0.00437,0.03474,0.00723,0.00388,3197534.35000
420,0.15562,0.06996,0.00391,0.00201,0.00410,0.03359,0.00709,0.00352,2080022.75000
480,0.15677,0.07195,0.00396,0.00200,0.00410,0.03375,0.00703,0.00357,2143202.10000
540,0.17233,0.08808,0.00398,0.00202,0.00414,0.03334,0.00701,0.00354,2652802.15000
600,0.18179,0.09483,0.00412,0.00200,0.00410,0.03374,0.00702,0.00337,2718203.40000
660,0.12935,0.04581,0.00380,0.00192,0.00396,0.03261,0.00692,0.00335,1551084.95000
720,0.16560,0.08222,0.00380,0.00192,0.00406,0.03210,0.00692,0.00347,2455791.85000
780,0.15222,0.07045,0.00377,0.00192,0.00397,0.03110,0.00693,0.00339,2049572.45000
840,0.11116,0.02979,0.00372,0.00193,0.00382,0.03048,0.00692,0.00334,904159.35000
900,0.18412,0.09899,0.00379,0.00194,0.00388,0.03164,0.00697,0.00336,2916661.70000
960,0.20949,0.12531,0.00380,0.00192,0.00407,0.03355,0.00701,0.00337,3578981.25000
1020,0.18107,0.09723,0.00380,0.00192,0.00397,0.03354,0.00695,0.00336,2767377.40000
1080,0.16807,0.08413,0.00379,0.00192,0.00396,0.03367,0.00696,0.00335,2271770.15000
1140,0.18743,0.10218,0.00395,0.00197,0.00410,0.03472,0.00696,0.00335,2903832.20000
1200,0.16899,0.08293,0.00391,0.00194,0.00410,0.03493,0.00704,0.00333,2424988.15000
1260,0.15346,0.06906,0.00379,0.00192,0.00401,0.03414,0.00691,0.00333,2026572.10000
1320,0.16229,0.07847,0.00381,0.00192,0.00397,0.03371,0.00692,0.00333,2301510.50000
1380,0.16591,0.08074,0.00387,0.00192,0.00399,0.03439,0.00690,0.00336,2404923.35000
1440,0.18580,0.09727,0.00411,0.00202,0.00420,0.03532,0.00701,0.00336,2983851.65000
1500,0.31644,0.21993,0.00538,0.00210,0.00457,0.04012,0.00745,0.00416,5965339.50000
1560,0.34125,0.24599,0.00555,0.00210,0.00452,0.03821,0.00736,0.00429,6425388.50000
1620,0.33935,0.24242,0.00555,0.00211,0.00457,0.03900,0.00739,0.00428,6351675.30000
1680,0.22582,0.13566,0.00444,0.00208,0.00441,0.03655,0.00716,0.00369,3853289.10000
1740,0.14203,0.05742,0.00382,0.00195,0.00397,0.03393,0.00694,0.00333,1807302.25000
1800,0.13301,0.04882,0.00379,0.00193,0.00393,0.03378,0.00691,0.00334,1503980.35000
1860,0.12708,0.04288,0.00379,0.00192,0.00393,0.03371,0.00692,0.00334,1304820.90000
1920,0.12586,0.04155,0.00379,0.00193,0.00395,0.03345,0.00692,0.00333,1271388.55000
1980,0.12096,0.03747,0.00380,0.00192,0.00395,0.03314,0.00692,0.00336,1145896.95000
2040,0.11229,0.02888,0.00380,0.00194,0.00394,0.03287,0.00692,0.00336,833803.50000
2100,0.10910,0.02571,0.00381,0.00195,0.00393,0.03253,0.00694,0.00336,724541.55000
2160,0.10632,0.02331,0.00381,0.00192,0.00393,0.03219,0.00693,0.00336,651558.70000
2220,0.10320,0.02105,0.00382,0.00193,0.00391,0.03169,0.00692,0.00335,606690.35000
2280,0.09272,0.01466,0.00377,0.00195,0.00371,0.02800,0.00691,0.00333,387407.30000
2340,0.16007,0.07819,0.00375,0.00194,0.00388,0.03127,0.00695,0.00334,2264677.55000
2400,0.23183,0.14553,0.00391,0.00193,0.00420,0.03510,0.00715,0.00335,3983123.90000
2460,0.24507,0.15609,0.00405,0.00192,0.00406,0.03554,0.00710,0.00338,4233659.50000
2520,0.21907,0.13446,0.00381,0.00193,0.00405,0.03417,0.00698,0.00337,3774183.40000
2580,0.18062,0.09658,0.00379,0.00192,0.00395,0.03328,0.00691,0.00336,2738790.20000
2640,0.16418,0.08004,0.00379,0.00192,0.00395,0.03335,0.00692,0.00334,2234217.40000
2700,0.14935,0.06601,0.00379,0.00193,0.00396,0.03305,0.00693,0.00335,1876452.05000
2760,0.13762,0.05453,0.00379,0.00192,0.00391,0.03240,0.00691,0.00336,1554160.70000
2820,0.13413,0.05120,0.00379,0.00192,0.00394,0.03273,0.00691,0.00337,1444209.80000
2880,0.12721,0.04415,0.00378,0.00193,0.00394,0.03266,0.00691,0.00335,1270269.50000
2940,0.12248,0.03916,0.00378,0.00193,0.00396,0.03241,0.00693,0.00335,1185182.60000
3000,0.22274,0.13183,0.00423,0.00202,0.00423,0.03481,0.00720,0.00374,3737532.35000
3060,0.29096,0.19747,0.00454,0.00210,0.00451,0.03813,0.00748,0.00417,5419981.65000
3120,0.28808,0.19455,0.00458,0.00210,0.00459,0.03796,0.00742,0.00407,5328916.45000
3180,0.27017,0.17838,0.00434,0.00211,0.00460,0.03702,0.00744,0.00396,4942521.95000
3240,0.24748,0.15705,0.00422,0.00211,0.00461,0.03654,0.00741,0.00390,4355188.50000
3300,0.23083,0.14106,0.00415,0.00210,0.00456,0.03582,0.00736,0.00390,3918437.60000
3360,0.21308,0.12441,0.00414,0.00211,0.00451,0.03508,0.00737,0.00387,3488605.15000
3420,0.19259,0.10627,0.00407,0.00211,0.00431,0.03422,0.00721,0.00386,3070083.20000
3480,0.17883,0.09474,0.00399,0.00210,0.00417,0.03317,0.00696,0.00377,2804740.95000
3540,0.17211,0.08913,0.00383,0.00208,0.00415,0.03207,0.00698,0.00377,2554279.00000
3600,0.16878,0.08545,0.00390,0.00203,0.00421,0.03218,0.00698,0.00374,2404749.20000
3660,0.16901,0.08501,0.00391,0.00201,0.00422,0.03268,0.00702,0.00377,2364661.40000
3720,0.16672,0.08250,0.00392,0.00201,0.00418,0.03327,0.00700,0.00377,2323845.85000
3780,0.16242,0.07817,0.00387,0.00200,0.00411,0.03280,0.00710,0.00374,2171285.25000
3840,0.15833,0.07402,0.00388,0.00200,0.00410,0.03250,0.00710,0.00370,2069926.10000
3900,0.14523,0.06163,0.00376,0.00194,0.00403,0.03225,0.00695,0.00338,1706132.85000
3960,0.13232,0.04912,0.00375,0.00193,0.00388,0.03238,0.00691,0.00332,1310622.90000
4020,0.12370,0.04080,0.00378,0.00192,0.00386,0.03229,0.00691,0.00333,1119696.90000
4080,0.11903,0.03565,0.00377,0.00192,0.00386,0.03262,0.00692,0.00337,958432.85000
