resolution,width,height,variant,metric,column_name,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
240x135,240,135,8,V8 Total,total,0.154475,0.126555,0.322985,0.419756,0.031600,0.422350
240x135,240,135,8,V8 G-buffer make,geometry,0.070798,0.056005,0.160977,0.211578,0.005980,0.212770
240x135,240,135,8,V8 Depth prepass,depth_prepass,0.063508,0.051840,0.139638,0.184894,0.006400,0.186850
240x135,240,135,9,V9 Total,total,0.177182,0.149360,0.318726,0.396142,0.070540,0.398590
240x135,240,135,9,V9 G-buffer,gbuffer,0.024909,0.024840,0.027315,0.028408,0.018830,0.028590
240x135,240,135,9,V9 Visibility,visibility,0.106087,0.079215,0.242817,0.318923,0.010120,0.321080
480x270,480,270,8,V8 Total,total,0.163952,0.133170,0.337244,0.437007,0.035420,0.439300
480x270,480,270,8,V8 G-buffer make,geometry,0.074457,0.057700,0.167538,0.217987,0.005990,0.219780
480x270,480,270,8,V8 Depth prepass,depth_prepass,0.065060,0.052840,0.142362,0.187973,0.006460,0.191240
480x270,480,270,9,V9 Total,total,0.197692,0.168885,0.342924,0.422076,0.081490,0.422240
480x270,480,270,9,V9 G-buffer,gbuffer,0.033136,0.033040,0.036009,0.039101,0.020810,0.040120
480x270,480,270,9,V9 Visibility,visibility,0.112124,0.084570,0.254243,0.330933,0.010790,0.333890
960x540,960,540,8,V8 Total,total,0.195012,0.161080,0.354822,0.446817,0.049380,0.451240
960x540,960,540,8,V8 G-buffer make,geometry,0.087221,0.067635,0.168360,0.218317,0.005940,0.218690
960x540,960,540,8,V8 Depth prepass,depth_prepass,0.068477,0.055380,0.143689,0.188400,0.006830,0.189510
960x540,960,540,9,V9 Total,total,0.258436,0.235870,0.410001,0.472764,0.096430,0.473310
960x540,960,540,9,V9 G-buffer,gbuffer,0.055701,0.057095,0.066585,0.070014,0.018410,0.070050
960x540,960,540,9,V9 Visibility,visibility,0.124254,0.097630,0.265881,0.346694,0.010910,0.347750
1920x1080,1920,1080,8,V8 Total,total,0.344683,0.327350,0.481030,0.543393,0.107580,0.550500
1920x1080,1920,1080,8,V8 G-buffer make,geometry,0.150283,0.142265,0.219605,0.242242,0.005960,0.245500
1920x1080,1920,1080,8,V8 Depth prepass,depth_prepass,0.090726,0.084545,0.151170,0.196656,0.007750,0.202080
1920x1080,1920,1080,9,V9 Total,total,0.498629,0.498515,0.621810,0.658382,0.181860,0.684180
1920x1080,1920,1080,9,V9 G-buffer,gbuffer,0.158612,0.174820,0.185480,0.190301,0.021070,0.190410
1920x1080,1920,1080,9,V9 Visibility,visibility,0.160861,0.146500,0.289026,0.368760,0.013070,0.369270
