frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.30043,0.14189,0.01093,0.00210,0.01309,0.05852,0.03269,0.00880,3553381.35000
60,0.33096,0.15344,0.01202,0.00216,0.01460,0.07326,0.03390,0.00900,3662944.30000
120,0.29370,0.10274,0.01236,0.00208,0.01555,0.08700,0.03347,0.00902,2176008.00000
180,0.27189,0.07907,0.01194,0.00208,0.01533,0.08701,0.03580,0.00900,1760027.75000
240,0.32687,0.12859,0.01261,0.00209,0.01565,0.09241,0.03366,0.00994,2911562.30000
300,0.34137,0.14376,0.01283,0.00208,0.01567,0.09200,0.03391,0.00994,3211259.30000
360,0.34312,0.14303,0.01306,0.00208,0.01583,0.09382,0.03388,0.00997,3197534.35000
420,0.29175,0.09726,0.01241,0.00208,0.01556,0.08932,0.03385,0.00997,2080022.75000
480,0.29752,0.09972,0.01257,0.00209,0.01562,0.09018,0.03360,0.00973,2143202.10000
540,0.32159,0.12328,0.01270,0.00210,0.01572,0.09050,0.03345,0.00942,2652802.15000
600,0.32659,0.13171,0.01288,0.00209,0.01571,0.08879,0.03338,0.00894,2718203.40000
660,0.26619,0.07283,0.01203,0.00209,0.01563,0.08972,0.03311,0.00902,1551084.95000
720,0.30518,0.11287,0.01216,0.00209,0.01552,0.08812,0.03359,0.00946,2455791.85000
780,0.28498,0.10141,0.01146,0.00209,0.01511,0.08023,0.03350,0.00909,2049572.45000
840,0.23170,0.05283,0.01081,0.00209,0.01480,0.07736,0.03310,0.00885,904159.35000
900,0.31401,0.13178,0.01136,0.00208,0.01502,0.07980,0.03344,0.00883,2916661.70000
960,0.35558,0.15703,0.01289,0.00208,0.01581,0.09315,0.03381,0.00928,3578981.25000
1020,0.32555,0.12368,0.01296,0.00210,0.01575,0.09415,0.03382,0.00947,2767377.40000
1080,0.30696,0.10710,0.01281,0.00208,0.01561,0.09424,0.03387,0.00978,2271770.15000
1140,0.33736,0.13645,0.01310,0.00209,0.01593,0.09535,0.03392,0.00929,2903832.20000
1200,0.31917,0.11708,0.01294,0.00208,0.01618,0.09659,0.03366,0.00926,2424988.15000
1260,0.29763,0.09959,0.01242,0.00209,0.01590,0.09345,0.03356,0.00952,2026572.10000
1320,0.30684,0.10995,0.01261,0.00210,0.01569,0.09108,0.03401,0.00914,2301510.50000
1380,0.31421,0.11269,0.01288,0.00209,0.01594,0.09371,0.03402,0.00939,2404923.35000
1440,0.33369,0.12888,0.01333,0.00208,0.01629,0.09850,0.03375,0.00917,2983851.65000
1500,0.45219,0.24391,0.01433,0.00209,0.01632,0.09859,0.03410,0.00970,5965339.50000
1560,0.47093,0.26956,0.01384,0.00209,0.01598,0.09359,0.03411,0.00981,6425388.50000
1620,0.47058,0.26539,0.01444,0.00208,0.01638,0.09647,0.03409,0.00975,6351675.30000
1680,0.36608,0.16699,0.01321,0.00208,0.01604,0.09366,0.03382,0.00917,3853289.10000
