frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.27541,0.09589,0.12595,0.03077,0.00870,5571734.60000
60,0.26772,0.09087,0.12275,0.03077,0.00858,5087917.35000
120,0.24096,0.07631,0.11229,0.03149,0.00817,4306217.95000
180,1.27383,0.55683,0.66118,0.03299,0.00870,25483426.25000
240,1.52336,0.67914,0.78850,0.03294,0.00872,29942091.00000
300,1.50668,0.66203,0.78594,0.03263,0.00881,29637854.50000
360,1.38337,0.59996,0.72786,0.03241,0.00878,27564273.70000
420,1.39935,0.59616,0.74658,0.03240,0.00875,28511524.00000
480,1.35798,0.58108,0.71955,0.03248,0.00867,27896469.80000
540,1.36671,0.58646,0.72213,0.03228,0.00858,27804299.85000
600,1.21301,0.49802,0.65515,0.03281,0.00864,24096806.70000
660,1.08383,0.43437,0.59034,0.03290,0.00859,21624171.85000
720,0.67577,0.25652,0.36361,0.03271,0.00863,13165119.05000
780,0.39615,0.13944,0.20132,0.03190,0.00866,7143579.70000
840,0.42249,0.15441,0.20978,0.03236,0.00869,7975148.70000
900,0.66717,0.26264,0.34554,0.03331,0.00869,13502379.35000
960,0.42214,0.15557,0.21021,0.03314,0.00873,8393546.05000
1020,0.33326,0.11821,0.15755,0.03168,0.00879,6146980.55000
1080,0.44680,0.17059,0.22123,0.03183,0.00868,8854916.20000
1140,0.41794,0.15410,0.20879,0.03231,0.00866,7892153.65000
1200,0.29289,0.09869,0.13977,0.03166,0.00866,5427308.65000
1260,0.75714,0.29019,0.41123,0.03299,0.00859,15451999.00000
1320,0.77556,0.29480,0.41835,0.03302,0.00860,15191734.00000
1380,0.44876,0.16182,0.22878,0.03277,0.00868,8526090.60000
1440,0.25379,0.07976,0.11727,0.03124,0.00871,4627918.50000
1500,0.12549,0.02284,0.05011,0.03085,0.00809,1221133.20000
1560,0.08369,0.00552,0.02696,0.03086,0.00803,2937.30000
1620,0.44253,0.16353,0.22609,0.03163,0.00833,8784447.30000
1680,1.15996,0.47121,0.62955,0.03342,0.00866,24027453.75000
1740,0.84119,0.31678,0.46829,0.03268,0.00859,16690997.60000
1800,0.48334,0.17363,0.25393,0.03229,0.00863,9401479.95000
1860,0.65221,0.23892,0.35397,0.03389,0.00868,12791880.35000
1920,0.62354,0.21876,0.34814,0.03326,0.00867,12057396.90000
1980,0.85796,0.31765,0.48187,0.03295,0.00856,16971321.70000
2040,0.95558,0.36473,0.53464,0.03299,0.00862,18275703.90000
2100,0.74785,0.28163,0.40962,0.03294,0.00861,14724372.75000
2160,1.01093,0.38983,0.56198,0.03313,0.00859,19520227.45000
2220,0.92392,0.35301,0.50784,0.03245,0.00852,17947662.10000
2280,1.22110,0.48927,0.67233,0.03272,0.00866,23548176.20000
2340,1.31078,0.52654,0.72500,0.03303,0.00857,25137229.55000
2400,1.16233,0.46470,0.63629,0.03352,0.00857,22711593.65000
2460,0.85721,0.33841,0.45989,0.03302,0.00859,16686160.80000
2520,0.69490,0.26964,0.36678,0.03349,0.00865,13570170.60000
2580,0.61886,0.23735,0.32275,0.03347,0.00869,12228395.40000
2640,0.73259,0.28926,0.38764,0.03298,0.00864,14740143.00000
