frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,4.62117,0.63387,0.32011,0.00215,0.47669,1.35394,1.21041,0.56361,3553381.35000
60,5.55606,0.90383,0.35640,0.00214,0.55773,1.86470,1.17598,0.62354,3662944.30000
120,6.88709,1.13829,0.38679,0.00301,0.69202,2.58237,1.33509,0.70122,2176008.00000
180,6.51958,0.90596,0.38745,0.00306,0.68400,2.53122,1.23913,0.69589,1760027.75000
240,6.90158,1.04779,0.39721,0.00299,0.68665,2.71705,1.24625,0.71395,2911562.30000
300,7.08673,1.19373,0.40639,0.00296,0.67376,2.74895,1.26378,0.71985,3211259.30000
360,7.12216,1.20246,0.40177,0.00288,0.67253,2.77449,1.27111,0.72035,3197534.35000
420,6.80956,0.99002,0.39254,0.00287,0.67640,2.67493,1.27654,0.71999,2080022.75000
480,6.95729,1.07786,0.39777,0.00297,0.67821,2.69897,1.30810,0.71619,2143202.10000
540,7.15098,1.34891,0.39904,0.00300,0.66708,2.69880,1.25802,0.70505,2652802.15000
600,7.21453,1.55759,0.39537,0.00314,0.65756,2.58227,1.23562,0.70097,2718203.40000
660,6.74509,1.00903,0.39153,0.00306,0.67962,2.66597,1.22905,0.69870,1551084.95000
720,6.75035,1.04033,0.39014,0.00314,0.67424,2.64727,1.22308,0.69248,2455791.85000
780,6.65572,1.15693,0.39192,0.00318,0.66863,2.42936,1.23078,0.69780,2049572.45000
840,6.45407,0.99045,0.38582,0.00311,0.66164,2.40623,1.22141,0.69889,904159.35000
900,6.71531,1.31448,0.39548,0.00289,0.66202,2.41339,1.18612,0.65514,2916661.70000
960,7.17378,1.39989,0.39332,0.00300,0.68897,2.70077,1.22996,0.69406,3578981.25000
1020,7.10206,1.31366,0.39839,0.00284,0.68174,2.67565,1.26176,0.70668,2767377.40000
1080,7.11102,1.29055,0.40554,0.00296,0.66866,2.69251,1.27457,0.70982,2271770.15000
1140,7.48702,1.56162,0.39688,0.00292,0.69028,2.76654,1.27826,0.71686,2903832.20000
1200,7.51331,1.59581,0.40690,0.00282,0.68280,2.78244,1.26267,0.71065,2424988.15000
1260,7.25366,1.47822,0.39722,0.00301,0.67926,2.66196,1.27026,0.70491,2026572.10000
1320,7.29432,1.47125,0.40494,0.00287,0.66360,2.69040,1.26163,0.71219,2301510.50000
1380,7.40783,1.48042,0.40154,0.00312,0.68218,2.77995,1.27359,0.71529,2404923.35000
1440,7.42937,1.37370,0.41203,0.00296,0.68350,2.87646,1.27172,0.71878,2983851.65000
1500,7.29838,1.27677,0.41247,0.00307,0.68865,2.82959,1.27253,0.72242,5965339.50000
1560,7.21547,1.32667,0.40693,0.00306,0.70339,2.73385,1.25787,0.71810,6425388.50000
1620,7.31038,1.33255,0.41019,0.00310,0.68975,2.81067,1.27519,0.72303,6351675.30000
1680,7.13478,1.26325,0.40022,0.00305,0.68126,2.72306,1.26192,0.71784,3853289.10000
1740,7.07267,1.16341,0.39628,0.00307,0.68516,2.76057,1.27803,0.71386,1807302.25000
1800,7.11477,1.22608,0.39775,0.00296,0.67718,2.74957,1.26506,0.71472,1503980.35000
1860,7.15738,1.23954,0.40447,0.00304,0.68134,2.77061,1.26988,0.71632,1304820.90000
1920,7.09983,1.19069,0.40225,0.00292,0.68867,2.75057,1.26958,0.71557,1271388.55000
1980,7.01777,1.12967,0.39749,0.00318,0.67671,2.76562,1.26333,0.71218,1145896.95000
2040,6.83766,1.00631,0.39572,0.00303,0.68494,2.70432,1.26352,0.71197,833803.50000
2100,6.87860,0.99204,0.39385,0.00303,0.68289,2.73534,1.26836,0.71286,724541.55000
2160,6.76625,0.94080,0.38867,0.00296,0.68520,2.70580,1.26995,0.71491,651558.70000
2220,6.59182,0.83970,0.38734,0.00309,0.67672,2.62188,1.27640,0.71598,606690.35000
2280,4.68497,0.43047,0.34639,0.00301,0.49508,1.57600,1.17138,0.61827,387407.30000
2340,6.28508,1.04090,0.37094,0.00311,0.62685,2.27603,1.23908,0.67682,2264677.55000
2400,7.19556,1.31845,0.41056,0.00302,0.67616,2.74822,1.25518,0.70917,3983123.90000
2460,7.24210,1.37644,0.39917,0.00292,0.68617,2.72657,1.26674,0.71308,4233659.50000
2520,7.24439,1.34213,0.41069,0.00301,0.68189,2.75528,1.24885,0.70867,3774183.40000
2580,7.38306,1.56640,0.40616,0.00297,0.67259,2.70705,1.23818,0.69827,2738790.20000
2640,7.32958,1.44307,0.39219,0.00291,0.68332,2.73226,1.26492,0.70840,2234217.40000
2700,7.09364,1.25160,0.40144,0.00305,0.68224,2.68994,1.26802,0.71485,1876452.05000
2760,7.01686,1.18110,0.40446,0.00307,0.67296,2.69550,1.27295,0.71680,1554160.70000
2820,7.09743,1.21630,0.39151,0.00306,0.69059,2.71808,1.28094,0.71488,1444209.80000
2880,6.97882,1.10174,0.39631,0.00305,0.68798,2.73258,1.26862,0.71261,1270269.50000
2940,6.74006,0.94988,0.38810,0.00305,0.68413,2.67475,1.27286,0.71281,1185182.60000
3000,6.70801,1.02230,0.39390,0.00302,0.65555,2.61374,1.25815,0.70569,3737532.35000
3060,6.93248,1.01735,0.40105,0.00309,0.68941,2.77352,1.25150,0.71577,5419981.65000
3120,7.08918,1.12572,0.40497,0.00303,0.68155,2.80903,1.27912,0.71949,5328916.45000
3180,7.14891,1.15755,0.41092,0.00295,0.68652,2.82795,1.27594,0.71963,4942521.95000
3240,7.27048,1.16027,0.40756,0.00299,0.71222,2.86736,1.30429,0.72175,4355188.50000
3300,7.25518,1.18882,0.40442,0.00314,0.69601,2.87774,1.29650,0.72065,3918437.60000
3360,7.18002,1.13758,0.41048,0.00296,0.70196,2.85182,1.27359,0.71870,3488605.15000
3420,7.19681,1.13694,0.40014,0.00295,0.69435,2.84713,1.29129,0.71964,3070083.20000
3480,7.06881,1.20132,0.39731,0.00297,0.68106,2.71294,1.27528,0.71808,2804740.95000
3540,7.21437,1.29366,0.40208,0.00320,0.67531,2.71461,1.30503,0.72304,2554279.00000
3600,7.22370,1.32169,0.39229,0.00297,0.66465,2.71445,1.28066,0.72499,2404749.20000
3660,7.03622,1.24386,0.40054,0.00309,0.66379,2.62195,1.27146,0.71247,2364661.40000
3720,6.53042,0.99973,0.39471,0.00296,0.68630,2.46005,1.22917,0.69270,2323845.85000
3780,6.31372,0.98480,0.37375,0.00306,0.62002,2.32888,1.24001,0.68163,2171285.25000
3840,6.08329,0.98228,0.36293,0.00308,0.58737,2.17364,1.24127,0.67154,2069926.10000
3900,5.90808,0.88390,0.36245,0.00298,0.56780,2.09473,1.23198,0.66878,1706132.85000
3960,6.10112,0.97270,0.36492,0.00307,0.59260,2.15023,1.23742,0.67987,1310622.90000
4020,6.25071,1.00817,0.36732,0.00297,0.61122,2.25158,1.22207,0.68502,1119696.90000
4080,6.51025,1.09776,0.37013,0.00316,0.63299,2.35795,1.22420,0.68703,958432.85000
4140,6.12776,0.89138,0.36543,0.00314,0.59895,2.25240,1.24147,0.68019,891260.80000
4200,5.58205,0.64320,0.35365,0.00303,0.57113,2.02781,1.22310,0.66900,795127.20000
4260,4.67293,0.52601,0.32415,0.00299,0.49802,1.47188,1.16165,0.62742,2716290.05000
4320,6.98008,1.26399,0.38625,0.00301,0.69545,2.55664,1.27459,0.71349,7242797.15000
4380,6.73870,1.15311,0.37960,0.00312,0.68272,2.45485,1.29180,0.70442,6033148.00000
4440,5.77971,0.64490,0.36494,0.00292,0.59745,2.16341,1.24568,0.68125,867288.75000
4500,6.01050,0.74877,0.36809,0.00301,0.60962,2.26988,1.25055,0.68876,698827.95000
4560,5.59772,0.67087,0.35615,0.00303,0.56809,2.02429,1.22206,0.66355,684012.30000
4620,5.88105,0.72657,0.36496,0.00310,0.59848,2.20029,1.25285,0.68074,872447.40000
4680,5.80250,0.84725,0.35692,0.00304,0.58135,2.05974,1.21278,0.66489,2415162.35000
4740,5.66878,0.93792,0.35346,0.00304,0.55710,1.90649,1.20379,0.64674,5264990.15000
4800,5.41428,0.97041,0.34195,0.00301,0.53036,1.70874,1.17222,0.62170,7605016.10000
4860,4.95445,0.81469,0.32634,0.00314,0.47805,1.48572,1.16835,0.59740,7298187.05000
4920,4.80467,0.77473,0.32419,0.00293,0.46518,1.43983,1.14363,0.58927,7437915.15000
4980,5.09380,0.86898,0.33239,0.00309,0.49610,1.55680,1.17380,0.60473,8149009.90000
5040,5.19504,0.79346,0.33804,0.00299,0.51635,1.68374,1.18079,0.62514,5907876.05000
5100,5.05489,0.77100,0.33320,0.00303,0.50333,1.60634,1.17219,0.61214,6713387.25000
5160,5.13136,0.87176,0.33338,0.00296,0.49693,1.58431,1.17856,0.60669,8461629.95000
5220,4.99307,0.84193,0.32903,0.00303,0.48615,1.51336,1.17025,0.59578,8496360.00000
5280,4.59678,0.76090,0.31598,0.00311,0.45582,1.29018,1.13328,0.57608,8448473.20000
5340,3.78347,0.56497,0.28525,0.00305,0.38772,0.86740,1.09565,0.53258,6607069.85000
5400,2.46386,0.11929,0.23690,0.00302,0.30073,0.22341,1.06812,0.46559,1056943.50000
5460,2.17107,0.04683,0.23295,0.00254,0.28737,0.08177,1.04861,0.43973,344217.00000
