frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.20624,0.08426,0.10073,0.00422,0.00306,5571734.60000
60,0.19680,0.07936,0.09681,0.00412,0.00288,5087917.35000
120,0.17416,0.06810,0.08640,0.00394,0.00262,4306217.95000
180,1.14123,0.50532,0.61148,0.00426,0.00299,25483426.25000
240,1.36992,0.61122,0.73116,0.00425,0.00300,29942091.00000
300,1.35881,0.60979,0.72491,0.00426,0.00301,29637854.50000
360,1.24124,0.55071,0.66840,0.00426,0.00301,27564273.70000
420,1.26288,0.55137,0.68930,0.00427,0.00301,28511524.00000
480,1.22822,0.53319,0.67266,0.00440,0.00305,27896469.80000
540,1.24528,0.54537,0.67455,0.00439,0.00307,27804299.85000
600,1.05274,0.45221,0.57817,0.00440,0.00305,24096806.70000
660,0.93718,0.39907,0.51569,0.00432,0.00304,21624171.85000
720,0.55283,0.22793,0.30317,0.00451,0.00307,13165119.05000
780,0.29668,0.11630,0.15875,0.00427,0.00301,7143579.70000
840,0.33298,0.13659,0.17481,0.00435,0.00304,7975148.70000
900,0.57113,0.24713,0.30192,0.00435,0.00301,13502379.35000
960,0.33592,0.14156,0.17252,0.00434,0.00304,8393546.05000
1020,0.23269,0.09778,0.11322,0.00422,0.00302,6146980.55000
1080,0.34405,0.14740,0.17511,0.00425,0.00302,8854916.20000
1140,0.32383,0.13561,0.16678,0.00432,0.00303,7892153.65000
1200,0.19784,0.08191,0.09472,0.00418,0.00292,5427308.65000
1260,0.64968,0.26895,0.35896,0.00450,0.00307,15451999.00000
1320,0.65796,0.27407,0.36235,0.00451,0.00309,15191734.00000
1380,0.35368,0.14658,0.18551,0.00435,0.00305,8526090.60000
1440,0.16352,0.06854,0.07501,0.00393,0.00285,4627918.50000
1500,0.05639,0.01841,0.01974,0.00378,0.00241,1221133.20000
1560,0.02558,0.00302,0.00392,0.00378,0.00239,2937.30000
1620,0.36252,0.15335,0.18922,0.00402,0.00273,8784447.30000
1680,1.03434,0.44559,0.56391,0.00437,0.00304,24027453.75000
1740,0.71416,0.29811,0.39386,0.00463,0.00312,16690997.60000
1800,0.37842,0.14783,0.20836,0.00464,0.00310,9401479.95000
1860,0.53108,0.21653,0.29250,0.00465,0.00313,12791880.35000
1920,0.50650,0.20419,0.27976,0.00474,0.00314,12057396.90000
1980,0.71899,0.29825,0.39857,0.00468,0.00311,16971321.70000
2040,0.81454,0.34057,0.45057,0.00450,0.00310,18275703.90000
2100,0.61330,0.25972,0.33099,0.00437,0.00302,14724372.75000
2160,0.86660,0.36437,0.47899,0.00458,0.00309,19520227.45000
2220,0.78280,0.32696,0.43384,0.00462,0.00311,17947662.10000
2280,1.05455,0.45381,0.57766,0.00445,0.00308,23548176.20000
2340,1.13586,0.49410,0.61897,0.00443,0.00305,25137229.55000
2400,1.00712,0.43541,0.54711,0.00433,0.00306,22711593.65000
2460,0.73196,0.31528,0.39432,0.00436,0.00307,16686160.80000
2520,0.58567,0.25338,0.31078,0.00440,0.00304,13570170.60000
2580,0.52077,0.22043,0.27751,0.00445,0.00306,12228395.40000
2640,0.61674,0.26614,0.32936,0.00431,0.00302,14740143.00000
