sweep,x_value,renderer_name,total_time_avg_ms,total_time_min_ms,total_time_max_ms,observations
geometry-div,8.0,DonutDeferredPrepass,0.05798,0.05798,0.05798,1
geometry-div,8.0,DonutVisGBuffer,0.11481,0.11481,0.11481,1
geometry-div,16.0,DonutDeferredPrepass,0.05861,0.05861,0.05861,1
geometry-div,16.0,DonutVisGBuffer,0.11494,0.11494,0.11494,1
geometry-div,24.0,DonutDeferredPrepass,0.05918,0.05918,0.05918,1
geometry-div,24.0,DonutVisGBuffer,0.11494,0.11494,0.11494,1
geometry-div,32.0,DonutDeferredPrepass,0.05993,0.05993,0.05993,1
geometry-div,32.0,DonutVisGBuffer,0.11507,0.11507,0.11507,1
geometry-div,40.0,DonutDeferredPrepass,0.06095,0.06095,0.06095,1
geometry-div,40.0,DonutVisGBuffer,0.11529,0.11529,0.11529,1
geometry-div,48.0,DonutDeferredPrepass,0.06103,0.06103,0.06103,1
geometry-div,48.0,DonutVisGBuffer,0.11546,0.11546,0.11546,1
geometry-div,56.0,DonutDeferredPrepass,0.06139,0.06139,0.06139,1
geometry-div,56.0,DonutVisGBuffer,0.11617,0.11617,0.11617,1
geometry-div,64.0,DonutDeferredPrepass,0.0621,0.06199,0.06224,4
geometry-div,64.0,DonutVisGBuffer,0.1164075,0.11629,0.11656,4
geometry-div,72.0,DonutDeferredPrepass,0.06255,0.06255,0.06255,1
geometry-div,72.0,DonutVisGBuffer,0.11682,0.11682,0.11682,1
geometry-div,80.0,DonutDeferredPrepass,0.0631,0.0631,0.0631,1
geometry-div,80.0,DonutVisGBuffer,0.11705,0.11705,0.11705,1
geometry-div,88.0,DonutDeferredPrepass,0.0637,0.0637,0.0637,1
geometry-div,88.0,DonutVisGBuffer,0.11697,0.11697,0.11697,1
geometry-div,96.0,DonutDeferredPrepass,0.06415,0.06415,0.06415,1
geometry-div,96.0,DonutVisGBuffer,0.11701,0.11701,0.11701,1
geometry-div,104.0,DonutDeferredPrepass,0.06453,0.06453,0.06453,1
geometry-div,104.0,DonutVisGBuffer,0.11696,0.11696,0.11696,1
geometry-div,112.0,DonutDeferredPrepass,0.06462,0.06462,0.06462,1
geometry-div,112.0,DonutVisGBuffer,0.1174,0.1174,0.1174,1
geometry-div,120.0,DonutDeferredPrepass,0.0652,0.0652,0.0652,1
geometry-div,120.0,DonutVisGBuffer,0.11803,0.11803,0.11803,1
geometry-div,128.0,DonutDeferredPrepass,0.06572,0.06572,0.06572,1
geometry-div,128.0,DonutVisGBuffer,0.11845,0.11845,0.11845,1
material-assign-diversity,0.0,DonutDeferredPrepass,0.06195,0.06195,0.06195,1
material-assign-diversity,0.0,DonutVisGBuffer,0.11667,0.11667,0.11667,1
material-assign-diversity,0.05,DonutDeferredPrepass,0.06222,0.06222,0.06222,1
material-assign-diversity,0.05,DonutVisGBuffer,0.1163,0.1163,0.1163,1
material-assign-diversity,0.1,DonutDeferredPrepass,0.06211,0.06211,0.06211,1
material-assign-diversity,0.1,DonutVisGBuffer,0.1164,0.1164,0.1164,1
material-assign-diversity,0.15,DonutDeferredPrepass,0.0621,0.0621,0.0621,1
material-assign-diversity,0.15,DonutVisGBuffer,0.11638,0.11638,0.11638,1
material-assign-diversity,0.2,DonutDeferredPrepass,0.06208,0.06208,0.06208,1
