frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.30768,0.14332,0.01176,0.00213,0.01363,0.06371,0.03261,0.00937,3553381.35000
60,0.33220,0.15048,0.01223,0.00210,0.01460,0.07855,0.03265,0.00972,3662944.30000
120,0.30251,0.10302,0.01296,0.00211,0.01634,0.09478,0.03284,0.00962,2176008.00000
180,0.27773,0.08129,0.01253,0.00210,0.01606,0.09285,0.03299,0.00909,1760027.75000
240,0.33329,0.12769,0.01304,0.00211,0.01650,0.10035,0.03320,0.00973,2911562.30000
300,0.35121,0.14344,0.01331,0.00211,0.01668,0.10128,0.03322,0.00984,3211259.30000
360,0.35165,0.14278,0.01368,0.00211,0.01698,0.10047,0.03341,0.01004,3197534.35000
420,0.29988,0.09733,0.01306,0.00211,0.01671,0.09513,0.03327,0.00993,2080022.75000
480,0.30071,0.09934,0.01320,0.00212,0.01679,0.09551,0.03296,0.00923,2143202.10000
540,0.32560,0.12254,0.01311,0.00211,0.01639,0.09789,0.03280,0.00962,2652802.15000
600,0.33255,0.13186,0.01328,0.00211,0.01622,0.09585,0.03263,0.00956,2718203.40000
660,0.27264,0.07305,0.01257,0.00212,0.01632,0.09564,0.03255,0.00917,1551084.95000
720,0.31339,0.11285,0.01237,0.00210,0.01610,0.09689,0.03295,0.00926,2455791.85000
780,0.29529,0.10201,0.01174,0.00211,0.01568,0.09009,0.03281,0.00916,2049572.45000
840,0.23847,0.05235,0.01126,0.00211,0.01539,0.08430,0.03266,0.00895,904159.35000
900,0.32128,0.13185,0.01172,0.00212,0.01524,0.08501,0.03324,0.00966,2916661.70000
960,0.36412,0.15683,0.01341,0.00211,0.01659,0.10097,0.03333,0.01023,3578981.25000
1020,0.33155,0.12327,0.01346,0.00211,0.01667,0.10179,0.03338,0.00967,2767377.40000
1080,0.31430,0.10679,0.01338,0.00210,0.01668,0.10064,0.03345,0.00995,2271770.15000
1140,0.34849,0.13763,0.01399,0.00210,0.01713,0.10228,0.03347,0.01012,2903832.20000
1200,0.33077,0.11780,0.01432,0.00210,0.01745,0.10310,0.03328,0.01020,2424988.15000
1260,0.30887,0.10048,0.01379,0.00210,0.01708,0.10055,0.03313,0.00987,2026572.10000
1320,0.31678,0.11007,0.01356,0.00211,0.01687,0.09877,0.03353,0.00970,2301510.50000
1380,0.32283,0.11274,0.01386,0.00210,0.01712,0.10140,0.03339,0.01000,2404923.35000
1440,0.34482,0.12915,0.01441,0.00211,0.01759,0.10614,0.03323,0.01022,2983851.65000
1500,0.46507,0.24420,0.01507,0.00211,0.01779,0.10707,0.03359,0.01024,5965339.50000
1560,0.48444,0.27071,0.01446,0.00211,0.01718,0.10355,0.03356,0.01031,6425388.50000
1620,0.48295,0.26563,0.01517,0.00212,0.01783,0.10614,0.03354,0.01026,6351675.30000
1680,0.37688,0.16713,0.01427,0.00211,0.01724,0.10094,0.03331,0.01023,3853289.10000
1740,0.28971,0.08091,0.01354,0.00212,0.01683,0.10064,0.03281,0.01007,1807302.25000
1800,0.28134,0.07368,0.01362,0.00211,0.01703,0.10030,0.03279,0.01011,1503980.35000
1860,0.27360,0.06721,0.01368,0.00211,0.01713,0.09824,0.03294,0.01012,1304820.90000
1920,0.27178,0.06524,0.01358,0.00211,0.01716,0.09903,0.03283,0.01014,1271388.55000
1980,0.26647,0.06003,0.01344,0.00211,0.01692,0.09946,0.03260,0.01016,1145896.95000
2040,0.25367,0.05081,0.01290,0.00212,0.01662,0.09798,0.03243,0.01015,833803.50000
2100,0.24679,0.04655,0.01268,0.00211,0.01650,0.09579,0.03234,0.01009,724541.55000
2160,0.24218,0.04392,0.01250,0.00212,0.01634,0.09450,0.03223,0.00982,651558.70000
2220,0.23634,0.04141,0.01215,0.00211,0.01590,0.09146,0.03238,0.00977,606690.35000
2280,0.17893,0.02467,0.01012,0.00199,0.01308,0.05791,0.03216,0.00813,387407.30000
2340,0.29246,0.10622,0.01193,0.00207,0.01507,0.08385,0.03305,0.00947,2264677.55000
2400,0.38885,0.18009,0.01368,0.00211,0.01677,0.10051,0.03358,0.01014,3983123.90000
2460,0.40038,0.19068,0.01384,0.00211,0.01705,0.10115,0.03365,0.01021,4233659.50000
2520,0.37956,0.16869,0.01378,0.00212,0.01699,0.10252,0.03345,0.01019,3774183.40000
2580,0.33987,0.13487,0.01318,0.00212,0.01647,0.09922,0.03339,0.00965,2738790.20000
2640,0.31625,0.11293,0.01304,0.00211,0.01643,0.09826,0.03327,0.00969,2234217.40000
2700,0.29750,0.09329,0.01316,0.00211,0.01663,0.09848,0.03318,0.00957,1876452.05000
2760,0.28023,0.07872,0.01280,0.00211,0.01648,0.09723,0.03308,0.00928,1554160.70000
2820,0.27488,0.07353,0.01271,0.00211,0.01638,0.09732,0.03309,0.00943,1444209.80000
2880,0.26639,0.06825,0.01232,0.00211,0.01607,0.09494,0.03283,0.00900,1270269.50000
2940,0.25731,0.06008,0.01254,0.00210,0.01616,0.09376,0.03267,0.00911,1185182.60000
3000,0.35767,0.15834,0.01283,0.00210,0.01590,0.09399,0.03322,0.00975,3737532.35000
3060,0.43566,0.22558,0.01373,0.00210,0.01665,0.10166,0.03371,0.01028,5419981.65000
3120,0.43568,0.22212,0.01429,0.00211,0.01729,0.10419,0.03368,0.01024,5328916.45000
3180,0.42361,0.20986,0.01425,0.00211,0.01738,0.10442,0.03362,0.01027,4942521.95000
3240,0.40057,0.18765,0.01426,0.00210,0.01735,0.10380,0.03352,0.01022,4355188.50000
3300,0.38237,0.17020,0.01430,0.00211,0.01740,0.10313,0.03352,0.01019,3918437.60000
3360,0.36395,0.15345,0.01406,0.00211,0.01738,0.10171,0.03354,0.01022,3488605.15000
3420,0.34715,0.13807,0.01378,0.00211,0.01704,0.09999,0.03344,0.01007,3070083.20000
3480,0.33176,0.12810,0.01311,0.00211,0.01667,0.09681,0.03336,0.01010,2804740.95000
3540,0.31802,0.12028,0.01220,0.00212,0.01596,0.09274,0.03333,0.01007,2554279.00000
3600,0.31590,0.11540,0.01226,0.00211,0.01605,0.09552,0.03327,0.01006,2404749.20000
3660,0.31096,0.11024,0.01263,0.00211,0.01623,0.09550,0.03324,0.01006,2364661.40000
3720,0.30421,0.10385,0.01303,0.00211,0.01643,0.09479,0.03317,0.01002,2323845.85000
3780,0.29252,0.09758,0.01257,0.00211,0.01600,0.09001,0.03304,0.00972,2171285.25000
3840,0.28004,0.09121,0.01213,0.00211,0.01571,0.08566,0.03304,0.00903,2069926.10000
3900,0.26017,0.07548,0.01215,0.00211,0.01565,0.08114,0.03315,0.00904,1706132.85000
3960,0.25124,0.06341,0.01249,0.00212,0.01594,0.08412,0.03285,0.00901,1310622.90000
4020,0.24722,0.05802,0.01274,0.00213,0.01627,0.08532,0.03285,0.00915,1119696.90000
4080,0.24922,0.05732,0.01261,0.00212,0.01636,0.08707,0.03285,0.00949,958432.85000
4140,0.23611,0.05049,0.01218,0.00213,0.01595,0.08188,0.03287,0.00905,891260.80000
4200,0.21450,0.03822,0.01144,0.00212,0.01498,0.07426,0.03297,0.00887,795127.20000
4260,0.26635,0.10561,0.01135,0.00209,0.01409,0.06027,0.03252,0.00877,2716290.05000
4320,0.52378,0.31852,0.01406,0.00211,0.01648,0.09427,0.03380,0.01019,7242797.15000
4380,0.47114,0.27117,0.01349,0.00211,0.01615,0.09034,0.03358,0.01001,6033148.00000
