frame,total,depth_prepass,geometry,lighting,tonemap,index_count,scene,renderer_variant,renderer,max_open,diversity,active_bins,source_materials,condition_order,condition_key,condition_label,run_index,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer
0,0.42058,0.04703,0.31924,0.03284,0.00873,2955774.1,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
60,0.5129,0.05495,0.40041,0.03355,0.00872,3390293.45,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
120,0.44198,0.02782,0.35853,0.03384,0.00868,1763572.05,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
180,0.43072,0.028,0.34462,0.03367,0.00873,1334104.85,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
240,0.37977,0.03056,0.29418,0.03372,0.00861,1563999.05,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
300,0.32763,0.02559,0.24739,0.03323,0.00872,942806.45,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
360,0.43795,0.0193,0.36324,0.03374,0.00867,651664.2,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
420,0.4695,0.01509,0.39864,0.03405,0.00876,531526.6,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
480,0.40305,0.01124,0.33622,0.0339,0.00864,335265.25,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
540,0.38303,0.01309,0.31441,0.03381,0.00864,394504.35,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
600,0.58332,0.08714,0.44069,0.03336,0.00872,4763095.1,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
660,0.59768,0.12214,0.42119,0.03301,0.00871,7008309.5,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
720,0.53003,0.12327,0.35236,0.03291,0.00854,6851715.25,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
780,0.58968,0.12726,0.40778,0.03284,0.00876,6833477.1,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
840,0.50927,0.15561,0.29976,0.0321,0.00867,7736553.5,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
900,0.60483,0.15259,0.39702,0.03322,0.00882,7912527.2,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
960,0.48127,0.11722,0.31032,0.03249,0.00871,6364935.35,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
1020,0.44538,0.09494,0.29664,0.03246,0.00869,5390683.35,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
1080,0.43015,0.07333,0.3024,0.03279,0.0087,4144249.1,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
1140,0.38348,0.04445,0.28456,0.03272,0.00879,2469341.8,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
1200,0.40528,0.05015,0.30107,0.03257,0.00867,2921893.5,Sponza,8,Deferred + prepass,1,1.0,1,29,0,M1_D1,"1 bins
M1, D1",0,,,,,
