scene,max_open,diversity,active_bins,condition_order,condition_key,condition_label,Visibility,Bin utilities,G-buffer,Lighting + tonemap,Total,Other
Bistro,1,1.0,1,14,M1_D1,"1 bins
M1, D1",0.13766891304347825,0.02935826086956522,0.0769817391304348,0.043683043478260866,0.31916554347826087,0.03147358695652175
Bistro,4,1.0,4,16,M4_D1,"4 bins
M4, D1",0.13769641304347824,0.030761630434782614,0.08348619565217391,0.04300880434782609,0.3264091304347826,0.031456086956521745
Bistro,16,0.5,16,18,M16_D0.5,"16 bins
M16, D0.5",0.13758739130434783,0.03080510869565217,0.08876641304347825,0.042749456521739136,0.33157760869565217,0.03166923913043479
Bistro,64,0.0,64,20,M64_D0,"64 bins
M64, D0",0.1390851086956522,0.02961978260869565,0.09568206521739128,0.04232152173913044,0.3353836956521739,0.028675217391304297
Bistro,64,1.0,64,22,M64_D1,"64 bins
M64, D1",0.1403925,0.03134076086956522,0.1101691304347826,0.04108945652173913,0.3513958695652174,0.02840402173913048
Bistro,255,0.0,132,24,M255_D0,"132 bins
M255, D0",0.13892380434782609,0.029681847826086964,0.12773119565217392,0.04131891304347827,0.3650509782608696,0.02739521739130435
Bistro,255,1.0,132,26,M255_D1,"132 bins
M255, D1",0.13888999999999999,0.03141021739130435,0.13125097826086957,0.04033347826086956,0.369175652173913,0.027290978260869514
Sponza,1,1.0,1,0,M1_D1,"1 bins
M1, D1",0.15588357142857145,0.027815238095238098,0.40040452380952385,0.04241380952380953,0.6555666666666666,0.029049523809523636
Sponza,4,1.0,4,2,M4_D1,"4 bins
M4, D1",0.1563404761904762,0.028655476190476196,0.30862761904761904,0.0410352380952381,0.5607895238095238,0.02613071428571434
Sponza,16,0.5,16,4,M16_D0.5,"16 bins
M16, D0.5",0.15676476190476188,0.028103333333333338,0.311472380952381,0.042542142857142855,0.5704542857142858,0.031571666666666776
Sponza,64,0.0,29,6,M64_D0,"29 bins
M64, D0",0.15610404761904761,0.027781190476190473,0.40751404761904764,0.04223166666666667,0.662597380952381,0.028966428571428504
Sponza,64,1.0,29,8,M64_D1,"29 bins
M64, D1",0.15688619047619048,0.028282142857142853,0.2855490476190476,0.04275333333333333,0.5448878571428571,0.03141714285714292
Sponza,255,0.0,29,10,M255_D0,"29 bins
M255, D0",0.15623714285714285,0.027767857142857143,0.41300714285714285,0.04249523809523809,0.6688819047619048,0.029374523809523767
Sponza,255,1.0,29,12,M255_D1,"29 bins
M255, D1",0.15667119047619046,0.02891666666666667,0.2785497619047619,0.04078047619047619,0.530785,0.025866904761904785
