window_index,window_start_frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
0,60,985258.033333,1977006.933333,681753.616667,1295253.316667,2.904336,10.066667,131401.366667,853856.666667,694702.516667,1977006.933333,801803.133333,0.711245
1,120,1130097.816667,2513083.250000,915415.583333,1597667.666667,2.745673,10.750000,156449.133333,973648.683333,870901.116667,2513083.250000,970521.216667,0.722702
2,180,587857.350000,2095631.633333,921587.650000,1174043.983333,2.273934,10.216667,83901.666667,503955.683333,680591.666667,2095631.633333,626735.033333,0.770307
3,240,444701.616667,2127492.700000,921557.866667,1205934.833333,2.308582,12.700000,66935.733333,377765.883333,672987.950000,2127492.700000,564459.100000,0.791157
4,300,521333.016667,2289912.383333,921599.666667,1368312.716667,2.484715,14.450000,58153.366667,463179.650000,701791.816667,2289912.383333,517254.883333,0.815617
5,360,314268.816667,2305494.116667,903948.133333,1401545.983333,2.555217,10.616667,54143.266667,260125.550000,679147.716667,2305494.116667,411096.750000,0.848326
6,420,217221.400000,1551817.233333,921223.950000,630593.283333,1.684481,7.800000,48374.900000,168846.500000,475156.450000,1551817.233333,348808.566667,0.821733
7,480,177175.533333,1406396.733333,921378.583333,485018.150000,1.526467,7.183333,27223.666667,149951.866667,438461.666667,1406396.733333,347449.933333,0.806692
8,540,111755.083333,1195534.716667,921599.550000,273935.166667,1.297239,6.233333,5745.516667,106009.566667,350874.000000,1195534.716667,207961.283333,0.852425
9,600,131501.450000,1389141.450000,921514.933333,467626.516667,1.507444,6.216667,11398.850000,120102.600000,398907.166667,1389141.450000,206487.216667,0.871366
10,660,1587698.366667,2674030.216667,921599.733333,1752430.483333,2.901509,14.150000,175014.866667,1412683.500000,942398.116667,2674030.216667,1095562.250000,0.713550
11,720,2336103.166667,3342548.666667,908850.416667,2433698.250000,3.678316,12.766667,304249.300000,2031853.866667,1284650.683333,3342548.666667,1796054.066667,0.650732
12,780,2283905.083333,3257398.266667,875805.766667,2381592.500000,3.722311,14.383333,305968.900000,1977936.183333,1248233.233333,3257398.266667,1735534.666667,0.652427
13,840,2277825.700000,3545370.133333,921599.100000,2623771.033333,3.846977,14.350000,308349.700000,1969476.000000,1324644.450000,3545370.133333,1753207.666667,0.668993
14,900,2578851.166667,4329433.483333,921599.883333,3407833.600000,4.697737,17.200000,287977.600000,2290873.566667,1502762.983333,4329433.483333,1681618.450000,0.718371
15,960,2637509.066667,3908374.866667,902187.833333,3006187.033333,4.326073,20.966667,300563.900000,2336945.166667,1449875.866667,3908374.866667,1891128.600000,0.671599
16,1020,2121645.116667,3432336.983333,918918.683333,2513418.300000,3.735009,25.166667,231653.216667,1889991.900000,1205688.650000,3432336.983333,1390417.616667,0.714154
17,1080,1796894.450000,3420528.250000,921599.833333,2498928.416667,3.711511,15.083333,213350.300000,1583544.150000,1185946.266667,3420528.250000,1323256.816667,0.721197
18,1140,1381416.366667,3498878.366667,921599.983333,2577278.383333,3.796526,12.950000,200525.366667,1180891.000000,1203161.566667,3498878.366667,1313767.900000,0.726912
19,1200,823113.933333,3004389.700000,921599.983333,2082789.716667,3.259971,13.166667,107385.400000,715728.533333,950284.416667,3004389.700000,796747.966667,0.793292
20,1260,973964.500000,3453524.133333,921599.850000,2531924.283333,3.747314,12.750000,136764.200000,837200.300000,1101392.466667,3453524.133333,952045.733333,0.783267
21,1320,533417.750000,3311754.800000,921599.983333,2390154.816667,3.593484,10.566667,59174.600000,474243.150000,979576.983333,3311754.800000,606553.133333,0.844685
22,1380,609534.683333,2828747.616667,921531.000000,1907216.616667,3.069688,11.300000,75183.250000,534351.433333,840308.066667,2828747.616667,532484.650000,0.868161
23,1440,1772173.483333,3007335.683333,830480.816667,2176854.866667,3.592615,18.050000,234331.883333,1537841.600000,1116138.933333,3007335.683333,1457220.050000,0.668830
24,1500,2513998.300000,2826942.750000,796418.650000,2030524.100000,3.548924,19.883333,303331.200000,2210667.100000,1136365.316667,2826942.750000,1718518.516667,0.621998
25,1560,3047785.150000,2872502.633333,744310.833333,2128191.800000,3.861018,24.550000,338722.116667,2709063.033333,1189770.433333,2872502.633333,1886579.100000,0.603114
26,1620,3428025.433333,2478879.383333,708998.300000,1769881.083333,3.502334,26.350000,289735.833333,3138289.600000,1008995.166667,2478879.383333,1557101.283333,0.614729
27,1680,3597873.133333,2012002.133333,632829.116667,1379173.016667,3.177966,24.816667,244069.283333,3353803.850000,816288.816667,2012002.133333,1253153.133333,0.616147
28,1740,3733997.983333,1580279.133333,530992.400000,1049286.733333,2.972836,19.266667,193313.400000,3540684.583333,643205.733333,1580279.133333,992543.800000,0.613816
29,1800,3732281.466667,1116120.183333,382567.800000,733552.383333,2.917005,17.033333,145088.416667,3587193.050000,465145.166667,1116120.183333,744460.483333,0.599195
30,1860,3747012.100000,1008249.666667,345355.733333,662893.933333,2.918576,16.333333,145832.216667,3601179.883333,432533.600000,1008249.666667,721884.733333,0.582728
