run-id,run-name,output-filepath,renderer-variant,visibility-debug-mode,donut-linear-gbuffer,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,source_material_count,active_material_bin_count,material_bin_compaction_ratio,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_visibility_debug_mode,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,compact_debug_camera_capture,${RUN_TEMP}\run_00000.csv,15,0,0,0,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,${RUN_TEMP}\run_00000_capture,60,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.14466,visibility,0.19948,visutil_histogram,0.01476,visutil_prefix,0.00241,visutil_flatten,0.01857,gbuffer,0.82159,lighting,0.04289,tonemap,0.01226,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:19:35,playback,0.12778,1.26426,3.07373,1.14466,0.12851,0.16925,1.76243,2.29632,29,4,0.13793,4,0,1,100,15,0,0,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,60,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,0,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00000_capture\frames stride{60} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 42 frame(s) to ${RUN_TEMP}\run_00000_capture\frames
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00000.csv_0_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-19-59.txt",,
1,compact_debug_camera_capture,${RUN_TEMP}\run_00001.csv,15,1,0,1,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,${RUN_TEMP}\run_00001_capture,60,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.12715,visibility,0.19931,visutil_histogram,0.01461,visutil_prefix,0.00242,visutil_flatten,0.01872,gbuffer,0.80423,lighting,0.04290,tonemap,0.01218,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:19:59,playback,0.12781,1.24352,2.64384,1.12715,0.12832,0.17066,1.73632,2.03590,29,4,0.13793,4,0,1,100,15,1,1,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,60,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,1,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00001_capture\frames stride{60} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 42 frame(s) to ${RUN_TEMP}\run_00001_capture\frames
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00001.csv_1_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-20-24.txt",,
2,compact_debug_camera_capture,${RUN_TEMP}\run_00002.csv,15,2,0,2,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,${RUN_TEMP}\run_00002_capture,60,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.09161,visibility,0.19774,visutil_histogram,0.01447,visutil_prefix,0.00241,visutil_flatten,0.01879,gbuffer,0.77133,lighting,0.04209,tonemap,0.01217,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:20:24,playback,0.12749,1.20211,2.46682,1.09161,0.12829,0.16771,1.67174,1.94246,29,4,0.13793,4,0,1,100,15,2,2,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,60,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,2,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00002_capture\frames stride{60} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 42 frame(s) to ${RUN_TEMP}\run_00002_capture\frames
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00002.csv_2_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-20-49.txt",,
3,compact_debug_camera_capture,${RUN_TEMP}\run_00003.csv,15,3,0,3,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,${RUN_TEMP}\run_00003_capture,60,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.09488,visibility,0.19853,visutil_histogram,0.01455,visutil_prefix,0.00237,visutil_flatten,0.01892,gbuffer,0.77360,lighting,0.04254,tonemap,0.01218,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:20:49,playback,0.12774,1.20678,2.56410,1.09488,0.12838,0.16582,1.67494,1.95792,29,4,0.13793,4,0,1,100,15,3,3,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,60,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,3,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00003_capture\frames stride{60} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 42 frame(s) to ${RUN_TEMP}\run_00003_capture\frames
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00003.csv_3_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-21-14.txt",,
4,compact_debug_camera_capture,${RUN_TEMP}\run_00004.csv,15,0,0,4,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza_ivy/NewSponza_Main_Ivy_glTF.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,${RUN_TEMP}\run_00004_capture,60,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.46331,visibility,0.52070,visutil_histogram,0.01578,visutil_prefix,0.00250,visutil_flatten,0.01863,gbuffer,0.81277,lighting,0.04401,tonemap,0.01230,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:21:15,playback,0.12778,1.60531,3.40077,1.46331,0.12845,0.16787,2.31270,2.75696,31,5,0.16129,4,0,1,100,15,0,4,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza_ivy/NewSponza_Main_Ivy_glTF.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,60,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,4,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00004_capture\frames stride{60} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 42 frame(s) to ${RUN_TEMP}\run_00004_capture\frames
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00004.csv_4_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-21-46.txt",,
5,compact_debug_camera_capture,${RUN_TEMP}\run_00005.csv,15,1,0,5,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza_ivy/NewSponza_Main_Ivy_glTF.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,${RUN_TEMP}\run_00005_capture,60,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.45469,visibility,0.51930,visutil_histogram,0.01568,visutil_prefix,0.00246,visutil_flatten,0.01879,gbuffer,0.80636,lighting,0.04375,tonemap,0.01208,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:21:46,playback,0.12781,1.60118,3.26653,1.45469,0.12826,0.16598,2.29856,2.67536,31,5,0.16129,4,0,1,100,15,1,5,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza_ivy/NewSponza_Main_Ivy_glTF.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,60,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,5,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00005_capture\frames stride{60} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 42 frame(s) to ${RUN_TEMP}\run_00005_capture\frames
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00005.csv_5_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-22-16.txt",,
6,compact_debug_camera_capture,${RUN_TEMP}\run_00006.csv,15,2,0,6,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza_ivy/NewSponza_Main_Ivy_glTF.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,${RUN_TEMP}\run_00006_capture,60,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.43206,visibility,0.51747,visutil_histogram,0.01576,visutil_prefix,0.00241,visutil_flatten,0.01880,gbuffer,0.78293,lighting,0.04355,tonemap,0.01216,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:22:16,playback,0.12781,1.55866,3.23187,1.43206,0.12845,0.16739,2.25130,2.65709,31,5,0.16129,4,0,1,100,15,2,6,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza_ivy/NewSponza_Main_Ivy_glTF.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,60,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,6,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00006_capture\frames stride{60} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 42 frame(s) to ${RUN_TEMP}\run_00006_capture\frames
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00006.csv_6_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-22-46.txt",,
7,compact_debug_camera_capture,${RUN_TEMP}\run_00007.csv,15,3,0,7,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza_ivy/NewSponza_Main_Ivy_glTF.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,${RUN_TEMP}\run_00007_capture,60,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.43071,visibility,0.51908,visutil_histogram,0.01571,visutil_prefix,0.00244,visutil_flatten,0.01864,gbuffer,0.77956,lighting,0.04430,tonemap,0.01218,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:22:46,playback,0.12774,1.56016,3.16371,1.43071,0.12832,0.16771,2.24426,2.61242,31,5,0.16129,4,0,1,100,15,3,7,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza_ivy/NewSponza_Main_Ivy_glTF.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,1,60,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,7,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00007_capture\frames stride{60} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 42 frame(s) to ${RUN_TEMP}\run_00007_capture\frames
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00007.csv_7_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-23-16.txt",,
8,compact_debug_camera_capture,${RUN_TEMP}\run_00008.csv,15,0,0,8,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,1,${RUN_TEMP}\run_00008_capture,120,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.41526,visibility,0.17046,visutil_histogram,0.01542,visutil_prefix,0.00215,visutil_flatten,0.01976,gbuffer,0.11422,lighting,0.04595,tonemap,0.01276,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:23:16,playback,0.13946,0.40029,1.15821,0.41526,0.14742,0.30374,0.57411,0.64640,132,3,0.02273,4,0,1,100,15,0,8,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,1,120,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,8,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00008_capture\frames stride{120} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 46 frame(s) to ${RUN_TEMP}\run_00008_capture\frames
[FrameCounter] frames{5620} measure_start{60} measure_end{5560} sample_count{5500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00008.csv_8_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-23-30.txt",,
9,compact_debug_camera_capture,${RUN_TEMP}\run_00009.csv,15,1,0,9,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,1,${RUN_TEMP}\run_00009_capture,120,12,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.41471,visibility,0.17003,visutil_histogram,0.01542,visutil_prefix,0.00223,visutil_flatten,0.01990,gbuffer,0.11407,lighting,0.04587,tonemap,0.01282,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisCompactDebug,2026-07-30T09:23:30,playback,0.13978,0.39683,1.39990,0.41471,0.14957,0.30288,0.57360,0.66714,132,3,0.02273,4,0,1,100,15,1,9,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,1,120,12,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,compact_debug_camera_capture,0,9,0,success,0,,"Frame capture enabled: ${RUN_TEMP}\run_00009_capture\frames stride{120} fps{12}
Scene CPU cache disabled; rebuilding source scene.
Frame capture saved 46 frame(s) to ${RUN_TEMP}\run_00009_capture\frames
[FrameCounter] frames{5620} measure_start{60} measure_end{5560} sample_count{5500} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00009.csv_9_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-23-43.txt",,
