frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.67559,0.49981,0.01656,0.00216,0.01858,1.04305,0.04362,0.01222,18152448.10000
60,1.89321,0.51158,0.01793,0.00217,0.02028,1.22960,0.04692,0.01218,18586967.45000
120,1.39418,0.38823,0.01739,0.00217,0.02019,0.86946,0.04676,0.01215,13912915.15000
180,1.14052,0.06375,0.01457,0.00231,0.01984,0.95124,0.04475,0.01216,1334104.85000
240,0.99625,0.07140,0.01435,0.00218,0.01985,0.79518,0.04519,0.01217,1563999.05000
300,0.68536,0.05845,0.01409,0.00214,0.01973,0.49979,0.04440,0.01220,942806.45000
360,0.99225,0.04543,0.01440,0.00232,0.01973,0.81895,0.04439,0.01216,651664.20000
420,1.15339,0.03948,0.01469,0.00229,0.01974,0.98464,0.04469,0.01220,531526.60000
480,0.84093,0.03405,0.01437,0.00214,0.01971,0.67871,0.04569,0.01215,335265.25000
540,0.79139,0.03637,0.01438,0.00216,0.01979,0.62766,0.04527,0.01216,394504.35000
600,2.14092,0.58693,0.01759,0.00283,0.02022,1.42621,0.04270,0.01210,18946657.50000
660,2.47594,0.78074,0.01855,0.00294,0.02087,1.57024,0.04136,0.01212,22204983.50000
720,2.18504,0.78872,0.01824,0.00272,0.02077,1.25353,0.04129,0.01214,22048389.25000
780,2.27988,0.73445,0.01857,0.00288,0.02117,1.40647,0.04178,0.01220,22030151.10000
840,1.78794,0.78693,0.01772,0.00281,0.02032,0.86381,0.04237,0.01232,22933227.50000
900,1.99142,0.82466,0.01785,0.00285,0.02032,1.03438,0.04264,0.01221,23109201.20000
960,1.69160,0.72084,0.01804,0.00272,0.02076,0.83554,0.04170,0.01216,21561609.35000
1020,1.71152,0.64123,0.01806,0.00271,0.02077,0.93619,0.04186,0.01219,20587357.35000
1080,1.51464,0.55147,0.01786,0.00252,0.02041,0.82266,0.04315,0.01217,19340923.10000
1140,1.22076,0.33263,0.01631,0.00223,0.02025,0.75939,0.04341,0.01217,11587346.20000
1200,1.36432,0.51133,0.01765,0.00260,0.02036,0.72916,0.04167,0.01217,18118567.50000
1260,0.90955,0.46720,0.01736,0.00233,0.02050,0.30840,0.04345,0.01242,16796927.25000
1320,0.91727,0.49690,0.01741,0.00222,0.02063,0.28438,0.04402,0.01241,17025278.05000
1380,1.66291,0.69967,0.01746,0.00271,0.02024,0.83503,0.04121,0.01208,20513194.45000
1440,2.34058,0.83777,0.01702,0.00260,0.01954,1.36569,0.04140,0.01208,22738668.90000
1500,2.29471,0.91031,0.01650,0.00275,0.01901,1.24778,0.04161,0.01203,24340029.45000
1560,1.92814,0.95120,0.01589,0.00285,0.01819,0.84796,0.04155,0.01196,25480750.30000
1620,1.94926,0.97219,0.01554,0.00257,0.01768,0.84222,0.04128,0.01207,25990293.40000
1680,2.18304,0.98432,0.01535,0.00271,0.01695,1.07776,0.04169,0.01201,26398667.95000
1740,1.94001,0.96851,0.01441,0.00269,0.01590,0.84892,0.03924,0.01200,26393518.40000
1800,1.88459,0.99230,0.01438,0.00256,0.01600,0.77399,0.03974,0.01195,26437710.30000
1860,2.00600,0.99609,0.01500,0.00259,0.01672,0.87961,0.03954,0.01198,26437681.00000
1920,2.06872,0.99247,0.01574,0.00248,0.01763,0.93506,0.04120,0.01210,26437617.40000
1980,1.98262,0.94629,0.01572,0.00263,0.01825,0.90754,0.04178,0.01200,25454451.50000
2040,1.70087,0.71850,0.01601,0.00251,0.01856,0.84929,0.04193,0.01204,22314910.70000
2100,1.51627,0.49207,0.01653,0.00252,0.01948,0.89366,0.04416,0.01219,16667258.70000
2160,0.54166,0.13922,0.01288,0.00215,0.01721,0.28182,0.04349,0.01231,3680024.70000
2220,0.15853,0.01276,0.01043,0.00206,0.01290,0.03685,0.03984,0.01146,250198.20000
2280,0.14072,0.00669,0.01005,0.00202,0.01241,0.02693,0.03980,0.01137,81778.25000
2340,0.12993,0.00313,0.00978,0.00197,0.01220,0.02123,0.03986,0.01135,0.00000
2400,0.12993,0.00306,0.00982,0.00198,0.01220,0.02128,0.03988,0.01135,0.00000
2460,0.12991,0.00313,0.00980,0.00198,0.01219,0.02126,0.03980,0.01132,0.00000
