frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.49489,0.29405,0.01538,0.00224,0.01710,0.07710,0.04214,0.01190,3553381.35000
60,0.54577,0.31007,0.01666,0.00224,0.01859,0.10471,0.04632,0.01239,3662944.30000
120,0.47966,0.20134,0.01688,0.00223,0.02120,0.14139,0.05029,0.01308,2176008.00000
180,0.42487,0.15393,0.01606,0.00222,0.02041,0.13549,0.04958,0.01340,1760027.75000
240,0.48542,0.21869,0.01651,0.00217,0.02053,0.13156,0.04793,0.01262,2911562.30000
300,0.45835,0.21037,0.01626,0.00213,0.02040,0.11769,0.04543,0.01271,3211259.30000
360,0.45861,0.20794,0.01635,0.00213,0.02059,0.11933,0.04598,0.01274,3197534.35000
420,0.38822,0.14429,0.01556,0.00214,0.02039,0.11404,0.04602,0.01277,2080022.75000
480,0.39250,0.14711,0.01572,0.00213,0.02045,0.11301,0.04594,0.01281,2143202.10000
540,0.42539,0.17999,0.01599,0.00213,0.02042,0.11342,0.04553,0.01280,2652802.15000
600,0.43246,0.19149,0.01605,0.00213,0.02038,0.11131,0.04494,0.01270,2718203.40000
660,0.35069,0.10648,0.01531,0.00214,0.02036,0.11492,0.04557,0.01280,1551084.95000
720,0.40349,0.16462,0.01541,0.00213,0.02015,0.11028,0.04469,0.01270,2455791.85000
780,0.37929,0.15143,0.01466,0.00213,0.01963,0.10184,0.04455,0.01278,2049572.45000
840,0.30945,0.08429,0.01388,0.00213,0.01939,0.09935,0.04549,0.01305,904159.35000
900,0.41575,0.18646,0.01453,0.00213,0.01956,0.10145,0.04419,0.01280,2916661.70000
960,0.47317,0.22443,0.01622,0.00213,0.02055,0.11959,0.04452,0.01259,3578981.25000
1020,0.42959,0.18042,0.01612,0.00214,0.02057,0.11974,0.04486,0.01257,2767377.40000
1080,0.41042,0.16148,0.01602,0.00214,0.02056,0.11877,0.04539,0.01269,2271770.15000
1140,0.46762,0.21175,0.01653,0.00214,0.02082,0.12333,0.04546,0.01267,2903832.20000
1200,0.44014,0.18508,0.01672,0.00214,0.02113,0.12406,0.04537,0.01263,2424988.15000
1260,0.40692,0.15872,0.01620,0.00213,0.02075,0.11811,0.04512,0.01263,2026572.10000
1320,0.41042,0.16431,0.01584,0.00214,0.02056,0.11570,0.04531,0.01264,2301510.50000
1380,0.42220,0.16896,0.01635,0.00215,0.02083,0.12141,0.04563,0.01263,2404923.35000
1440,0.45184,0.19071,0.01702,0.00214,0.02128,0.12837,0.04521,0.01248,2983851.65000
1500,0.59768,0.33031,0.01772,0.00214,0.02132,0.13267,0.04610,0.01266,5965339.50000
1560,0.62732,0.37063,0.01734,0.00213,0.02088,0.12406,0.04604,0.01276,6425388.50000
1620,0.62547,0.36084,0.01784,0.00214,0.02142,0.13109,0.04655,0.01277,6351675.30000
1680,0.48724,0.23491,0.01676,0.00214,0.02094,0.12056,0.04586,0.01273,3853289.10000
1740,0.36925,0.12290,0.01600,0.00214,0.02077,0.11596,0.04576,0.01270,1807302.25000
1800,0.36077,0.11449,0.01581,0.00215,0.02072,0.11578,0.04587,0.01274,1503980.35000
1860,0.35267,0.10757,0.01566,0.00214,0.02058,0.11465,0.04591,0.01277,1304820.90000
1920,0.34920,0.10318,0.01576,0.00215,0.02074,0.11543,0.04607,0.01277,1271388.55000
1980,0.33715,0.09273,0.01579,0.00214,0.02064,0.11383,0.04603,0.01278,1145896.95000
