frame,total,visibility,visibility_debug,index_count
0,0.23288,0.20714,0.01691,2955774.10000
60,0.27285,0.24413,0.02070,3390293.45000
120,0.16628,0.14152,0.01675,1763572.05000
180,0.10614,0.08618,0.01263,1334104.85000
240,0.10391,0.08331,0.01171,1563999.05000
300,0.07686,0.05870,0.01104,942806.45000
360,0.06186,0.04385,0.01073,651664.20000
420,0.05571,0.03809,0.01071,531526.60000
480,0.05055,0.03305,0.01074,335265.25000
540,0.05189,0.03426,0.01071,394504.35000
600,0.25672,0.23242,0.01463,4763095.10000
660,0.35996,0.33629,0.01542,7008309.50000
720,0.35980,0.33696,0.01502,6851715.25000
780,0.36639,0.34363,0.01517,6833477.10000
840,0.40286,0.38183,0.01240,7736553.50000
900,0.41392,0.39374,0.01205,7912527.20000
960,0.34489,0.32519,0.01202,6364935.35000
1020,0.28949,0.26723,0.01381,5390683.35000
1080,0.23649,0.21466,0.01423,4144249.10000
1140,0.14931,0.13020,0.01152,2469341.80000
1200,0.17237,0.15248,0.01186,2921893.50000
1260,0.09942,0.08131,0.01086,1600253.25000
1320,0.12996,0.10974,0.01088,1828604.05000
1380,0.29448,0.27408,0.01183,5316520.45000
1440,0.38817,0.36647,0.01237,7541994.90000
1500,0.45364,0.43358,0.01208,9143355.45000
1560,0.48271,0.46221,0.01256,10284076.30000
1620,0.48753,0.46706,0.01297,10793619.40000
1680,0.49862,0.47822,0.01290,11201993.95000
1740,0.49554,0.47555,0.01255,11196844.40000
1800,0.49966,0.48009,0.01207,11241036.30000
1860,0.50354,0.48367,0.01237,11241007.00000
1920,0.51166,0.49137,0.01270,11240943.40000
1980,0.47927,0.45960,0.01210,10257777.50000
2040,0.36171,0.34219,0.01152,7118236.70000
2100,0.26636,0.24503,0.01160,4779189.60000
2160,0.10724,0.08927,0.01080,1653801.50000
2220,0.03020,0.01257,0.01072,250198.20000
2280,0.02468,0.00673,0.01094,81778.25000
2340,0.02168,0.00327,0.01107,0.00000
2400,0.02432,0.00573,0.01109,0.00000
2460,0.02173,0.00322,0.01107,0.00000
