frame,total,visibility,visibility_debug,index_count
0,0.24092,0.20854,0.02281,3553381.35000
60,0.25859,0.22777,0.02344,3662944.30000
120,0.17796,0.15212,0.01822,2176008.00000
180,0.11166,0.09052,0.01419,1760027.75000
240,0.20722,0.17700,0.02115,2911562.30000
300,0.23764,0.20699,0.02367,3211259.30000
360,0.23927,0.20673,0.02301,3197534.35000
420,0.15383,0.13027,0.01670,2080022.75000
480,0.16436,0.13708,0.01782,2143202.10000
540,0.19636,0.16951,0.01991,2652802.15000
600,0.18956,0.16659,0.01568,2718203.40000
660,0.10606,0.08702,0.01214,1551084.95000
720,0.14554,0.12387,0.01376,2455791.85000
780,0.13417,0.11471,0.01244,2049572.45000
840,0.08248,0.06432,0.01162,904159.35000
900,0.16948,0.14872,0.01346,2916661.70000
960,0.20515,0.18177,0.01604,3578981.25000
1020,0.16454,0.14229,0.01518,2767377.40000
1080,0.14774,0.12500,0.01358,2271770.15000
1140,0.18742,0.16490,0.01530,2903832.20000
1200,0.16552,0.14176,0.01442,2424988.15000
1260,0.14095,0.12107,0.01295,2026572.10000
1320,0.15416,0.13361,0.01292,2301510.50000
1380,0.15492,0.13396,0.01395,2404923.35000
1440,0.17358,0.14925,0.01591,2983851.65000
1500,0.29528,0.27089,0.01717,5965339.50000
1560,0.32191,0.29725,0.01704,6425388.50000
1620,0.31906,0.29428,0.01716,6351675.30000
1680,0.21062,0.18763,0.01577,3853289.10000
1740,0.10859,0.08970,0.01199,1807302.25000
1800,0.10624,0.08779,0.01161,1503980.35000
1860,0.10359,0.08529,0.01168,1304820.90000
1920,0.10084,0.08241,0.01162,1271388.55000
1980,0.09340,0.07510,0.01166,1145896.95000
2040,0.08851,0.06799,0.01164,833803.50000
2100,0.08492,0.06659,0.01162,724541.55000
2160,0.08120,0.06280,0.01169,651558.70000
2220,0.07717,0.05895,0.01162,606690.35000
2280,0.05251,0.03431,0.01143,387407.30000
2340,0.14786,0.12670,0.01405,2264677.55000
2400,0.23836,0.21275,0.01640,3983123.90000
2460,0.24257,0.21939,0.01637,4233659.50000
2520,0.22019,0.19679,0.01637,3774183.40000
2580,0.19084,0.16756,0.01614,2738790.20000
2640,0.15680,0.13627,0.01366,2234217.40000
2700,0.13248,0.11369,0.01246,1876452.05000
2760,0.11655,0.09795,0.01182,1554160.70000
2820,0.11049,0.09216,0.01172,1444209.80000
2880,0.10167,0.08339,0.01168,1270269.50000
2940,0.09097,0.07243,0.01170,1185182.60000
3000,0.20314,0.17960,0.01444,3737532.35000
3060,0.27370,0.25012,0.01661,5419981.65000
3120,0.27344,0.24713,0.01689,5328916.45000
3180,0.25807,0.23434,0.01671,4942521.95000
3240,0.23516,0.21144,0.01665,4355188.50000
3300,0.21966,0.19632,0.01648,3918437.60000
3360,0.20207,0.17890,0.01607,3488605.15000
3420,0.18103,0.15938,0.01495,3070083.20000
3480,0.17023,0.14876,0.01441,2804740.95000
3540,0.16008,0.13931,0.01399,2554279.00000
3600,0.15435,0.13307,0.01426,2404749.20000
3660,0.14681,0.12600,0.01390,2364661.40000
3720,0.13827,0.11786,0.01363,2323845.85000
3780,0.12822,0.10944,0.01208,2171285.25000
3840,0.12596,0.10443,0.01219,2069926.10000
3900,0.11096,0.09306,0.01132,1706132.85000
3960,0.10380,0.08563,0.01138,1310622.90000
4020,0.10187,0.08395,0.01139,1119696.90000
4080,0.10467,0.08654,0.01147,958432.85000
4140,0.09256,0.07444,0.01139,891260.80000
4200,0.07311,0.05489,0.01155,795127.20000
4260,0.13582,0.11619,0.01279,2716290.05000
4320,0.37284,0.34878,0.01655,7242797.15000
4380,0.32257,0.29936,0.01574,6033148.00000
4440,0.06703,0.04897,0.01137,867288.75000
4500,0.07260,0.05458,0.01147,698827.95000
4560,0.06757,0.04956,0.01129,684012.30000
4620,0.07385,0.05585,0.01140,872447.40000
4680,0.13940,0.11765,0.01321,2415162.35000
4740,0.27355,0.25034,0.01583,5264990.15000
4800,0.37970,0.35409,0.01596,7605016.10000
4860,0.35908,0.33640,0.01529,7298187.05000
4920,0.36602,0.34294,0.01526,7437915.15000
4980,0.39941,0.37621,0.01570,8149009.90000
5040,0.31125,0.28647,0.01549,5907876.05000
5100,0.33141,0.30826,0.01574,6713387.25000
5160,0.42023,0.39459,0.01603,8461629.95000
5220,0.41962,0.39624,0.01606,8496360.00000
5280,0.41812,0.39269,0.01595,8448473.20000
5340,0.32972,0.30732,0.01514,6607069.85000
5400,0.05982,0.04189,0.01097,1056943.50000
5460,0.03200,0.01406,0.01097,344217.00000
