scene,param_material_assign_max_open,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
Bistro,1,0.5525,0.66682,0.8285594313307939,-17.14405686692061
Bistro,2,0.53898,0.68032,0.792244825964252,-20.775517403574796
Bistro,4,0.57236,0.68456,0.8360991001519225,-16.390089984807755
Bistro,8,0.5241,0.75187,0.6970619920996981,-30.29380079003019
Bistro,16,0.56007,0.71573,0.7825157531471365,-21.74842468528635
Bistro,32,0.57382,0.70675,0.811913689423417,-18.8086310576583
Bistro,64,0.55733,0.7439,0.7492001613120043,-25.079983868799573
Sponza,1,1.23611,1.52953,0.8081632919916576,-19.18367080083424
Sponza,2,1.25391,1.42745,0.8784265648534099,-12.157343514659013
Sponza,4,1.17062,1.30647,0.8960175128399427,-10.398248716005732
Sponza,8,1.18582,1.28013,0.9263277948333373,-7.367220516666273
Sponza,16,1.17196,1.21713,0.9628881056255287,-3.7111894374471266
Sponza,32,1.17698,1.20937,0.9732174603305852,-2.6782539669414795
Sponza,64,1.19333,1.21804,0.9797133099077205,-2.028669009227946
Sponza Ivy,1,1.29693,1.64778,0.7870771583585187,-21.292284164148136
Sponza Ivy,2,1.28144,1.52896,0.8381121808287986,-16.188781917120142
Sponza Ivy,4,1.30468,1.3876,0.9402421447102912,-5.975785528970878
Sponza Ivy,8,1.28986,1.38873,0.9288054553440913,-7.119454465590868
Sponza Ivy,16,1.29488,1.33059,0.9731622813939682,-2.683771860603179
Sponza Ivy,32,1.27796,1.38514,0.9226215400609324,-7.737845993906756
Sponza Ivy,64,1.2989,1.38034,0.9410000434675515,-5.899995653244849
