scene,renderer,pass_name,pass_time_avg_ms
Bistro,DeferredPrepass,depth_prepass,0.1409
Bistro,DeferredPrepass,geometry,0.24927
Bistro,DeferredPrepass,lighting,0.09382
Bistro,DeferredPrepass,tonemap,0.03765
Bistro,VisBuf,gbuffer,0.21563
Bistro,VisBuf,lighting,0.09691
Bistro,VisBuf,tonemap,0.03591
Bistro,VisBuf,visibility,0.21418
Bistro,VisBuf,visutil_flatten,0.03916
Bistro,VisBuf,visutil_histogram,0.02894
Bistro,VisBuf,visutil_prefix,0.00269
Sponza,DeferredPrepass,depth_prepass,0.1584
Sponza,DeferredPrepass,geometry,0.86944
Sponza,DeferredPrepass,lighting,0.09018
Sponza,DeferredPrepass,tonemap,0.03621
Sponza,VisBuf,gbuffer,1.31543
Sponza,VisBuf,lighting,0.08955
Sponza,VisBuf,tonemap,0.03573
Sponza,VisBuf,visibility,0.22112
Sponza,VisBuf,visutil_flatten,0.03691
Sponza,VisBuf,visutil_histogram,0.02726
Sponza,VisBuf,visutil_prefix,0.00272
Sponza Ivy,DeferredPrepass,depth_prepass,0.40774
Sponza Ivy,DeferredPrepass,geometry,1.12024
Sponza Ivy,DeferredPrepass,lighting,0.08804
Sponza Ivy,DeferredPrepass,tonemap,0.03539
Sponza Ivy,VisBuf,gbuffer,1.31007
Sponza Ivy,VisBuf,lighting,0.08891
Sponza Ivy,VisBuf,tonemap,0.03584
Sponza Ivy,VisBuf,visibility,0.53913
Sponza Ivy,VisBuf,visutil_flatten,0.03728
Sponza Ivy,VisBuf,visutil_histogram,0.02961
Sponza Ivy,VisBuf,visutil_prefix,0.00275
