frame,total,depth_prepass,geometry,lighting,tonemap,index_count,renderer,scene,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer
0,1.98186,0.10576,1.68746,0.1205,0.05245,2955774.1,DeferredPrepass,Sponza,,,,,
60,1.38113,0.08304,1.14882,0.09705,0.03845,3390293.45,DeferredPrepass,Sponza,,,,,
120,1.29892,0.0511,1.09472,0.09965,0.0385,1763572.05,DeferredPrepass,Sponza,,,,,
180,1.16707,0.05188,0.9595,0.09833,0.03826,1334104.85,DeferredPrepass,Sponza,,,,,
240,0.97687,0.05028,0.77548,0.09909,0.03774,1563999.05,DeferredPrepass,Sponza,,,,,
300,0.82964,0.0424,0.63609,0.09737,0.03752,942806.45,DeferredPrepass,Sponza,,,,,
360,1.23473,0.03734,1.0348,0.0994,0.03798,651664.2,DeferredPrepass,Sponza,,,,,
420,1.25343,0.03151,1.06702,0.10035,0.03804,531526.6,DeferredPrepass,Sponza,,,,,
480,1.03194,0.02147,0.85394,0.10275,0.03749,335265.25,DeferredPrepass,Sponza,,,,,
540,0.96412,0.02541,0.78664,0.09297,0.03795,394504.35,DeferredPrepass,Sponza,,,,,
600,1.497,0.12814,1.22005,0.08879,0.03835,4763095.1,DeferredPrepass,Sponza,,,,,
660,1.43337,0.18249,1.1093,0.08807,0.03861,7008309.5,DeferredPrepass,Sponza,,,,,
720,1.23957,0.19384,0.90677,0.08643,0.03799,6851715.25,DeferredPrepass,Sponza,,,,,
780,1.46326,0.20355,1.11872,0.08783,0.03845,6833477.1,DeferredPrepass,Sponza,,,,,
840,1.11995,0.25389,0.71919,0.09053,0.03972,7736553.5,DeferredPrepass,Sponza,,,,,
900,1.39382,0.26207,0.97593,0.09147,0.04272,7912527.2,DeferredPrepass,Sponza,,,,,
960,1.10545,0.19504,0.76297,0.08859,0.03966,6364935.35,DeferredPrepass,Sponza,,,,,
1020,1.0605,0.15425,0.75765,0.08698,0.03816,5390683.35,DeferredPrepass,Sponza,,,,,
1080,1.02024,0.12067,0.75655,0.08831,0.0378,4144249.1,DeferredPrepass,Sponza,,,,,
1140,0.95916,0.07768,0.73944,0.08664,0.03786,2469341.8,DeferredPrepass,Sponza,,,,,
1200,0.97275,0.08467,0.74375,0.08996,0.03815,2921893.5,DeferredPrepass,Sponza,,,,,
