source_config,runner_run_index,renderer,scene,linear_gbuffer,pass_slot,pass_name,pass_time_avg_ms
00_renderer_fairness_smoke,0,DeferredPrepass,Sponza,False,0,total,0.94819
00_renderer_fairness_smoke,0,DeferredPrepass,Sponza,False,1,depth_prepass,0.06707
00_renderer_fairness_smoke,0,DeferredPrepass,Sponza,False,2,geometry,0.8051
00_renderer_fairness_smoke,0,DeferredPrepass,Sponza,False,3,lighting,0.04967
00_renderer_fairness_smoke,0,DeferredPrepass,Sponza,False,4,tonemap,0.01275
00_renderer_fairness_smoke,1,VisBuf,Sponza,False,0,total,0.79397
00_renderer_fairness_smoke,1,VisBuf,Sponza,False,1,visibility,0.08853
00_renderer_fairness_smoke,1,VisBuf,Sponza,False,2,visutil_histogram,0.01494
00_renderer_fairness_smoke,1,VisBuf,Sponza,False,3,visutil_prefix,0.00215
00_renderer_fairness_smoke,1,VisBuf,Sponza,False,4,visutil_flatten,0.02018
00_renderer_fairness_smoke,1,VisBuf,Sponza,False,5,gbuffer,0.58093
00_renderer_fairness_smoke,1,VisBuf,Sponza,False,6,lighting,0.04284
00_renderer_fairness_smoke,1,VisBuf,Sponza,False,7,tonemap,0.0121
00_renderer_fairness_smoke,2,DeferredPrepass,Sponza,True,0,total,0.9283
00_renderer_fairness_smoke,2,DeferredPrepass,Sponza,True,1,depth_prepass,0.06576
00_renderer_fairness_smoke,2,DeferredPrepass,Sponza,True,2,geometry,0.78758
00_renderer_fairness_smoke,2,DeferredPrepass,Sponza,True,3,lighting,0.04862
00_renderer_fairness_smoke,2,DeferredPrepass,Sponza,True,4,tonemap,0.01272
00_renderer_fairness_smoke,3,VisBuf,Sponza,True,0,total,0.81967
00_renderer_fairness_smoke,3,VisBuf,Sponza,True,1,visibility,0.09062
00_renderer_fairness_smoke,3,VisBuf,Sponza,True,2,visutil_histogram,0.01506
00_renderer_fairness_smoke,3,VisBuf,Sponza,True,3,visutil_prefix,0.00216
00_renderer_fairness_smoke,3,VisBuf,Sponza,True,4,visutil_flatten,0.02022
00_renderer_fairness_smoke,3,VisBuf,Sponza,True,5,gbuffer,0.60371
00_renderer_fairness_smoke,3,VisBuf,Sponza,True,6,lighting,0.04329
00_renderer_fairness_smoke,3,VisBuf,Sponza,True,7,tonemap,0.01224
01_synth_decoupling_smoke,0,DeferredPrepass,Synthetic,False,0,total,0.24136
01_synth_decoupling_smoke,0,DeferredPrepass,Synthetic,False,1,depth_prepass,0.02234
01_synth_decoupling_smoke,0,DeferredPrepass,Synthetic,False,2,geometry,0.09333
01_synth_decoupling_smoke,0,DeferredPrepass,Synthetic,False,3,lighting,0.08484
01_synth_decoupling_smoke,0,DeferredPrepass,Synthetic,False,4,tonemap,0.02799
01_synth_decoupling_smoke,1,VisBuf,Synthetic,False,0,total,0.31562
01_synth_decoupling_smoke,1,VisBuf,Synthetic,False,1,visibility,0.03233
01_synth_decoupling_smoke,1,VisBuf,Synthetic,False,2,visutil_histogram,0.02274
01_synth_decoupling_smoke,1,VisBuf,Synthetic,False,3,visutil_prefix,0.00216
01_synth_decoupling_smoke,1,VisBuf,Synthetic,False,4,visutil_flatten,0.03041
01_synth_decoupling_smoke,1,VisBuf,Synthetic,False,5,gbuffer,0.07801
01_synth_decoupling_smoke,1,VisBuf,Synthetic,False,6,lighting,0.08898
01_synth_decoupling_smoke,1,VisBuf,Synthetic,False,7,tonemap,0.03009
01_synth_decoupling_smoke,2,DeferredPrepass,Synthetic,False,0,total,0.24561
01_synth_decoupling_smoke,2,DeferredPrepass,Synthetic,False,1,depth_prepass,0.02529
01_synth_decoupling_smoke,2,DeferredPrepass,Synthetic,False,2,geometry,0.09474
01_synth_decoupling_smoke,2,DeferredPrepass,Synthetic,False,3,lighting,0.0849
01_synth_decoupling_smoke,2,DeferredPrepass,Synthetic,False,4,tonemap,0.0278
01_synth_decoupling_smoke,3,VisBuf,Synthetic,False,0,total,0.3216
01_synth_decoupling_smoke,3,VisBuf,Synthetic,False,1,visibility,0.03242
01_synth_decoupling_smoke,3,VisBuf,Synthetic,False,2,visutil_histogram,0.02425
01_synth_decoupling_smoke,3,VisBuf,Synthetic,False,3,visutil_prefix,0.00214
01_synth_decoupling_smoke,3,VisBuf,Synthetic,False,4,visutil_flatten,0.03183
01_synth_decoupling_smoke,3,VisBuf,Synthetic,False,5,gbuffer,0.07979
01_synth_decoupling_smoke,3,VisBuf,Synthetic,False,6,lighting,0.08915
01_synth_decoupling_smoke,3,VisBuf,Synthetic,False,7,tonemap,0.03004
01_synth_decoupling_smoke,4,DeferredPrepass,Synthetic,False,0,total,0.24674
01_synth_decoupling_smoke,4,DeferredPrepass,Synthetic,False,1,depth_prepass,0.02563
01_synth_decoupling_smoke,4,DeferredPrepass,Synthetic,False,2,geometry,0.09475
01_synth_decoupling_smoke,4,DeferredPrepass,Synthetic,False,3,lighting,0.08501
01_synth_decoupling_smoke,4,DeferredPrepass,Synthetic,False,4,tonemap,0.02828
01_synth_decoupling_smoke,5,VisBuf,Synthetic,False,0,total,0.32975
01_synth_decoupling_smoke,5,VisBuf,Synthetic,False,1,visibility,0.03244
01_synth_decoupling_smoke,5,VisBuf,Synthetic,False,2,visutil_histogram,0.02447
01_synth_decoupling_smoke,5,VisBuf,Synthetic,False,3,visutil_prefix,0.00213
01_synth_decoupling_smoke,5,VisBuf,Synthetic,False,4,visutil_flatten,0.03216
01_synth_decoupling_smoke,5,VisBuf,Synthetic,False,5,gbuffer,0.08839
01_synth_decoupling_smoke,5,VisBuf,Synthetic,False,6,lighting,0.08866
01_synth_decoupling_smoke,5,VisBuf,Synthetic,False,7,tonemap,0.02991
02_synth_material_count_same_class_dense,0,DeferredPrepass,Synthetic,False,0,total,0.24292
02_synth_material_count_same_class_dense,0,DeferredPrepass,Synthetic,False,1,depth_prepass,0.02284
02_synth_material_count_same_class_dense,0,DeferredPrepass,Synthetic,False,2,geometry,0.09346
02_synth_material_count_same_class_dense,0,DeferredPrepass,Synthetic,False,3,lighting,0.08546
02_synth_material_count_same_class_dense,0,DeferredPrepass,Synthetic,False,4,tonemap,0.02781
02_synth_material_count_same_class_dense,1,VisBuf,Synthetic,False,0,total,0.31957
02_synth_material_count_same_class_dense,1,VisBuf,Synthetic,False,1,visibility,0.03238
02_synth_material_count_same_class_dense,1,VisBuf,Synthetic,False,2,visutil_histogram,0.02271
02_synth_material_count_same_class_dense,1,VisBuf,Synthetic,False,3,visutil_prefix,0.00217
02_synth_material_count_same_class_dense,1,VisBuf,Synthetic,False,4,visutil_flatten,0.03079
02_synth_material_count_same_class_dense,1,VisBuf,Synthetic,False,5,gbuffer,0.07839
02_synth_material_count_same_class_dense,1,VisBuf,Synthetic,False,6,lighting,0.09098
02_synth_material_count_same_class_dense,1,VisBuf,Synthetic,False,7,tonemap,0.02961
02_synth_material_count_same_class_dense,2,DeferredPrepass,Synthetic,False,0,total,0.24264
02_synth_material_count_same_class_dense,2,DeferredPrepass,Synthetic,False,1,depth_prepass,0.02276
02_synth_material_count_same_class_dense,2,DeferredPrepass,Synthetic,False,2,geometry,0.09343
02_synth_material_count_same_class_dense,2,DeferredPrepass,Synthetic,False,3,lighting,0.08517
02_synth_material_count_same_class_dense,2,DeferredPrepass,Synthetic,False,4,tonemap,0.02825
02_synth_material_count_same_class_dense,3,VisBuf,Synthetic,False,0,total,0.31678
02_synth_material_count_same_class_dense,3,VisBuf,Synthetic,False,1,visibility,0.03245
02_synth_material_count_same_class_dense,3,VisBuf,Synthetic,False,2,visutil_histogram,0.02274
02_synth_material_count_same_class_dense,3,VisBuf,Synthetic,False,3,visutil_prefix,0.00217
02_synth_material_count_same_class_dense,3,VisBuf,Synthetic,False,4,visutil_flatten,0.03049
02_synth_material_count_same_class_dense,3,VisBuf,Synthetic,False,5,gbuffer,0.0783
02_synth_material_count_same_class_dense,3,VisBuf,Synthetic,False,6,lighting,0.08952
02_synth_material_count_same_class_dense,3,VisBuf,Synthetic,False,7,tonemap,0.02984
02_synth_material_count_same_class_dense,4,DeferredPrepass,Synthetic,False,0,total,0.24206
02_synth_material_count_same_class_dense,4,DeferredPrepass,Synthetic,False,1,depth_prepass,0.02273
02_synth_material_count_same_class_dense,4,DeferredPrepass,Synthetic,False,2,geometry,0.09344
02_synth_material_count_same_class_dense,4,DeferredPrepass,Synthetic,False,3,lighting,0.08492
02_synth_material_count_same_class_dense,4,DeferredPrepass,Synthetic,False,4,tonemap,0.02789
02_synth_material_count_same_class_dense,5,VisBuf,Synthetic,False,0,total,0.31664
02_synth_material_count_same_class_dense,5,VisBuf,Synthetic,False,1,visibility,0.0324
02_synth_material_count_same_class_dense,5,VisBuf,Synthetic,False,2,visutil_histogram,0.02274
02_synth_material_count_same_class_dense,5,VisBuf,Synthetic,False,3,visutil_prefix,0.00217
