run-id,run-name,output-filepath,renderer-variant,visibility-debug-mode,donut-linear-gbuffer,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_visibility_debug_mode,param_donut_linear_gbuffer,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets,source_config,renderer_variant_numeric,renderer,scene,linear_gbuffer
0,00_renderer_fairness_smoke,${RUN_TEMP}\run_00000.csv,8,2,0,0,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,300,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1280,720,17,0,8,1.0,1.0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.94819,depth_prepass,0.06707,geometry,0.8051,lighting,0.04967,tonemap,0.01275,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutDeferredPrepass,2026-07-30T00:40:50,playback,0.51258,0.80304,1.70592,0.94819,0.5217,0.57331,1.51542,1.67718,4,0,1,100,8,2,0,0,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,300,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1280,720,17,0,8,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,00_renderer_fairness_smoke,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{420} measure_start{60} measure_end{360} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00000.csv_0_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-41-10.txt",,,00_renderer_fairness_smoke,8,DeferredPrepass,Sponza,False
1,00_renderer_fairness_smoke,${RUN_TEMP}\run_00001.csv,9,2,0,1,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,300,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1280,720,17,0,8,1.0,1.0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.79397,visibility,0.08853,visutil_histogram,0.01494,visutil_prefix,0.00215,visutil_flatten,0.02018,gbuffer,0.58093,lighting,0.04284,tonemap,0.0121,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutVisGBuffer,2026-07-30T00:41:10,playback,0.58406,0.77584,1.03072,0.79397,0.58803,0.66416,0.9672,1.01014,4,0,1,100,9,2,0,1,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,300,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1280,720,17,0,8,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,00_renderer_fairness_smoke,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{420} measure_start{60} measure_end{360} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00001.csv_1_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-41-29.txt",,,00_renderer_fairness_smoke,9,VisBuf,Sponza,False
2,00_renderer_fairness_smoke,${RUN_TEMP}\run_00002.csv,8,2,1,2,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,300,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1280,720,17,0,8,1.0,1.0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.9283,depth_prepass,0.06576,geometry,0.78758,lighting,0.04862,tonemap,0.01272,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutDeferredPrepass,2026-07-30T00:41:29,playback,0.51373,0.78397,1.71696,0.9283,0.52029,0.57901,1.53814,1.70384,4,0,1,100,8,2,1,2,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,300,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1280,720,17,0,8,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,00_renderer_fairness_smoke,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{420} measure_start{60} measure_end{360} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00002.csv_2_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-41-48.txt",,,00_renderer_fairness_smoke,8,DeferredPrepass,Sponza,True
3,00_renderer_fairness_smoke,${RUN_TEMP}\run_00003.csv,9,2,1,3,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,300,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1280,720,17,0,8,1.0,1.0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.81967,visibility,0.09062,visutil_histogram,0.01506,visutil_prefix,0.00216,visutil_flatten,0.02022,gbuffer,0.60371,lighting,0.04329,tonemap,0.01224,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutVisGBuffer,2026-07-30T00:41:48,playback,0.5857,0.7912,1.25098,0.81967,0.59018,0.66224,0.97942,1.18662,4,0,1,100,9,2,1,3,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,300,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1280,720,17,0,8,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,00_renderer_fairness_smoke,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{420} measure_start{60} measure_end{360} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00003.csv_3_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-42-08.txt",,,00_renderer_fairness_smoke,9,VisBuf,Sponza,True
0,01_synth_decoupling_smoke,${RUN_TEMP}\run_00000.csv,8,2,0,0,0,0,0,1,auto,unused,60,180,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1.0,1.0,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.24136,depth_prepass,0.02234,geometry,0.09333,lighting,0.08484,tonemap,0.02799,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutDeferredPrepass,2026-07-30T00:54:16,free,0.23904,0.24125,0.24813,0.24136,0.2393,0.24013,0.24262,0.24688,16641,0,128,100,8,2,0,0,0,0,0,1,auto,unused,60,180,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,01_synth_decoupling_smoke,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-54-17.txt",,,01_synth_decoupling_smoke,8,DeferredPrepass,Synthetic,False
1,01_synth_decoupling_smoke,${RUN_TEMP}\run_00001.csv,9,2,0,1,0,0,0,1,auto,unused,60,180,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1.0,1.0,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.31562,visibility,0.03233,visutil_histogram,0.02274,visutil_prefix,0.00216,visutil_flatten,0.03041,gbuffer,0.07801,lighting,0.08898,tonemap,0.03009,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutVisGBuffer,2026-07-30T00:54:17,free,0.31216,0.31542,0.32547,0.31562,0.31286,0.31408,0.31747,0.32378,16641,0,128,100,9,2,0,1,0,0,0,1,auto,unused,60,180,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,01_synth_decoupling_smoke,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-54-18.txt",,,01_synth_decoupling_smoke,9,VisBuf,Synthetic,False
2,01_synth_decoupling_smoke,${RUN_TEMP}\run_00002.csv,8,2,0,2,0,0,0,1,auto,unused,60,180,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1.0,1.0,0,0,-3,0,0,0,0.1,1000,0.785,1,64,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.24561,depth_prepass,0.02529,geometry,0.09474,lighting,0.0849,tonemap,0.0278,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutDeferredPrepass,2026-07-30T00:54:18,free,0.24326,0.2455,0.25235,0.24561,0.24374,0.24442,0.24682,0.25168,16641,0,128,100,8,2,0,2,0,0,0,1,auto,unused,60,180,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,64,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,01_synth_decoupling_smoke,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-54-19.txt",,,01_synth_decoupling_smoke,8,DeferredPrepass,Synthetic,False
3,01_synth_decoupling_smoke,${RUN_TEMP}\run_00003.csv,9,2,0,3,0,0,0,1,auto,unused,60,180,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1.0,1.0,0,0,-3,0,0,0,0.1,1000,0.785,1,64,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.3216,visibility,0.03242,visutil_histogram,0.02425,visutil_prefix,0.00214,visutil_flatten,0.03183,gbuffer,0.07979,lighting,0.08915,tonemap,0.03004,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutVisGBuffer,2026-07-30T00:54:19,free,0.31834,0.32144,0.33222,0.3216,0.3184,0.31994,0.32349,0.32822,16641,0,128,100,9,2,0,3,0,0,0,1,auto,unused,60,180,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,64,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,01_synth_decoupling_smoke,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-54-20.txt",,,01_synth_decoupling_smoke,9,VisBuf,Synthetic,False
4,01_synth_decoupling_smoke,${RUN_TEMP}\run_00004.csv,8,2,0,4,0,0,0,1,auto,unused,60,180,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,8,1.0,1.0,0,0,-3,0,0,0,0.1,1000,0.785,1,64,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.24674,depth_prepass,0.02563,geometry,0.09475,lighting,0.08501,tonemap,0.02828,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutDeferredPrepass,2026-07-30T00:54:20,free,0.24458,0.2465,0.26707,0.24674,0.24486,0.24576,0.24758,0.25328,16641,0,128,100,8,2,0,4,0,0,0,1,auto,unused,60,180,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,8,1.0,1.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,64,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,01_synth_decoupling_smoke,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-54-21.txt",,,01_synth_decoupling_smoke,8,DeferredPrepass,Synthetic,False
5,01_synth_decoupling_smoke,${RUN_TEMP}\run_00005.csv,9,2,0,5,0,0,0,1,auto,unused,60,180,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,8,1.0,1.0,0,0,-3,0,0,0,0.1,1000,0.785,1,64,1,0,0,-1,1,1,0.5,128,1,1,256,1,100,total,0.32975,visibility,0.03244,visutil_histogram,0.02447,visutil_prefix,0.00213,visutil_flatten,0.03216,gbuffer,0.08839,lighting,0.08866,tonemap,0.02991,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,DonutVisGBuffer,2026-07-30T00:54:21,free,0.32634,0.3295,0.33866,0.32975,0.32634,0.32758,0.332,0.33776,16641,0,128,100,9,2,0,5,0,0,0,1,auto,unused,60,180,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,8,1.0,1.0,128,0.0,0.0,-3.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,64,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,01_synth_decoupling_smoke,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_00-54-23.txt",,,01_synth_decoupling_smoke,9,VisBuf,Synthetic,False
