frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.87948,0.36111,1.35871,0.09521,0.03648,18152448.10000
60,1.95273,0.33174,1.46475,0.09508,0.03800,18586967.45000
120,1.70374,0.25629,1.29282,0.09613,0.03813,13912915.15000
180,1.14582,0.05188,0.93886,0.09972,0.03803,1334104.85000
240,0.98734,0.05034,0.78310,0.09966,0.03785,1563999.05000
300,0.83694,0.04233,0.64303,0.09734,0.03802,942806.45000
360,1.19638,0.03729,1.00493,0.09996,0.03803,651664.20000
420,1.25936,0.03136,1.06865,0.09976,0.03800,531526.60000
480,1.02642,0.02136,0.85503,0.09344,0.03749,335265.25000
540,0.96212,0.02537,0.79094,0.09193,0.03805,394504.35000
