frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.67568,0.26547,0.02783,0.00225,0.03435,0.17075,0.09916,0.04368,3553381.35000
60,0.65573,0.22739,0.02908,0.00219,0.03754,0.19006,0.09761,0.03670,3662944.30000
120,0.66644,0.18138,0.02992,0.00217,0.04184,0.23880,0.10125,0.03821,2176008.00000
180,0.62085,0.14244,0.02854,0.00217,0.04143,0.23371,0.10164,0.03839,1760027.75000
240,0.69219,0.19426,0.03089,0.00217,0.04263,0.24822,0.10340,0.03832,2911562.30000
300,0.72584,0.22147,0.03142,0.00217,0.04307,0.25171,0.10477,0.03829,3211259.30000
360,0.73040,0.22353,0.03117,0.00217,0.04352,0.25273,0.10605,0.03820,3197534.35000
420,0.66352,0.17462,0.02981,0.00232,0.04254,0.23907,0.10526,0.03811,2080022.75000
480,0.66516,0.17801,0.03020,0.00267,0.04275,0.24058,0.10616,0.03763,2143202.10000
540,0.70156,0.21415,0.03019,0.00272,0.04207,0.24266,0.10397,0.03745,2652802.15000
