frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,2.15512,0.50954,0.03032,0.00217,0.03619,1.40666,0.09543,0.03524,18152448.10000
60,2.46097,0.53006,0.03326,0.00245,0.03998,1.68931,0.09759,0.03886,18586967.45000
120,1.97442,0.40693,0.03217,0.00293,0.03951,1.32489,0.09680,0.03830,13912915.15000
180,1.72277,0.08899,0.02719,0.00279,0.03922,1.39283,0.10146,0.03780,1334104.85000
240,1.45797,0.09824,0.02726,0.00279,0.03936,1.12696,0.09855,0.03779,1563999.05000
300,1.04361,0.08997,0.02695,0.00283,0.03903,0.72277,0.09309,0.03727,942806.45000
360,1.60608,0.07518,0.02737,0.00275,0.03939,1.30194,0.09279,0.03857,651664.20000
420,1.82476,0.06807,0.02746,0.00270,0.03918,1.52326,0.09113,0.03840,531526.60000
480,1.32771,0.06013,0.02739,0.00273,0.03890,1.04423,0.09149,0.03772,335265.25000
540,1.23792,0.06402,0.02705,0.00275,0.03900,0.95073,0.09054,0.03809,394504.35000
