frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.84493,0.35633,1.33873,0.09402,0.03630,18152448.10000
60,1.95257,0.33188,1.46669,0.09472,0.03819,18586967.45000
120,1.70329,0.25610,1.29405,0.09519,0.03805,13912915.15000
180,1.16587,0.05184,0.96033,0.09886,0.03802,1334104.85000
240,0.99127,0.05028,0.78805,0.09929,0.03758,1563999.05000
300,0.83312,0.04215,0.63955,0.09704,0.03745,942806.45000
360,1.18816,0.03728,0.99689,0.09924,0.03804,651664.20000
420,1.25298,0.03133,1.06758,0.09926,0.03807,531526.60000
480,1.02361,0.02140,0.85510,0.09281,0.03758,335265.25000
540,0.96003,0.02532,0.78703,0.09047,0.03802,394504.35000
