frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.64711,0.16856,0.31728,0.10006,0.04651,3553381.35000
60,0.71807,0.18314,0.35079,0.11449,0.05464,3662944.30000
120,0.63162,0.14292,0.28099,0.12737,0.06462,2176008.00000
180,0.54985,0.10210,0.23889,0.12871,0.06408,1760027.75000
240,0.64055,0.14712,0.30037,0.11815,0.05714,2911562.30000
300,0.54602,0.14429,0.25075,0.09785,0.03925,3211259.30000
360,0.56522,0.15333,0.25924,0.09950,0.03914,3197534.35000
420,0.49619,0.11357,0.23086,0.09861,0.03908,2080022.75000
480,0.50220,0.11947,0.23165,0.09819,0.03890,2143202.10000
540,0.51415,0.13097,0.23464,0.09565,0.03887,2652802.15000
600,0.53023,0.14427,0.23802,0.09628,0.03759,2718203.40000
660,0.41701,0.07863,0.19235,0.09349,0.03873,1551084.95000
720,0.45107,0.10224,0.20118,0.09491,0.03868,2455791.85000
780,0.43457,0.10090,0.18440,0.09654,0.03861,2049572.45000
840,0.33488,0.04894,0.13760,0.09572,0.03876,904159.35000
900,0.46131,0.11538,0.20307,0.09262,0.03650,2916661.70000
960,0.56575,0.15869,0.25808,0.09674,0.03823,3578981.25000
1020,0.52621,0.13241,0.24356,0.09722,0.03880,2767377.40000
1080,0.54661,0.13721,0.25719,0.09923,0.03868,2271770.15000
1140,0.59874,0.17601,0.26998,0.09958,0.03899,2903832.20000
1200,0.54918,0.14911,0.24909,0.09867,0.03831,2424988.15000
1260,0.50130,0.12908,0.22753,0.09242,0.03795,2026572.10000
1320,0.52605,0.13667,0.23816,0.09915,0.03795,2301510.50000
1380,0.53698,0.13895,0.24787,0.09681,0.03848,2404923.35000
1440,0.53952,0.13864,0.25264,0.09550,0.03904,2983851.65000
1500,0.73035,0.21009,0.36804,0.09638,0.03883,5965339.50000
1560,0.74623,0.22683,0.36760,0.09640,0.03832,6425388.50000
1620,0.75985,0.22747,0.37975,0.09734,0.03847,6351675.30000
1680,0.59902,0.15883,0.29160,0.09600,0.03862,3853289.10000
1740,0.46589,0.10340,0.21389,0.09617,0.03875,1807302.25000
1800,0.47071,0.10700,0.21448,0.09654,0.03887,1503980.35000
1860,0.47433,0.10770,0.21670,0.09727,0.03886,1304820.90000
1920,0.46824,0.10088,0.21773,0.09688,0.03887,1271388.55000
1980,0.45477,0.08962,0.21690,0.09517,0.03901,1145896.95000
2040,0.44099,0.08125,0.21212,0.09471,0.03909,833803.50000
2100,0.42412,0.07460,0.20207,0.09482,0.03886,724541.55000
2160,0.40681,0.06388,0.19421,0.09578,0.03919,651558.70000
2220,0.39821,0.05511,0.19471,0.09529,0.03919,606690.35000
2280,0.27199,0.02952,0.10766,0.08808,0.03332,387407.30000
2340,0.43457,0.10052,0.19110,0.09278,0.03623,2264677.55000
2400,0.60294,0.17438,0.28521,0.09144,0.03784,3983123.90000
2460,0.63649,0.18958,0.29970,0.09485,0.03811,4233659.50000
2520,0.60365,0.17724,0.28211,0.09125,0.03862,3774183.40000
2580,0.56392,0.17995,0.23689,0.09409,0.03894,2738790.20000
2640,0.53943,0.15667,0.23266,0.09688,0.03923,2234217.40000
2700,0.52576,0.12967,0.24504,0.09815,0.03883,1876452.05000
2760,0.49902,0.10710,0.24327,0.09558,0.03915,1554160.70000
2820,0.49696,0.11269,0.23579,0.09571,0.03922,1444209.80000
