frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.67322,0.26623,0.02742,0.00227,0.03367,0.16691,0.10130,0.04215,3553381.35000
60,0.68381,0.24599,0.02886,0.00222,0.03676,0.19549,0.10144,0.03884,3662944.30000
120,0.66761,0.18081,0.02928,0.00217,0.04087,0.24217,0.10229,0.03751,2176008.00000
180,0.61424,0.14208,0.02781,0.00217,0.04044,0.22711,0.10384,0.03790,1760027.75000
240,0.68864,0.19432,0.03003,0.00218,0.04132,0.24426,0.10553,0.03813,2911562.30000
300,0.71719,0.22143,0.03025,0.00218,0.04142,0.24461,0.10660,0.03819,3211259.30000
360,0.72346,0.22384,0.03006,0.00218,0.04172,0.24883,0.10612,0.03815,3197534.35000
420,0.65757,0.17439,0.02871,0.00217,0.04130,0.23455,0.10578,0.03776,2080022.75000
480,0.65846,0.17794,0.02906,0.00258,0.04110,0.23616,0.10597,0.03746,2143202.10000
540,0.69676,0.21417,0.02951,0.00271,0.04094,0.24299,0.10400,0.03733,2652802.15000
600,0.71347,0.24199,0.02966,0.00293,0.04068,0.23478,0.10249,0.03654,2718203.40000
660,0.63638,0.14971,0.02853,0.00304,0.04095,0.25033,0.10197,0.03703,1551084.95000
720,0.65069,0.17480,0.02904,0.00266,0.04066,0.23735,0.10263,0.03693,2455791.85000
780,0.62588,0.17101,0.02751,0.00279,0.03964,0.21755,0.10480,0.03698,2049572.45000
840,0.56785,0.11658,0.02669,0.00245,0.03940,0.21247,0.10411,0.03700,904159.35000
900,0.65941,0.21451,0.02789,0.00270,0.03956,0.21352,0.09914,0.03572,2916661.70000
960,0.73820,0.24606,0.03087,0.00307,0.04133,0.25354,0.10179,0.03691,3578981.25000
1020,0.69260,0.20725,0.03019,0.00294,0.04112,0.24714,0.10083,0.03729,2767377.40000
1080,0.67107,0.19645,0.02952,0.00268,0.04063,0.24182,0.09853,0.03746,2271770.15000
1140,0.74357,0.24713,0.03109,0.00266,0.04141,0.25904,0.09954,0.03821,2903832.20000
1200,0.71903,0.22876,0.03082,0.00315,0.04206,0.25591,0.09687,0.03749,2424988.15000
1260,0.67687,0.20454,0.02973,0.00269,0.04151,0.23886,0.09667,0.03687,2026572.10000
1320,0.68658,0.21538,0.02913,0.00285,0.04071,0.23660,0.09894,0.03744,2301510.50000
1380,0.70439,0.21664,0.02999,0.00310,0.04166,0.25248,0.09820,0.03750,2404923.35000
1440,0.72809,0.22097,0.03179,0.00270,0.04305,0.26486,0.09987,0.03794,2983851.65000
1500,0.83528,0.32399,0.03343,0.00271,0.04283,0.27012,0.09873,0.03788,5965339.50000
1560,0.85183,0.35230,0.03286,0.00280,0.04203,0.26298,0.09741,0.03758,6425388.50000
1620,0.85597,0.34913,0.03325,0.00281,0.04295,0.26690,0.09829,0.03771,6351675.30000
1680,0.73299,0.24946,0.03081,0.00276,0.04205,0.24606,0.09857,0.03737,3853289.10000
1740,0.63344,0.15733,0.02933,0.00256,0.04168,0.24008,0.09901,0.03739,1807302.25000
1800,0.63969,0.16104,0.02897,0.00261,0.04147,0.23977,0.10079,0.03746,1503980.35000
1860,0.63553,0.15984,0.02903,0.00289,0.04135,0.23993,0.09998,0.03761,1304820.90000
1920,0.63035,0.15531,0.02916,0.00286,0.04165,0.24012,0.09917,0.03749,1271388.55000
1980,0.61640,0.14351,0.02899,0.00279,0.04140,0.23706,0.09914,0.03732,1145896.95000
2040,0.60047,0.12953,0.02865,0.00303,0.04103,0.23551,0.09840,0.03752,833803.50000
2100,0.59300,0.12674,0.02839,0.00291,0.04080,0.23258,0.09818,0.03721,724541.55000
2160,0.58743,0.12041,0.02822,0.00278,0.04069,0.23037,0.10031,0.03735,651558.70000
2220,0.57459,0.11155,0.02775,0.00255,0.04019,0.22770,0.10094,0.03743,606690.35000
2280,0.42206,0.06254,0.02487,0.00217,0.03430,0.13736,0.09721,0.03173,387407.30000
2340,0.61076,0.17771,0.02791,0.00253,0.03819,0.20040,0.09942,0.03533,2264677.55000
2400,0.74833,0.26908,0.03158,0.00269,0.04096,0.24548,0.09614,0.03741,3983123.90000
2460,0.75682,0.27391,0.03174,0.00259,0.04160,0.24772,0.09719,0.03748,4233659.50000
2520,0.74156,0.26050,0.03168,0.00283,0.04169,0.24757,0.09568,0.03768,3774183.40000
2580,0.72870,0.24965,0.02992,0.00263,0.04096,0.24414,0.09785,0.03779,2738790.20000
2640,0.69345,0.21486,0.02922,0.00274,0.04094,0.24036,0.10102,0.03781,2234217.40000
2700,0.66224,0.18906,0.02872,0.00282,0.04071,0.23646,0.10098,0.03786,1876452.05000
2760,0.63507,0.16859,0.02825,0.00290,0.04026,0.23311,0.09963,0.03741,1554160.70000
