frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.46787,0.58247,0.74567,0.08878,0.03139,26437728.00000
60,1.20563,0.44154,0.62598,0.08844,0.03072,26437728.00000
120,1.18580,0.43628,0.61595,0.08834,0.03085,26437728.00000
180,1.20466,0.43923,0.62671,0.08881,0.03082,26437728.00000
240,1.19159,0.43864,0.61586,0.08982,0.03058,26437728.00000
300,1.17473,0.43685,0.60129,0.08960,0.03030,26437728.00000
360,1.18843,0.43628,0.61712,0.08983,0.03057,26437728.00000
420,1.20454,0.43614,0.63346,0.09009,0.03054,26437728.00000
480,1.18497,0.43495,0.61829,0.08744,0.03017,26437728.00000
540,1.17579,0.43511,0.61214,0.08083,0.03054,26437728.00000
