frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,2.10732,0.50433,0.03063,0.00216,0.03676,1.36398,0.10049,0.03485,18152448.10000
60,2.53901,0.52876,0.03369,0.00246,0.04037,1.76625,0.09752,0.03864,18586967.45000
120,1.98424,0.40636,0.03259,0.00280,0.04011,1.33774,0.09732,0.03810,13912915.15000
180,1.76403,0.08874,0.02738,0.00271,0.03946,1.44040,0.09887,0.03774,1334104.85000
240,1.46584,0.09828,0.02732,0.00260,0.03955,1.13432,0.09888,0.03767,1563999.05000
300,1.05279,0.09000,0.02719,0.00274,0.03924,0.73653,0.09358,0.03737,942806.45000
360,1.55533,0.07537,0.02742,0.00271,0.03937,1.25083,0.08953,0.03838,651664.20000
420,1.81937,0.06805,0.02756,0.00271,0.03936,1.52308,0.09091,0.03819,531526.60000
480,1.31008,0.06016,0.02731,0.00252,0.03902,1.02633,0.09211,0.03770,335265.25000
540,1.22715,0.06409,0.02720,0.00261,0.03926,0.94011,0.09089,0.03812,394504.35000
