frame,total,raster_stats,index_count
0,97.19363,97.18893,2955774.10000
60,97.87541,97.87067,3390293.45000
120,89.91671,89.91204,1763572.05000
180,146.46648,146.46174,1334104.85000
240,174.08477,174.08002,1563999.05000
300,193.45413,193.44940,942806.45000
360,136.46907,136.46431,651664.20000
420,73.08191,73.07720,531526.60000
480,43.41102,43.40653,335265.25000
540,123.14715,123.14239,394504.35000
600,134.72284,134.71799,4763095.10000
660,187.18277,187.17791,7008309.50000
720,209.15722,209.15237,6851715.25000
780,188.40853,188.40361,6833477.10000
840,393.71990,393.71498,7736553.50000
900,492.22625,492.22133,7912527.20000
960,503.11207,503.10717,6364935.35000
1020,305.99912,305.99196,5390683.35000
1080,232.33085,232.32605,4144249.10000
1140,347.40997,347.40519,2469341.80000
1200,306.42654,306.42175,2921893.50000
1260,274.21420,274.20942,1600253.25000
1320,273.79980,273.79503,1828604.05000
1380,393.71732,393.71250,5316520.45000
1440,528.93422,528.92939,7541994.90000
1500,487.59515,487.58774,9143355.45000
1560,294.53282,294.52783,10284076.30000
1620,229.81507,229.81008,10793619.40000
1680,179.03809,179.03308,11201993.95000
1740,141.83623,141.83120,11196844.40000
1800,136.15182,136.14678,11241036.30000
1860,184.15096,184.14596,11241007.00000
1920,275.69877,275.69378,11240943.40000
1980,399.88953,399.88456,10257777.50000
2040,424.24713,424.24221,7118236.70000
2100,617.39023,617.38544,4779189.60000
2160,627.98326,627.97852,1653801.50000
2220,47.82208,47.81788,250198.20000
2280,5.66278,5.65890,81778.25000
2340,0.02828,0.02452,0.00000
2400,0.02821,0.02439,0.00000
2460,0.02822,0.02444,0.00000
