frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
60,5974419,3871524,1313280,2558244,2.947981,10,175906,5798513,1279645,3871524,1247056,0.756367
61,5974419,3889040,1319040,2570000,2.948387,10,176619,5797800,1284874,3889040,1250456,0.756697
62,5974419,3908294,1326720,2581574,2.945832,10,177350,5797069,1293221,3908294,1264590,0.755535
63,5974419,3927258,1332480,2594778,2.947330,10,177710,5796709,1297893,3927258,1264314,0.756468
64,5974419,3946964,1338240,2608724,2.949369,10,178227,5796192,1306600,3946964,1279436,0.755197
65,5980059,3965656,1344000,2621656,2.950637,10,178761,5801298,1311143,3965656,1278916,0.756145
66,5980059,3986668,1351679,2634989,2.949419,11,179736,5800323,1319042,3986668,1289500,0.755599
67,5980059,4003232,1357440,2645792,2.949104,10,180139,5799920,1325026,4003232,1296872,0.755312
68,5980059,4022947,1363200,2659747,2.951105,10,180833,5799226,1330389,4022947,1298609,0.755972
69,5980059,4045058,1370879,2674179,2.950704,10,181457,5798602,1337158,4045058,1303574,0.756279
70,5980059,4064106,1376640,2687466,2.952192,10,181752,5798307,1344501,4064106,1313898,0.755690
71,5980059,4082627,1382400,2700227,2.953289,10,182767,5797292,1348967,4082627,1313241,0.756621
72,5980059,4102615,1390080,2712535,2.951352,10,183056,5797003,1356780,4102615,1324505,0.755947
73,5980059,4122139,1395840,2726299,2.953160,10,183908,5796151,1362847,4122139,1329249,0.756163
74,5980059,4141257,1401600,2739657,2.954664,10,184426,5795633,1369562,4141257,1336991,0.755946
75,5980059,4160286,1407360,2752926,2.956092,10,184785,5795274,1374685,4160286,1338454,0.756589
76,5980059,4181036,1415040,2765996,2.954712,10,185625,5794434,1382734,4181036,1349900,0.755936
77,5980059,4199597,1421141,2778456,2.955088,10,186090,5793969,1387832,4199597,1351731,0.756503
78,5980059,4216132,1427736,2788396,2.953019,10,186966,5793093,1393147,4216132,1356456,0.756584
79,5980059,4240875,1436297,2804578,2.952645,10,187476,5792583,1403208,4240875,1371957,0.755568
80,5980059,4259318,1443325,2815993,2.951046,10,187886,5792173,1404605,4259318,1359102,0.758099
81,5980059,4278874,1450480,2828394,2.949971,10,188748,5791311,1414352,4278874,1378534,0.756331
82,5980059,4297390,1457798,2839592,2.947864,10,189339,5790720,1417550,4297390,1372810,0.757890
83,5980059,4317074,1466997,2850077,2.942797,10,189848,5790211,1425310,4317074,1384166,0.757217
84,5980059,4336640,1474559,2862081,2.940974,10,190219,5789840,1431760,4336640,1390400,0.757222
85,5980059,4356374,1482289,2874085,2.938951,10,190505,5789554,1434572,4356374,1381914,0.759177
86,5980059,4377375,1491696,2885679,2.934495,10,191084,5788975,1442875,4377375,1394125,0.758447
87,5980059,4395787,1499597,2896190,2.931312,10,191729,5788330,1447735,4395787,1395153,0.759080
88,6056698,4413956,1507531,2906425,2.927937,10,192327,5864371,1453467,4413956,1399912,0.759212
89,6056698,4434144,1515621,2918523,2.925629,10,192768,5863930,1461188,4434144,1410608,0.758654
90,6056698,4456352,1525465,2930887,2.921307,10,193409,5863289,1466742,4456352,1410616,0.759566
91,6056698,4476637,1533835,2942802,2.918591,10,194436,5862262,1475198,4476637,1424155,0.758650
92,6056698,4496607,1542396,2954211,2.915339,10,195625,5861073,1480232,4496607,1424321,0.759443
93,6056698,4515457,1552480,2962977,2.908544,10,196087,5860611,1490428,4515457,1446255,0.757409
94,6056698,4534808,1561194,2973614,2.904705,10,196576,5860122,1492538,4534808,1435344,0.759580
95,6056698,4555704,1570066,2985638,2.901600,10,197334,5859364,1498391,4555704,1437860,0.760099
96,6056698,4574951,1578987,2995964,2.897396,10,197861,5858837,1504476,4574951,1442953,0.760223
97,6056698,4596831,1589414,3007417,2.892155,10,199034,5857664,1512460,4596831,1453009,0.759827
98,6056698,4617111,1598498,3018613,2.888406,10,199403,5857295,1519971,4617111,1462773,0.759408
99,6056698,4637375,1607676,3029699,2.884521,10,200038,5856660,1522269,4637375,1451701,0.761589
100,6056698,4660551,1618210,3042341,2.880066,10,200753,5855945,1531172,4660551,1464137,0.760945
101,6056698,4679965,1627470,3052495,2.875608,10,200847,5855851,1537822,4679965,1471323,0.760811
102,6056698,4700214,1636851,3063363,2.871498,11,201853,5854845,1542061,4700214,1468030,0.762002
103,6056698,4720575,1647505,3073070,2.865287,10,202338,5854360,1551214,4720575,1484281,0.760787
104,6056698,4742185,1656980,3085205,2.861945,10,202535,5854163,1555646,4742185,1480399,0.762093
105,6056698,4761324,1666454,3094870,2.857159,10,203183,5853515,1558917,4761324,1474344,0.763563
106,6056698,4778670,1675972,3102698,2.851283,10,203019,5853679,1568800,4778670,1496530,0.761517
107,6056698,4799468,1686316,3113152,2.846126,11,203923,5852775,1571479,4799468,1486448,0.763527
108,6056698,4818186,1695048,3123138,2.842507,11,204579,5852119,1580125,4818186,1502314,0.762311
109,6056698,4839040,1703625,3135415,2.840437,11,204907,5851791,1583886,4839040,1496504,0.763792
110,6056698,4857764,1713238,3144526,2.835429,11,205444,5851254,1591285,4857764,1507376,0.763183
111,6056698,4876386,1721519,3154867,2.832607,11,205665,5851033,1596795,4876386,1510794,0.763465
112,6258254,4892352,1729665,3162687,2.828497,11,206225,6052029,1599747,4892352,1506636,0.764551
113,6288072,4910638,1737697,3172941,2.825946,11,207331,6080741,1606041,4910638,1513526,0.764401
114,6288072,4931281,1746749,3184532,2.823119,10,208042,6080030,1612078,4931281,1517031,0.764740
115,6288072,4950152,1754536,3195616,2.821345,10,208956,6079116,1620812,4950152,1533096,0.763530
116,6288072,4969678,1762222,3207456,2.820120,10,209627,6078445,1624624,4969678,1528818,0.764743
117,6288072,4990817,1770923,3219894,2.818201,10,210348,6077724,1630135,4990817,1529723,0.765399
118,6288072,5010877,1778405,3232472,2.817624,12,211853,6076219,1641784,5010877,1556259,0.763023
119,6288072,5032683,1785803,3246880,2.818162,11,212654,6075418,1643683,5032683,1542049,0.765458
120,6288072,5054309,1793113,3261196,2.818734,11,213551,6074521,1652904,5054309,1557307,0.764459
121,6288072,5238835,1865394,3373441,2.808433,11,223313,6064759,1713747,5238835,1616153,0.764237
122,6289112,5368042,1922580,3445462,2.792103,11,233008,6056104,1757956,5368042,1663782,0.763393
123,6297487,5491889,1970413,3521476,2.787177,12,241929,6055558,1806299,5491889,1733307,0.760102
124,6298947,5595558,2009960,3585598,2.783915,12,248902,6050045,1840588,5595558,1766794,0.760023
125,6300622,5713243,2044198,3669045,2.794858,12,256309,6044313,1882924,5713243,1818453,0.758560
126,6300632,5817998,2073599,3744399,2.805749,12,258495,6042137,1915758,5817998,1845034,0.759229
127,6300632,5867871,2073600,3794271,2.829799,12,261384,6039248,1938030,5867871,1884249,0.756938
128,6300632,5913988,2073600,3840388,2.852039,13,263158,6037474,1956439,5913988,1911768,0.755708
129,6357514,5966144,2073600,3892544,2.877191,12,265094,6092420,1980540,5966144,1956016,0.753096
130,6368686,6034957,2073599,3961358,2.910378,13,268635,6100051,2005628,6034957,1987555,0.752253
131,6368686,6021098,2073600,3947498,2.903693,13,267817,6100869,1992394,6021098,1948478,0.755510
132,6368686,5997035,2073600,3923435,2.892089,14,266777,6101909,1989854,5997035,1962381,0.753452
133,6363100,5975334,2073599,3901735,2.881625,13,266213,6096887,1981320,5975334,1949946,0.753959
134,6363100,5966557,2073600,3892957,2.877391,12,264407,6098693,1978288,5966557,1946595,0.754005
135,6357514,5948666,2073600,3875066,2.868763,13,264194,6093320,1969930,5948666,1931054,0.754934
136,6357512,5931574,2073600,3857974,2.860520,13,263242,6094270,1964210,5931574,1925266,0.754957
137,6357488,5917703,2073600,3844103,2.853831,13,261879,6095609,1963390,5917703,1935857,0.753506
138,6300608,5902897,2073599,3829298,2.846692,12,260917,6039691,1954635,5902897,1915643,0.754987
139,6300608,5892596,2073599,3818997,2.841724,13,261604,6039004,1950949,5892596,1911200,0.755094
140,6300288,5887694,2073600,3814094,2.839359,12,260698,6039590,1950326,5887694,1913610,0.754706
141,6300288,5882915,2073600,3809315,2.837054,12,260108,6040180,1950414,5882915,1918741,0.754060
142,6300288,5881599,2073598,3808001,2.836422,13,259675,6040613,1946066,5881599,1902665,0.755575
143,6300288,5875109,2073599,3801510,2.833291,13,258292,6041996,1944499,5875109,1902887,0.755350
144,6272470,5884116,2073600,3810516,2.837633,12,258841,6013629,1944791,5884116,1895048,0.756394
145,6272470,5884926,2073599,3811327,2.838025,12,258426,6014044,1946742,5884926,1902042,0.755740
146,6272470,5878557,2073600,3804957,2.834952,12,257134,6015336,1944908,5878557,1901075,0.755634
147,6272470,5878839,2073600,3805239,2.835088,11,257676,6014794,1938672,5878839,1875849,0.758101
148,6272402,5883848,2073600,3810248,2.837504,12,256952,6015450,1940905,5883848,1879772,0.757874
149,6272402,5889222,2073600,3815622,2.840095,11,256390,6016012,1946181,5889222,1895502,0.756510
150,6270727,5896060,2073600,3822460,2.843393,12,255740,6014987,1944594,5896060,1882316,0.758007
151,6264393,5898077,2073600,3824477,2.844366,11,254213,6010180,1942010,5898077,1869963,0.759275
152,6264393,5899664,2073600,3826064,2.845131,11,251828,6012565,1939619,5899664,1858812,0.760415
153,6264393,5915673,2073600,3842073,2.852852,12,250718,6013675,1942434,5915673,1854063,0.761374
154,6264393,5920243,2073598,3846645,2.855058,11,248154,6016239,1939111,5920243,1836201,0.763268
155,6227483,5926234,2073599,3852635,2.857946,11,245043,5982440,1928083,5926234,1786098,0.768410
156,6227115,5938490,2073598,3864892,2.863858,11,243213,5983902,1926668,5938490,1768182,0.770565
157,6227115,5913912,2073598,3840314,2.852005,11,238123,5988992,1917419,5913912,1755764,0.771077
158,6227115,5920525,2073599,3846926,2.855193,11,234768,5992347,1907458,5920525,1709307,0.775971
159,6226727,5932547,2073600,3858947,2.860989,12,230973,5995754,1907195,5932547,1696233,0.777653
160,6222320,5945857,2073599,3872258,2.867409,11,224661,5997659,1905885,5945857,1677683,0.779934
161,6216734,5896826,2073600,3823226,2.843763,10,217969,5998765,1881798,5896826,1630366,0.783403
162,6181321,5870627,2073600,3797027,2.831128,10,210607,5970714,1867400,5870627,1598973,0.785936
163,6180281,5826301,2073600,3752701,2.809752,11,202925,5977356,1836851,5826301,1521103,0.792974
164,6174695,5789107,2073599,3715508,2.791816,10,196847,5977848,1825802,5789107,1514101,0.792680
165,6174695,5700131,2073599,3626532,2.748907,10,190523,5984172,1791929,5700131,1467585,0.795251
166,6174695,5556570,2073600,3482970,2.679673,10,183978,5990717,1742814,5556570,1414686,0.797069
167,6147665,5412237,2073600,3338637,2.610068,9,177843,5969822,1699963,5412237,1387615,0.795935
168,6141857,5325522,2073600,3251922,2.568249,10,171829,5970028,1670432,5325522,1356206,0.797028
169,5910483,5213007,2073600,3139407,2.513989,10,167216,5743267,1633397,5213007,1320581,0.797878
170,5910483,5059928,2073600,2986328,2.440166,10,163551,5746932,1589627,5059928,1298580,0.795773
171,5906303,4972077,2073599,2898478,2.397801,10,160401,5745902,1565358,4972077,1289355,0.794080
172,5906303,4900983,2073600,2827383,2.363514,9,157316,5748987,1547662,4900983,1289665,0.791675
173,5900495,4896872,2073600,2823272,2.361532,9,153996,5746499,1540269,4896872,1264204,0.794808
174,5896755,4899287,2073600,2825687,2.362696,9,150246,5746509,1539444,4899287,1258489,0.795626
175,5808656,4899627,2073599,2826028,2.362861,9,146988,5661668,1537377,4899627,1249881,0.796751
176,5784500,4904551,2073600,2830951,2.365235,9,144133,5640367,1533242,4904551,1228417,0.799703
177,5784500,4911174,2073600,2837574,2.368429,9,142283,5642217,1531554,4911174,1215042,0.801665
178,5756682,4918420,2073600,2844820,2.371923,9,140286,5616396,1534488,4918420,1219532,0.801313
179,5732526,4923672,2073599,2850073,2.374457,11,138357,5594169,1531342,4923672,1201696,0.803817
