run-id,run-name,output-filepath,renderer-variant,visibility-debug-mode,donut-linear-gbuffer,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,source_material_count,active_material_bin_count,material_bin_compaction_ratio,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_visibility_debug_mode,param_donut_linear_gbuffer,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00000.csv,8,0,0,1,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,1,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.56553,depth_prepass,0.16810,geometry,0.26260,lighting,0.08823,tonemap,0.03104,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T09:33:36,playback,0.12992,0.53725,1.52166,0.56553,0.13235,0.29219,0.91264,1.04598,29,1,0.03448,4,0,1,100,8,0,0,1,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,1,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00000.csv_0_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-33-40.txt",,
1,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00001.csv,9,0,0,1,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,1,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.61769,visibility,0.23603,visutil_histogram,0.02740,visutil_prefix,0.00222,visutil_flatten,0.03810,gbuffer,0.15532,lighting,0.09384,tonemap,0.03013,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T09:33:40,playback,0.21392,0.64259,1.21507,0.61769,0.21846,0.45859,0.79094,0.92090,29,1,0.03448,4,0,1,100,9,0,0,1,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,1,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00001.csv_1_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-33-44.txt",,
2,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00002.csv,8,0,0,2,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,2,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.56742,depth_prepass,0.16795,geometry,0.26359,lighting,0.08880,tonemap,0.03099,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T09:33:44,playback,0.12960,0.53808,1.47789,0.56742,0.13184,0.29206,0.91475,1.06605,29,2,0.06897,4,0,1,100,8,0,0,2,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,2,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00002.csv_2_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-33-49.txt",,
3,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00003.csv,9,0,0,2,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,2,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.63660,visibility,0.24014,visutil_histogram,0.02775,visutil_prefix,0.00217,visutil_flatten,0.03855,gbuffer,0.16783,lighting,0.09416,tonemap,0.03148,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T09:33:49,playback,0.21318,0.67453,1.45130,0.63660,0.21891,0.46899,0.79907,0.94877,29,2,0.06897,4,0,1,100,9,0,0,2,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,2,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00003.csv_3_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-33-53.txt",,
4,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00004.csv,8,0,0,3,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,3,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.56797,depth_prepass,0.16867,geometry,0.26430,lighting,0.08837,tonemap,0.03112,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T09:33:53,playback,0.12966,0.53667,1.61683,0.56797,0.13235,0.29261,0.91306,1.06710,29,3,0.10345,4,0,1,100,8,0,0,3,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,3,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00004.csv_4_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-33-58.txt",,
5,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00005.csv,9,0,0,3,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,3,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.63296,visibility,0.23703,visutil_histogram,0.02796,visutil_prefix,0.00216,visutil_flatten,0.03851,gbuffer,0.16964,lighting,0.09304,tonemap,0.03036,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T09:33:58,playback,0.21530,0.65997,1.47005,0.63296,0.22061,0.47286,0.80749,0.95229,29,3,0.10345,4,0,1,100,9,0,0,3,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,3,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00005.csv_5_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-34-03.txt",,
6,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00006.csv,8,0,0,4,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,4,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.56810,depth_prepass,0.16831,geometry,0.26417,lighting,0.08878,tonemap,0.03102,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T09:34:03,playback,0.13014,0.53811,1.44454,0.56810,0.13258,0.29283,0.91411,1.05411,29,4,0.13793,4,0,1,100,8,0,0,4,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,4,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,6,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00006.csv_6_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-34-08.txt",,
7,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00007.csv,9,0,0,4,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,4,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.63609,visibility,0.23667,visutil_histogram,0.02815,visutil_prefix,0.00223,visutil_flatten,0.03882,gbuffer,0.17243,lighting,0.09247,tonemap,0.03042,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T09:34:08,playback,0.21501,0.66954,1.18112,0.63609,0.21866,0.46742,0.80701,0.95574,29,4,0.13793,4,0,1,100,9,0,0,4,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,4,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,7,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00007.csv_7_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-34-12.txt",,
8,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00008.csv,8,0,0,5,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,5,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.56735,depth_prepass,0.16851,geometry,0.26375,lighting,0.08847,tonemap,0.03101,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T09:34:12,playback,0.13040,0.54022,1.55565,0.56735,0.13190,0.29274,0.91379,1.04995,29,5,0.17241,4,0,1,100,8,0,0,5,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,5,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,8,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00008.csv_8_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-34-17.txt",,
9,17_real_material_camera_sponza_texture_off,${RUN_TEMP}\run_00009.csv,9,0,0,5,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,captures,1,60,1920,1080,0,2,5,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.63617,visibility,0.23721,visutil_histogram,0.02753,visutil_prefix,0.00216,visutil_flatten,0.03897,gbuffer,0.17233,lighting,0.09295,tonemap,0.03050,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T09:34:17,playback,0.21456,0.66998,1.37610,0.63617,0.21856,0.46832,0.80541,0.94358,29,5,0.17241,4,0,1,100,9,0,0,5,1,0,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2348,0,2,../../../../../scripts/standard_camera.csv,10,0,0,50,0,1,60,1920,1080,0,2,5,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,17_real_material_camera_sponza_texture_off,0,9,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2468} measure_start{60} measure_end{2408} sample_count{2348} window_frames{50}
Saved CSV: ${RUN_TEMP}\run_00009.csv_9_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-30_09-34-22.txt",,
