frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.34390,0.06709,0.14602,0.08755,0.02922,2842974.48000
50,0.42323,0.08727,0.19859,0.08933,0.03109,3656259.24000
100,0.36816,0.05844,0.17658,0.08749,0.03149,2180549.58000
150,0.35977,0.05696,0.17099,0.08661,0.03138,1941672.24000
200,0.33985,0.04479,0.16346,0.08621,0.03200,1019535.66000
250,0.33883,0.05121,0.15646,0.08637,0.03144,1568301.00000
300,0.30004,0.04124,0.12828,0.08600,0.03127,955470.54000
350,0.33605,0.04383,0.15712,0.08635,0.03160,775589.04000
400,0.32701,0.03468,0.16046,0.08659,0.03201,597380.28000
450,0.29865,0.02302,0.14340,0.08655,0.03214,354781.56000
500,0.30132,0.02260,0.14333,0.08941,0.03234,338163.78000
550,0.29726,0.02629,0.13589,0.08651,0.03192,405535.02000
600,0.49222,0.12437,0.23095,0.08991,0.03180,4624560.90000
650,0.60057,0.17254,0.28870,0.08979,0.03260,6494196.72000
700,0.62749,0.19210,0.29690,0.08951,0.03203,7128570.12000
750,0.62634,0.19736,0.28907,0.08947,0.03258,6900722.82000
800,0.66067,0.21240,0.30834,0.08902,0.03370,6827939.22000
850,0.74119,0.25672,0.35085,0.08746,0.03247,7855790.76000
900,0.80705,0.26471,0.39699,0.08911,0.03330,7999168.32000
950,0.70842,0.21972,0.34705,0.08876,0.03342,6966210.90000
1000,0.54512,0.15462,0.25304,0.08765,0.03282,5114077.32000
1050,0.54964,0.15400,0.25776,0.08874,0.03285,5496524.88000
1100,0.45629,0.10491,0.21673,0.08844,0.03241,3469015.14000
1150,0.41005,0.07718,0.19675,0.08728,0.03233,2493087.60000
1200,0.42783,0.08322,0.20880,0.08727,0.03238,2831303.94000
1250,0.38187,0.07199,0.17408,0.08711,0.03247,2143493.76000
1300,0.29882,0.03503,0.13063,0.08675,0.03269,828716.10000
1350,0.51159,0.13469,0.23630,0.08721,0.03305,3981126.96000
1400,0.64408,0.17966,0.32676,0.08875,0.03197,5491852.38000
1450,0.79942,0.25334,0.40777,0.08987,0.03206,7774626.24000
1500,0.89903,0.30603,0.45264,0.08954,0.03213,9101418.36000
1550,0.91224,0.33870,0.43770,0.08811,0.03069,9937097.52000
1600,0.92402,0.35650,0.43317,0.08781,0.03000,10709429.10000
1650,0.91703,0.36415,0.41605,0.08789,0.02941,10966888.02000
1700,0.91262,0.37035,0.41199,0.08767,0.02896,11224708.32000
1750,0.90942,0.37300,0.39961,0.08689,0.02762,11204326.08000
1800,0.92072,0.38742,0.40237,0.08652,0.02773,11241039.96000
1850,0.92344,0.38465,0.40480,0.08704,0.02801,11241015.00000
1900,0.93966,0.37603,0.42593,0.09058,0.02893,11240976.24000
1950,0.94086,0.36518,0.44128,0.08765,0.02983,11028965.28000
2000,0.86102,0.30877,0.41824,0.08763,0.03019,9755091.54000
2050,0.69171,0.20824,0.33904,0.08844,0.03114,6811713.06000
2100,0.54348,0.13744,0.26721,0.08810,0.03292,4533965.76000
2150,0.44603,0.09599,0.21734,0.08683,0.03151,2936297.94000
2200,0.18615,0.01729,0.04170,0.08548,0.02839,432007.56000
2250,0.14627,0.00905,0.01257,0.08530,0.02601,211567.20000
2300,0.13223,0.00347,0.00674,0.08531,0.02341,4294.37500
