frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.60114,0.16604,0.02849,0.00227,0.03827,0.19206,0.09421,0.04364,2842974.48000
50,0.73446,0.21459,0.03091,0.00227,0.04240,0.26130,0.09686,0.04895,3656259.24000
100,0.56522,0.11475,0.02862,0.00218,0.04139,0.21774,0.09052,0.03231,2180549.58000
150,0.55018,0.10197,0.02817,0.00217,0.04116,0.21936,0.09030,0.03123,1941672.24000
200,0.52108,0.08172,0.02746,0.00217,0.04069,0.20888,0.09066,0.03098,1019535.66000
250,0.53749,0.09834,0.02747,0.00217,0.04069,0.21216,0.09029,0.03084,1568301.00000
300,0.51477,0.08960,0.02685,0.00217,0.03989,0.20285,0.09019,0.03075,955470.54000
350,0.51778,0.08135,0.02761,0.00216,0.04075,0.21184,0.09007,0.03083,775589.04000
400,0.51216,0.07120,0.02747,0.00217,0.04066,0.20974,0.09048,0.03099,597380.28000
450,0.48814,0.06110,0.02724,0.00217,0.04003,0.20396,0.09065,0.03030,354781.56000
500,0.49200,0.06156,0.02724,0.00217,0.04017,0.20137,0.09129,0.03037,338163.78000
550,0.48917,0.06485,0.02709,0.00217,0.04012,0.20153,0.09051,0.03054,405535.02000
600,0.65172,0.19891,0.03034,0.00217,0.04174,0.22472,0.09042,0.03139,4624560.90000
650,0.73457,0.26221,0.03361,0.00218,0.04306,0.23353,0.09145,0.03219,6494196.72000
700,0.75144,0.28871,0.03250,0.00216,0.04239,0.22607,0.09174,0.03186,7128570.12000
750,0.75835,0.29080,0.03154,0.00217,0.04259,0.23388,0.09136,0.03251,6900722.82000
800,0.77084,0.29704,0.03121,0.00218,0.04295,0.23494,0.09138,0.03217,6827939.22000
850,0.79914,0.35642,0.02910,0.00217,0.04109,0.20642,0.09245,0.03135,7855790.76000
900,0.82939,0.36242,0.02883,0.00217,0.04125,0.22754,0.09289,0.03193,7999168.32000
950,0.78085,0.31756,0.02959,0.00217,0.04206,0.22891,0.09237,0.03228,6966210.90000
1000,0.70407,0.24802,0.02905,0.00218,0.04197,0.22370,0.09147,0.03218,5114077.32000
1050,0.70133,0.24109,0.02973,0.00217,0.04214,0.22699,0.09143,0.03206,5496524.88000
1100,0.62163,0.17541,0.02837,0.00217,0.04135,0.21724,0.09124,0.03249,3469015.14000
1150,0.58338,0.13450,0.02821,0.00217,0.04159,0.22127,0.09081,0.03210,2493087.60000
1200,0.59859,0.14605,0.02820,0.00217,0.04143,0.22185,0.09098,0.03222,2831303.94000
1250,0.57661,0.12976,0.02754,0.00217,0.04063,0.21741,0.09110,0.03212,2143493.76000
1300,0.51926,0.09455,0.02683,0.00217,0.03974,0.19837,0.09139,0.03168,828716.10000
1350,0.66658,0.21701,0.02814,0.00217,0.04107,0.21477,0.09147,0.03199,3981126.96000
1400,0.69445,0.26133,0.02749,0.00217,0.03920,0.20314,0.09221,0.03069,5491852.38000
1450,0.79072,0.34866,0.02854,0.00218,0.03991,0.21307,0.09195,0.03081,7774626.24000
1500,0.83316,0.39756,0.02794,0.00217,0.03894,0.20765,0.09202,0.03077,9101418.36000
1550,0.82942,0.42044,0.02758,0.00218,0.03704,0.18559,0.09128,0.02937,9937097.52000
1600,0.84062,0.43748,0.02854,0.00217,0.03659,0.17798,0.09024,0.02890,10709429.10000
1650,0.82505,0.44604,0.02814,0.00217,0.03563,0.15974,0.08983,0.02846,10966888.02000
1700,0.80672,0.44963,0.02727,0.00218,0.03394,0.13725,0.08974,0.02820,11224708.32000
1750,0.77824,0.45650,0.02561,0.00217,0.03171,0.11243,0.08913,0.02830,11204326.08000
1800,0.77069,0.45073,0.02522,0.00217,0.03125,0.10777,0.08898,0.02892,11241039.96000
1850,0.78854,0.44871,0.02585,0.00217,0.03248,0.12263,0.08956,0.02851,11241015.00000
1900,0.82710,0.46460,0.02710,0.00217,0.03458,0.14789,0.09001,0.02824,11240976.24000
1950,0.84687,0.45393,0.02835,0.00218,0.03667,0.17051,0.09050,0.02925,11028965.28000
2000,0.80804,0.41201,0.02713,0.00217,0.03646,0.17370,0.09144,0.02913,9755091.54000
2050,0.71219,0.30305,0.02678,0.00217,0.03754,0.18538,0.09190,0.02982,6811713.06000
2100,0.66402,0.22426,0.02733,0.00217,0.03952,0.21380,0.09245,0.03119,4533965.76000
2150,0.57603,0.17794,0.02576,0.00217,0.03723,0.17578,0.09357,0.03008,2936297.94000
2200,0.30702,0.03989,0.02137,0.00217,0.02794,0.06350,0.08747,0.02910,432007.56000
2250,0.24308,0.01392,0.02021,0.00217,0.02504,0.03676,0.08561,0.02721,211567.20000
2300,0.22537,0.00568,0.01969,0.00215,0.02444,0.03180,0.08577,0.02347,4294.37500
