plot_id,title,input_configs,filters,x_axis,series,metric,png,svg
experiment_00_smoke_synthetic_material_grid,00_smoke_synthetic_material_grid — per-experiment result,00_smoke_synthetic_material_grid.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,all runs,GPU total time unless noted,png/experiment_00_smoke_synthetic_material_grid.png,svg/experiment_00_smoke_synthetic_material_grid.svg
experiment_01_smoke_real_pbr_feature,01_smoke_real_pbr_feature — per-experiment result,01_smoke_real_pbr_feature.json,runner_status=success; no failed/skipped rows plotted,param_variable,Bistro · DonutVisGBuffer; Sponza · DonutVisGBuffer; SponzaIvy · DonutVisGBuffer,GPU total time unless noted,png/experiment_01_smoke_real_pbr_feature.png,svg/experiment_01_smoke_real_pbr_feature.svg
experiment_10_synth_locality_fixed64,10_synth_locality_fixed64 — per-experiment result,10_synth_locality_fixed64.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,all runs,GPU total time unless noted,png/experiment_10_synth_locality_fixed64.png,svg/experiment_10_synth_locality_fixed64.svg
experiment_11_synth_diversity_fixed64,11_synth_diversity_fixed64 — per-experiment result,11_synth_diversity_fixed64.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,all runs,GPU total time unless noted,png/experiment_11_synth_diversity_fixed64.png,svg/experiment_11_synth_diversity_fixed64.svg
experiment_12_synth_locality_diversity_map_fixed64,12_synth_locality_diversity_map_fixed64 — per-experiment result,12_synth_locality_diversity_map_fixed64.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,all runs,GPU total time unless noted,png/experiment_12_synth_locality_diversity_map_fixed64.png,svg/experiment_12_synth_locality_diversity_map_fixed64.svg
experiment_13_synth_open_bin_count_diagnostic,13_synth_open_bin_count_diagnostic — per-experiment result,13_synth_open_bin_count_diagnostic.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,all runs,GPU total time unless noted,png/experiment_13_synth_open_bin_count_diagnostic.png,svg/experiment_13_synth_open_bin_count_diagnostic.svg
experiment_14_synth_workload_scaling,14_synth_workload_scaling — per-experiment result,14_synth_workload_scaling.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,all runs,GPU total time unless noted,png/experiment_14_synth_workload_scaling.png,svg/experiment_14_synth_workload_scaling.svg
experiment_15_synth_seed_robustness,15_synth_seed_robustness — per-experiment result,15_synth_seed_robustness.json,runner_status=success; no failed/skipped rows plotted,param_seed,all runs,GPU total time unless noted,png/experiment_15_synth_seed_robustness.png,svg/experiment_15_synth_seed_robustness.svg
experiment_16_synth_renderer_compare_selected,16_synth_renderer_compare_selected — per-experiment result,16_synth_renderer_compare_selected.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,Synthetic · DonutDeferred; Synthetic · DonutDeferredPrepass; Synthetic · DonutVisGBuffer,GPU total time unless noted,png/experiment_16_synth_renderer_compare_selected.png,svg/experiment_16_synth_renderer_compare_selected.svg
experiment_20_real_random_bin_count_quick_all_scenes,20_real_random_bin_count_quick_all_scenes — per-experiment result,20_real_random_bin_count_quick_all_scenes.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_max_open,Bistro · DonutVisGBuffer; Sponza · DonutVisGBuffer; SponzaIvy · DonutVisGBuffer,GPU total time unless noted,png/experiment_20_real_random_bin_count_quick_all_scenes.png,svg/experiment_20_real_random_bin_count_quick_all_scenes.svg
experiment_21_real_random_diversity_quick_all_scenes,21_real_random_diversity_quick_all_scenes — per-experiment result,21_real_random_diversity_quick_all_scenes.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_diversity,Bistro · DonutVisGBuffer; Sponza · DonutVisGBuffer; SponzaIvy · DonutVisGBuffer,GPU total time unless noted,png/experiment_21_real_random_diversity_quick_all_scenes.png,svg/experiment_21_real_random_diversity_quick_all_scenes.svg
experiment_22_real_pbr_feature_renderer_compare_full,22_real_pbr_feature_renderer_compare_full — per-experiment result,22_real_pbr_feature_renderer_compare_full.json,runner_status=success; no failed/skipped rows plotted,param_renderer_variant,Bistro · DonutDeferred; Bistro · DonutDeferredPrepass; Bistro · DonutVisGBuffer; Sponza · DonutDeferred; Sponza · DonutDeferredPrepass; Sponza · DonutVisGBuffer; SponzaIvy · DonutDeferred; SponzaIvy · DonutDeferredPrepass; SponzaIvy · DonutVisGBuffer,GPU total time unless noted,png/experiment_22_real_pbr_feature_renderer_compare_full.png,svg/experiment_22_real_pbr_feature_renderer_compare_full.svg
experiment_23_real_random_selected_renderer_compare_quick,23_real_random_selected_renderer_compare_quick — per-experiment result,23_real_random_selected_renderer_compare_quick.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_diversity,Bistro · DonutDeferredPrepass; Bistro · DonutVisGBuffer; Sponza · DonutDeferredPrepass; Sponza · DonutVisGBuffer; SponzaIvy · DonutDeferredPrepass; SponzaIvy · DonutVisGBuffer,GPU total time unless noted,png/experiment_23_real_random_selected_renderer_compare_quick.png,svg/experiment_23_real_random_selected_renderer_compare_quick.svg
experiment_24_real_resolution_scaling_pbr_quick,24_real_resolution_scaling_pbr_quick — per-experiment result,24_real_resolution_scaling_pbr_quick.json,runner_status=success; no failed/skipped rows plotted,param_window_width,Bistro · DonutDeferredPrepass; Bistro · DonutVisGBuffer; Sponza · DonutDeferredPrepass; Sponza · DonutVisGBuffer,GPU total time unless noted,png/experiment_24_real_resolution_scaling_pbr_quick.png,svg/experiment_24_real_resolution_scaling_pbr_quick.svg
