run-id,run-name,output-filepath,renderer-variant,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,15_synth_seed_robustness,${RUN_TEMP}\run_00000.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37264,visibility,0.02957,visutil_histogram,0.02528,visutil_prefix,0.00204,visutil_flatten,0.03393,gbuffer,0.13282,lighting,0.08743,tonemap,0.02954,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:12,free,0.36006,0.37238,0.38496,0.37264,0.36518,0.36861,0.37789,0.38266,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-14.txt",,
1,15_synth_seed_robustness,${RUN_TEMP}\run_00001.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,1,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37463,visibility,0.02951,visutil_histogram,0.02535,visutil_prefix,0.00205,visutil_flatten,0.03397,gbuffer,0.13438,lighting,0.08773,tonemap,0.02959,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:14,free,0.36198,0.37437,0.38659,0.37463,0.36637,0.37027,0.38038,0.38307,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,1,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-17.txt",,
2,15_synth_seed_robustness,${RUN_TEMP}\run_00002.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,2,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37401,visibility,0.02938,visutil_histogram,0.02522,visutil_prefix,0.00204,visutil_flatten,0.03388,gbuffer,0.13449,lighting,0.08734,tonemap,0.02948,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:17,free,0.36531,0.37360,0.38640,0.37401,0.36637,0.37002,0.37878,0.38272,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,2,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-19.txt",,
3,15_synth_seed_robustness,${RUN_TEMP}\run_00003.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,3,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37278,visibility,0.02944,visutil_histogram,0.02531,visutil_prefix,0.00204,visutil_flatten,0.03397,gbuffer,0.13275,lighting,0.08750,tonemap,0.02955,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:19,free,0.36202,0.37238,0.38278,0.37278,0.36493,0.36867,0.37773,0.38112,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,3,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-22.txt",,
4,15_synth_seed_robustness,${RUN_TEMP}\run_00004.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,4,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.36836,visibility,0.02947,visutil_histogram,0.02534,visutil_prefix,0.00205,visutil_flatten,0.03397,gbuffer,0.12825,lighting,0.08761,tonemap,0.02951,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:22,free,0.35651,0.36838,0.38019,0.36836,0.35997,0.36438,0.37226,0.37782,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,4,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-24.txt",,
5,15_synth_seed_robustness,${RUN_TEMP}\run_00005.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,5,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.36637,visibility,0.02949,visutil_histogram,0.02535,visutil_prefix,0.00205,visutil_flatten,0.03395,gbuffer,0.12626,lighting,0.08767,tonemap,0.02951,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:24,free,0.35766,0.36630,0.38160,0.36637,0.35971,0.36227,0.37046,0.37453,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,5,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-26.txt",,
6,15_synth_seed_robustness,${RUN_TEMP}\run_00006.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,6,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37492,visibility,0.02940,visutil_histogram,0.02528,visutil_prefix,0.00205,visutil_flatten,0.03403,gbuffer,0.13525,lighting,0.08731,tonemap,0.02949,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:26,free,0.36608,0.37440,0.38646,0.37492,0.36829,0.37027,0.38054,0.38458,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,6,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,6,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-29.txt",,
7,15_synth_seed_robustness,${RUN_TEMP}\run_00007.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,7,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37083,visibility,0.02944,visutil_histogram,0.02535,visutil_prefix,0.00205,visutil_flatten,0.03405,gbuffer,0.13097,lighting,0.08753,tonemap,0.02948,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:29,free,0.36042,0.37043,0.38627,0.37083,0.36358,0.36621,0.37603,0.38106,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,7,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,7,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-31.txt",,
8,15_synth_seed_robustness,${RUN_TEMP}\run_00008.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,8,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37276,visibility,0.02946,visutil_histogram,0.02527,visutil_prefix,0.00205,visutil_flatten,0.03388,gbuffer,0.13281,lighting,0.08745,tonemap,0.02956,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:31,free,0.36192,0.37245,0.38822,0.37276,0.36611,0.36842,0.37763,0.38246,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,8,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,8,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-34.txt",,
9,15_synth_seed_robustness,${RUN_TEMP}\run_00009.csv,9,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,9,0,64,0.5,0.5,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37456,visibility,0.02942,visutil_histogram,0.02527,visutil_prefix,0.00205,visutil_flatten,0.03394,gbuffer,0.13454,lighting,0.08740,tonemap,0.02948,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:34,free,0.36640,0.37424,0.50704,0.37456,0.36771,0.37002,0.38006,0.38400,4225,0,64,100,9,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,9,0,64,0.5,0.5,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,15_synth_seed_robustness,0,9,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-36.txt",,
