run-id,run-name,output-filepath,renderer-variant,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00000.csv,7,0,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.19856,geometry,0.07569,lighting,0.08523,tonemap,0.02760,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferred,2026-07-29T20:56:41,free,0.19651,0.19853,0.20083,0.19856,0.19699,0.19770,0.19946,0.20045,4225,0,64,100,7,0,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-42.txt",,
1,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00001.csv,8,1,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.21384,depth_prepass,0.01536,geometry,0.07243,lighting,0.08546,tonemap,0.02756,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T20:56:42,free,0.21158,0.21376,0.21795,0.21384,0.21210,0.21274,0.21501,0.21603,4225,0,64,100,8,1,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-43.txt",,
2,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00002.csv,9,2,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.30970,visibility,0.02692,visutil_histogram,0.02261,visutil_prefix,0.00217,visutil_flatten,0.03043,gbuffer,0.07755,lighting,0.08900,tonemap,0.02978,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:43,free,0.30608,0.30931,0.31392,0.30970,0.30685,0.30864,0.31149,0.31334,4225,0,64,100,9,2,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-44.txt",,
3,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00003.csv,7,3,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.20065,geometry,0.07727,lighting,0.08532,tonemap,0.02794,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferred,2026-07-29T20:56:44,free,0.19862,0.20058,0.20362,0.20065,0.19894,0.19974,0.20166,0.20259,4225,0,64,100,7,3,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-45.txt",,
4,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00004.csv,8,4,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.21555,depth_prepass,0.01530,geometry,0.07404,lighting,0.08532,tonemap,0.02792,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T20:56:45,free,0.21344,0.21552,0.22038,0.21555,0.21373,0.21443,0.21670,0.21786,4225,0,64,100,8,4,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-46.txt",,
5,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00005.csv,9,5,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.36374,visibility,0.02725,visutil_histogram,0.02439,visutil_prefix,0.00204,visutil_flatten,0.03225,gbuffer,0.12983,lighting,0.08726,tonemap,0.02953,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:46,free,0.35728,0.36400,0.37107,0.36374,0.35805,0.36045,0.36659,0.36896,4225,0,64,100,9,5,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-48.txt",,
6,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00006.csv,7,6,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.21625,geometry,0.09221,lighting,0.08529,tonemap,0.02861,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferred,2026-07-29T20:56:48,free,0.21408,0.21622,0.21949,0.21625,0.21456,0.21530,0.21728,0.21824,4225,0,64,100,7,6,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,6,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-49.txt",,
7,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00007.csv,8,7,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.23159,depth_prepass,0.01535,geometry,0.08908,lighting,0.08533,tonemap,0.02875,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T20:56:49,free,0.22944,0.23142,0.23539,0.23159,0.22979,0.23046,0.23290,0.23427,4225,0,64,100,8,7,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,7,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-50.txt",,
8,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00008.csv,9,8,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,1,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.37775,visibility,0.03187,visutil_histogram,0.02611,visutil_prefix,0.00205,visutil_flatten,0.03539,gbuffer,0.13307,lighting,0.08748,tonemap,0.02945,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T20:56:50,free,0.36982,0.37818,0.38874,0.37775,0.37270,0.37453,0.38070,0.38352,4225,0,64,100,9,8,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,1.0,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,8,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-52.txt",,
9,16_synth_renderer_compare_selected,${RUN_TEMP}\run_00009.csv,7,9,0,0,0,1,auto,unused,120,600,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,0.25,0,0,-3,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.20601,geometry,0.08176,lighting,0.08543,tonemap,0.02865,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferred,2026-07-29T20:56:53,free,0.20365,0.20598,0.20832,0.20601,0.20422,0.20509,0.20698,0.20787,4225,0,64,100,7,9,0,0,0,1,auto,unused,120,600,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,0.25,64,0.0,0.0,-3,0.0,0.0,0.0,0.1,1000,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,16_synth_renderer_compare_selected,0,9,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_20-56-53.txt",,
