frame,total,geometry,lighting,tonemap,index_count
0,0.58460,0.42929,0.09911,0.04500,3553381.35000
60,0.68749,0.51445,0.10981,0.05089,3662944.30000
120,0.63152,0.48628,0.09565,0.03870,2176008.00000
180,0.52047,0.37486,0.09605,0.03856,1760027.75000
240,0.60433,0.45741,0.09689,0.03904,2911562.30000
300,0.68060,0.53201,0.09877,0.03891,3211259.30000
360,0.68650,0.53650,0.10018,0.03892,3197534.35000
420,0.57184,0.42310,0.09922,0.03866,2080022.75000
480,0.61343,0.46521,0.09869,0.03862,2143202.10000
540,0.70194,0.55667,0.09586,0.03844,2652802.15000
600,0.79409,0.64999,0.09569,0.03744,2718203.40000
660,0.54989,0.40700,0.09369,0.03819,1551084.95000
720,0.56486,0.42044,0.09490,0.03833,2455791.85000
780,0.59246,0.44688,0.09643,0.03822,2049572.45000
840,0.49819,0.35405,0.09494,0.03818,904159.35000
900,0.63734,0.49835,0.09192,0.03617,2916661.70000
960,0.73607,0.59130,0.09596,0.03790,3578981.25000
1020,0.71174,0.56554,0.09683,0.03844,2767377.40000
1080,0.75309,0.60539,0.09795,0.03879,2271770.15000
1140,0.91323,0.76410,0.09897,0.03907,2903832.20000
1200,0.85768,0.70937,0.09880,0.03851,2424988.15000
1260,0.78131,0.63540,0.09697,0.03794,2026572.10000
1320,0.80262,0.65304,0.10042,0.03821,2301510.50000
1380,0.79976,0.65084,0.09941,0.03858,2404923.35000
1440,0.76526,0.61701,0.09811,0.03910,2983851.65000
1500,0.79417,0.64503,0.09954,0.03862,5965339.50000
1560,0.78772,0.63944,0.09906,0.03837,6425388.50000
1620,0.79224,0.64273,0.10003,0.03849,6351675.30000
1680,0.72943,0.58202,0.09804,0.03846,3853289.10000
1740,0.64537,0.49991,0.09607,0.03844,1807302.25000
1800,0.67140,0.52450,0.09701,0.03876,1503980.35000
1860,0.66746,0.52009,0.09744,0.03888,1304820.90000
1920,0.63650,0.49009,0.09666,0.03872,1271388.55000
1980,0.59108,0.44625,0.09512,0.03873,1145896.95000
2040,0.54753,0.40372,0.09429,0.03855,833803.50000
2100,0.53765,0.39355,0.09463,0.03864,724541.55000
2160,0.50780,0.36290,0.09539,0.03860,651558.70000
2220,0.46610,0.32150,0.09510,0.03855,606690.35000
2280,0.29643,0.16506,0.08812,0.03266,387407.30000
2340,0.54179,0.40086,0.09382,0.03611,2264677.55000
2400,0.70936,0.56476,0.09579,0.03791,3983123.90000
2460,0.77183,0.62539,0.09738,0.03811,4233659.50000
2520,0.79050,0.64382,0.09688,0.03874,3774183.40000
2580,0.91643,0.76904,0.09728,0.03909,2738790.20000
2640,0.84284,0.69504,0.09771,0.03917,2234217.40000
2700,0.71673,0.56721,0.09949,0.03894,1876452.05000
2760,0.63080,0.48200,0.09889,0.03890,1554160.70000
2820,0.71143,0.56336,0.09816,0.03906,1444209.80000
2880,0.69061,0.54338,0.09682,0.03950,1270269.50000
2940,0.59625,0.44992,0.09615,0.03920,1185182.60000
3000,0.65864,0.51299,0.09602,0.03853,3737532.35000
3060,0.65031,0.50300,0.09767,0.03865,5419981.65000
3120,0.68338,0.53533,0.09839,0.03872,5328916.45000
3180,0.69160,0.54314,0.09875,0.03878,4942521.95000
3240,0.68217,0.53305,0.09933,0.03882,4355188.50000
3300,0.68450,0.53437,0.10002,0.03911,3918437.60000
3360,0.65422,0.50492,0.09911,0.03922,3488605.15000
3420,0.64665,0.49743,0.09878,0.03933,3070083.20000
3480,0.66743,0.51913,0.09765,0.03943,2804740.95000
3540,0.66906,0.52175,0.09715,0.03909,2554279.00000
3600,0.69675,0.54942,0.09719,0.03909,2404749.20000
3660,0.69347,0.54727,0.09662,0.03848,2364661.40000
3720,0.62492,0.48150,0.09481,0.03759,2323845.85000
3780,0.62000,0.47966,0.09279,0.03652,2171285.25000
3840,0.61830,0.47956,0.09186,0.03584,2069926.10000
3900,0.57065,0.43227,0.09173,0.03560,1706132.85000
3960,0.60660,0.46627,0.09252,0.03695,1310622.90000
4020,0.59573,0.45387,0.09327,0.03771,1119696.90000
4080,0.64082,0.49778,0.09436,0.03768,958432.85000
4140,0.54462,0.40490,0.09207,0.03688,891260.80000
4200,0.44384,0.30639,0.09049,0.03615,795127.20000
4260,0.39384,0.26007,0.08951,0.03373,2716290.05000
4320,0.78585,0.63873,0.09834,0.03787,7242797.15000
4380,0.75018,0.60389,0.09775,0.03763,6033148.00000
4440,0.40217,0.26247,0.09247,0.03625,867288.75000
4500,0.45064,0.31039,0.09212,0.03726,698827.95000
4560,0.42010,0.28463,0.08987,0.03483,684012.30000
4620,0.44117,0.30339,0.09142,0.03560,872447.40000
4680,0.55091,0.41458,0.09125,0.03414,2415162.35000
4740,0.60225,0.46714,0.09178,0.03234,5264990.15000
4800,0.66118,0.52875,0.09106,0.03064,7605016.10000
4860,0.58902,0.45960,0.08947,0.02934,7298187.05000
4920,0.57775,0.44887,0.08919,0.02908,7437915.15000
4980,0.62871,0.49815,0.09012,0.02976,8149009.90000
5040,0.54922,0.41658,0.09070,0.03108,5907876.05000
5100,0.55839,0.42762,0.08999,0.03007,6713387.25000
5160,0.63971,0.51000,0.08977,0.02942,8461629.95000
5220,0.63016,0.50072,0.08949,0.02951,8496360.00000
5280,0.59446,0.46602,0.08893,0.02886,8448473.20000
5340,0.47849,0.35454,0.08783,0.02563,6607069.85000
5400,0.18700,0.06042,0.08703,0.02912,1056943.50000
5460,0.14008,0.01695,0.08596,0.02674,344217.00000
