frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.73208,0.32428,0.02858,0.00225,0.03351,0.16564,0.10176,0.04243,3553381.35000
60,0.65591,0.24410,0.02897,0.00213,0.03648,0.17656,0.09832,0.03290,3662944.30000
120,0.68970,0.20809,0.02945,0.00215,0.04074,0.23748,0.10209,0.03740,2176008.00000
180,0.63112,0.16176,0.02803,0.00214,0.04034,0.22478,0.10379,0.03773,1760027.75000
240,0.72018,0.22865,0.03104,0.00215,0.04116,0.23948,0.10575,0.03797,2911562.30000
300,0.75662,0.26242,0.03088,0.00215,0.04129,0.24136,0.10702,0.03816,3211259.30000
360,0.75812,0.26251,0.03084,0.00214,0.04155,0.24292,0.10656,0.03815,3197534.35000
420,0.67997,0.19858,0.02921,0.00215,0.04108,0.23236,0.10589,0.03767,2080022.75000
480,0.68640,0.20500,0.02910,0.00216,0.04116,0.23247,0.10610,0.03761,2143202.10000
540,0.73226,0.24821,0.02955,0.00215,0.04110,0.23726,0.10276,0.03755,2652802.15000
600,0.75010,0.27597,0.02956,0.00215,0.04093,0.23000,0.10078,0.03678,2718203.40000
660,0.65165,0.16683,0.02847,0.00215,0.04106,0.24215,0.10043,0.03719,1551084.95000
720,0.68441,0.20522,0.02947,0.00215,0.04078,0.23517,0.10144,0.03713,2455791.85000
780,0.66260,0.20352,0.02756,0.00215,0.03978,0.21626,0.10330,0.03714,2049572.45000
840,0.58969,0.13774,0.02659,0.00215,0.03934,0.21078,0.10296,0.03706,904159.35000
900,0.68909,0.23937,0.02778,0.00215,0.03970,0.21308,0.09780,0.03570,2916661.70000
960,0.77450,0.27836,0.03095,0.00215,0.04155,0.25074,0.10033,0.03725,3578981.25000
1020,0.72788,0.23541,0.03055,0.00216,0.04137,0.24416,0.10381,0.03745,2767377.40000
1080,0.72391,0.23201,0.02992,0.00215,0.04105,0.24162,0.10615,0.03764,2271770.15000
1140,0.82531,0.31715,0.03157,0.00215,0.04170,0.25429,0.10753,0.03800,2903832.20000
1200,0.78571,0.28152,0.03114,0.00214,0.04245,0.25376,0.10499,0.03755,2424988.15000
1260,0.72880,0.24374,0.02979,0.00214,0.04181,0.23770,0.10399,0.03700,2026572.10000
1320,0.73334,0.24861,0.02909,0.00215,0.04097,0.23465,0.10625,0.03752,2301510.50000
1380,0.75365,0.25364,0.03022,0.00215,0.04180,0.24836,0.10630,0.03755,2404923.35000
1440,0.78847,0.26708,0.03210,0.00215,0.04310,0.26681,0.10564,0.03786,2983851.65000
1500,0.91206,0.38771,0.03350,0.00216,0.04295,0.26874,0.10565,0.03795,5965339.50000
1560,0.93718,0.42625,0.03361,0.00215,0.04215,0.25714,0.10489,0.03768,6425388.50000
1620,0.93687,0.41705,0.03400,0.00216,0.04305,0.26497,0.10439,0.03782,6351675.30000
1680,0.79370,0.29707,0.03095,0.00215,0.04223,0.24604,0.10527,0.03735,3853289.10000
1740,0.67136,0.18412,0.02914,0.00215,0.04176,0.23901,0.10491,0.03745,1807302.25000
1800,0.67456,0.18875,0.02880,0.00215,0.04149,0.23721,0.10574,0.03755,1503980.35000
1860,0.67386,0.18630,0.02874,0.00215,0.04152,0.23746,0.10706,0.03760,1304820.90000
1920,0.66696,0.17933,0.02891,0.00215,0.04181,0.23778,0.10648,0.03756,1271388.55000
1980,0.64786,0.16466,0.02875,0.00215,0.04150,0.23566,0.10487,0.03736,1145896.95000
2040,0.62561,0.14750,0.02834,0.00215,0.04102,0.23166,0.10427,0.03733,833803.50000
2100,0.61908,0.14262,0.02809,0.00216,0.04083,0.22970,0.10498,0.03725,724541.55000
2160,0.60543,0.13043,0.02797,0.00215,0.04072,0.22800,0.10576,0.03742,651558.70000
2220,0.58258,0.11501,0.02739,0.00215,0.04017,0.22253,0.10584,0.03727,606690.35000
2280,0.42303,0.06402,0.02477,0.00215,0.03415,0.13652,0.09690,0.03159,387407.30000
2340,0.64113,0.20152,0.02886,0.00215,0.03828,0.19915,0.10236,0.03540,2264677.55000
2400,0.81302,0.31820,0.03288,0.00215,0.04133,0.24265,0.10445,0.03741,3983123.90000
2460,0.82903,0.33117,0.03270,0.00215,0.04183,0.24546,0.10522,0.03754,4233659.50000
2520,0.82534,0.32808,0.03269,0.00216,0.04184,0.24519,0.10472,0.03767,3774183.40000
2580,0.82257,0.33321,0.03040,0.00215,0.04112,0.23944,0.10511,0.03758,2738790.20000
2640,0.77056,0.28237,0.02930,0.00215,0.04102,0.23792,0.10641,0.03767,2234217.40000
2700,0.71280,0.22820,0.02865,0.00215,0.04075,0.23442,0.10773,0.03771,1876452.05000
2760,0.66615,0.18702,0.02794,0.00215,0.04037,0.23171,0.10685,0.03753,1554160.70000
2820,0.68501,0.20166,0.02812,0.00215,0.04071,0.23495,0.10652,0.03765,1444209.80000
2880,0.68097,0.20197,0.02782,0.00215,0.04053,0.23032,0.10736,0.03772,1270269.50000
2940,0.64247,0.16751,0.02782,0.00215,0.04061,0.22732,0.10701,0.03751,1185182.60000
3000,0.77504,0.28967,0.03053,0.00216,0.04025,0.23665,0.10490,0.03715,3737532.35000
3060,0.85775,0.34342,0.03361,0.00216,0.04152,0.26050,0.10566,0.03770,5419981.65000
3120,0.86618,0.34513,0.03356,0.00215,0.04229,0.26724,0.10560,0.03787,5328916.45000
3180,0.85574,0.33452,0.03303,0.00215,0.04229,0.26794,0.10555,0.03797,4942521.95000
3240,0.83509,0.31760,0.03321,0.00215,0.04251,0.26267,0.10615,0.03824,4355188.50000
3300,0.81485,0.30050,0.03291,0.00216,0.04250,0.26002,0.10602,0.03826,3918437.60000
3360,0.78312,0.27078,0.03254,0.00216,0.04221,0.25882,0.10603,0.03825,3488605.15000
3420,0.75611,0.25055,0.03117,0.00215,0.04167,0.25302,0.10606,0.03818,3070083.20000
3480,0.73389,0.24722,0.02948,0.00215,0.04087,0.23662,0.10618,0.03796,2804740.95000
3540,0.71511,0.24011,0.02828,0.00215,0.03988,0.22764,0.10626,0.03779,2554279.00000
3600,0.71805,0.23665,0.02854,0.00215,0.04016,0.23352,0.10665,0.03781,2404749.20000
3660,0.70406,0.22623,0.02892,0.00215,0.04012,0.23152,0.10502,0.03708,2364661.40000
3720,0.66800,0.20088,0.02897,0.00216,0.03980,0.22561,0.10180,0.03602,2323845.85000
3780,0.64734,0.19573,0.02814,0.00215,0.03885,0.21359,0.10079,0.03486,2171285.25000
3840,0.63084,0.19258,0.02775,0.00216,0.03792,0.20316,0.10034,0.03406,2069926.10000
3900,0.59849,0.17029,0.02728,0.00216,0.03755,0.19384,0.10065,0.03367,1706132.85000
3960,0.61031,0.17175,0.02729,0.00216,0.03821,0.20151,0.10189,0.03530,1310622.90000
4020,0.60938,0.16268,0.02744,0.00216,0.03876,0.20614,0.10316,0.03615,1119696.90000
4080,0.62832,0.17408,0.02676,0.00215,0.03886,0.21195,0.10475,0.03647,958432.85000
4140,0.58056,0.14210,0.02640,0.00215,0.03798,0.20117,0.10274,0.03534,891260.80000
4200,0.52060,0.10587,0.02612,0.00216,0.03722,0.18084,0.10076,0.03481,795127.20000
4260,0.52942,0.16923,0.02652,0.00216,0.03536,0.13415,0.09675,0.03247,2716290.05000
4320,0.96126,0.48372,0.03191,0.00215,0.04032,0.22735,0.10507,0.03750,7242797.15000
4380,0.89578,0.42922,0.03086,0.00215,0.03964,0.21913,0.10510,0.03692,6033148.00000
4440,0.52023,0.09356,0.02646,0.00215,0.03775,0.19125,0.10191,0.03462,867288.75000
4500,0.54253,0.10541,0.02617,0.00215,0.03820,0.20103,0.10142,0.03545,698827.95000
4560,0.50719,0.09632,0.02547,0.00216,0.03690,0.18056,0.09948,0.03342,684012.30000
4620,0.53738,0.10880,0.02627,0.00215,0.03772,0.19272,0.10233,0.03468,872447.40000
4680,0.61039,0.18887,0.02722,0.00216,0.03726,0.18840,0.10042,0.03255,2415162.35000
4740,0.74859,0.34210,0.02930,0.00216,0.03658,0.17476,0.09902,0.03168,5264990.15000
4800,0.84302,0.45927,0.02930,0.00215,0.03532,0.15698,0.09682,0.03052,7605016.10000
4860,0.79302,0.43596,0.02816,0.00215,0.03395,0.13584,0.09474,0.02941,7298187.05000
4920,0.79350,0.44436,0.02791,0.00215,0.03352,0.12925,0.09417,0.02927,7437915.15000
