frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.98007,0.43229,1.40431,0.09289,0.03506,18152448.10000
60,2.17392,0.43162,1.59495,0.09474,0.03822,18586967.45000
120,2.04283,0.34781,1.54650,0.09710,0.03825,13912915.15000
180,1.28136,0.08167,1.04554,0.10193,0.03827,1334104.85000
240,1.15554,0.08036,0.92054,0.10250,0.03806,1563999.05000
300,1.05931,0.07450,0.82997,0.10264,0.03802,942806.45000
360,1.44008,0.06646,1.22669,0.09413,0.03837,651664.20000
420,1.26833,0.05362,1.07014,0.09265,0.03827,531526.60000
480,1.03666,0.04192,0.84778,0.09541,0.03743,335265.25000
540,1.06808,0.05167,0.86906,0.09531,0.03801,394504.35000
600,2.49033,0.48686,1.85660,0.09137,0.03884,18946657.50000
660,2.88070,0.70470,2.02694,0.09301,0.03914,22204983.50000
720,2.88394,0.74274,1.99045,0.09164,0.03867,22048389.25000
780,2.87664,0.63137,2.09048,0.09221,0.03952,22030151.10000
840,2.32184,0.67011,1.49683,0.09135,0.03934,22933227.50000
900,2.69999,0.77504,1.74348,0.09313,0.04343,23109201.20000
960,2.45236,0.63854,1.66060,0.09283,0.04121,21561609.35000
1020,2.21016,0.53893,1.52525,0.09279,0.03874,20587357.35000
1080,2.19940,0.49308,1.56001,0.09274,0.03902,19340923.10000
1140,1.69093,0.30863,1.23542,0.09120,0.03828,11587346.20000
1200,2.03074,0.44140,1.43064,0.09093,0.03831,18118567.50000
1260,1.40334,0.39288,0.85150,0.09359,0.03901,16796927.25000
1320,1.45561,0.42244,0.88571,0.09336,0.03902,17025278.05000
1380,2.47995,0.62888,1.67950,0.09501,0.04004,20513194.45000
1440,2.95889,0.82252,1.98077,0.08999,0.03848,22738668.90000
1500,2.97678,0.89027,1.94115,0.08754,0.03744,24340029.45000
1560,2.76259,0.89474,1.71765,0.08666,0.03563,25480750.30000
1620,2.74718,0.89866,1.70459,0.08322,0.03476,25990293.40000
1680,2.89162,0.89066,1.86892,0.08189,0.03429,26398667.95000
1740,2.65352,0.86927,1.64891,0.08029,0.03121,26393518.40000
1800,2.65384,0.92255,1.59434,0.08207,0.02985,26437710.30000
1860,2.83484,0.92596,1.76471,0.08150,0.03114,26437681.00000
1920,2.96191,0.91870,1.91080,0.08343,0.03461,26437617.40000
1980,2.81907,0.87886,1.79520,0.08604,0.03549,25454451.50000
2040,2.32676,0.63834,1.54921,0.08758,0.03603,22314910.70000
2100,1.92310,0.45896,1.31787,0.09027,0.04133,16667258.70000
2160,0.67920,0.13026,0.40695,0.09319,0.03491,3680024.70000
2220,0.17129,0.01109,0.03388,0.08581,0.02723,250198.20000
2280,0.14937,0.00629,0.01879,0.08545,0.02555,81778.25000
2340,0.13189,0.00352,0.00673,0.08525,0.02294,0.00000
2400,0.13156,0.00348,0.00673,0.08517,0.02288,0.00000
2460,0.13303,0.00342,0.00673,0.08524,0.02311,0.00000
