frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.63173,0.56110,0.03119,0.00215,0.03787,0.83846,0.09294,0.03500,18152448.10000
60,1.92049,0.58709,0.03427,0.00215,0.04189,1.08634,0.09795,0.03906,18586967.45000
120,1.81417,0.45102,0.03249,0.00215,0.04062,1.12191,0.09803,0.03886,13912915.15000
180,1.36399,0.11880,0.02766,0.00221,0.04021,1.00787,0.09852,0.03853,1334104.85000
240,1.33615,0.12483,0.02725,0.00221,0.04008,0.97438,0.09920,0.03836,1563999.05000
300,1.14657,0.10644,0.02669,0.00220,0.03951,0.80361,0.09971,0.03819,942806.45000
360,1.38057,0.09195,0.02720,0.00221,0.04005,1.05154,0.09928,0.03830,651664.20000
420,1.54047,0.08116,0.02730,0.00231,0.04019,1.22599,0.09678,0.03816,531526.60000
480,1.26591,0.07114,0.02684,0.00245,0.03945,0.96782,0.09528,0.03771,335265.25000
540,1.17243,0.07554,0.02689,0.00256,0.03964,0.86282,0.10020,0.03832,394504.35000
600,2.41551,0.71735,0.03324,0.00293,0.04135,1.45541,0.10086,0.03990,18946657.50000
660,2.77226,0.94459,0.03478,0.00292,0.04306,1.58467,0.09790,0.03996,22204983.50000
720,2.75135,0.96831,0.03422,0.00282,0.04243,1.54618,0.09294,0.03965,22048389.25000
780,2.75284,0.92549,0.03501,0.00282,0.04326,1.58633,0.09498,0.04006,22030151.10000
840,2.29268,0.97619,0.03362,0.00300,0.04128,1.07623,0.09691,0.03977,22933227.50000
900,2.60390,1.04147,0.03373,0.00285,0.04150,1.31972,0.09533,0.04438,23109201.20000
960,2.49900,0.92717,0.03409,0.00257,0.04219,1.32736,0.09740,0.04160,21561609.35000
1020,2.26699,0.80267,0.03421,0.00299,0.04224,1.22187,0.09521,0.03940,20587357.35000
1080,2.15704,0.67873,0.03380,0.00301,0.04159,1.24176,0.09358,0.03939,19340923.10000
1140,1.64584,0.41815,0.03146,0.00262,0.04105,0.99539,0.09313,0.03872,11587346.20000
1200,1.88835,0.62048,0.03355,0.00277,0.04147,1.03423,0.09270,0.03884,18118567.50000
1260,1.40448,0.56123,0.03335,0.00291,0.04120,0.60167,0.09768,0.03969,16796927.25000
1320,1.50387,0.61815,0.03328,0.00271,0.04106,0.64490,0.09798,0.03919,17025278.05000
1380,2.46252,0.89992,0.03279,0.00303,0.04089,1.32690,0.09347,0.04054,20513194.45000
1440,2.82648,1.03188,0.03212,0.00298,0.04022,1.56307,0.09120,0.03987,22738668.90000
1500,2.80461,1.10028,0.03128,0.00296,0.03885,1.47920,0.08824,0.03851,24340029.45000
1560,2.50870,1.10356,0.03019,0.00284,0.03717,1.18764,0.08560,0.03654,25480750.30000
1620,2.38601,1.08869,0.02939,0.00272,0.03612,1.08296,0.08594,0.03442,25990293.40000
1680,2.44453,1.08812,0.02852,0.00287,0.03446,1.14639,0.08547,0.03315,26398667.95000
1740,2.19177,1.07186,0.02649,0.00290,0.03175,0.92153,0.08276,0.02941,26393518.40000
1800,2.12913,1.09156,0.02621,0.00290,0.03159,0.84358,0.08076,0.02812,26437710.30000
1860,2.33695,1.10375,0.02751,0.00290,0.03329,1.03238,0.08230,0.03028,26437681.00000
1920,2.56892,1.12224,0.02933,0.00294,0.03579,1.23646,0.08376,0.03442,26437617.40000
1980,2.49742,1.10243,0.02968,0.00284,0.03685,1.17627,0.08795,0.03595,25454451.50000
2040,2.22636,0.89796,0.03018,0.00287,0.03747,1.10787,0.08820,0.03679,22314910.70000
2100,2.01027,0.64458,0.03143,0.00287,0.03950,1.13278,0.09239,0.04150,16667258.70000
2160,0.83639,0.20034,0.02481,0.00224,0.03456,0.41325,0.09468,0.03506,3680024.70000
2220,0.27409,0.01782,0.02046,0.00214,0.02554,0.06162,0.08598,0.02802,250198.20000
2280,0.24521,0.00981,0.02002,0.00210,0.02485,0.04526,0.08565,0.02553,81778.25000
2340,0.22666,0.00542,0.01980,0.00207,0.02447,0.03439,0.08562,0.02314,0.00000
2400,0.22703,0.00556,0.01980,0.00206,0.02449,0.03412,0.08559,0.02313,0.00000
2460,0.22685,0.00547,0.01980,0.00207,0.02449,0.03421,0.08561,0.02314,0.00000
