frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.86763,0.18153,0.02827,0.00215,0.03628,1.45013,0.09620,0.03496,2955774.10000
60,2.32158,0.21590,0.03327,0.00225,0.03991,1.86306,0.09939,0.03815,3390293.45000
120,1.91612,0.14653,0.02875,0.00227,0.03944,1.52676,0.09899,0.03814,1763572.05000
180,1.88980,0.11782,0.02708,0.00272,0.03930,1.54425,0.09450,0.03811,1334104.85000
240,1.63685,0.12165,0.02670,0.00269,0.03940,1.28085,0.09543,0.03828,1563999.05000
300,1.18138,0.10848,0.02643,0.00304,0.03868,0.84885,0.09323,0.03818,942806.45000
360,1.65060,0.08987,0.02670,0.00269,0.03922,1.32743,0.09416,0.03858,651664.20000
420,1.84087,0.08062,0.02690,0.00255,0.03938,1.53620,0.09215,0.03794,531526.60000
480,1.35207,0.07102,0.02675,0.00279,0.03897,1.05455,0.09538,0.03750,335265.25000
540,1.31339,0.07584,0.02665,0.00277,0.03897,1.00586,0.09932,0.03799,394504.35000
