frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.69932,0.22180,0.31570,0.10025,0.04525,3553381.35000
60,0.77164,0.23920,0.34834,0.11419,0.05382,3662944.30000
120,0.50377,0.13399,0.21792,0.09663,0.04052,2176008.00000
180,0.42635,0.09234,0.18582,0.09500,0.03883,1760027.75000
240,0.52459,0.13617,0.23609,0.09654,0.03951,2911562.30000
300,0.56344,0.16038,0.25198,0.09762,0.03919,3211259.30000
360,0.58224,0.16575,0.26270,0.09955,0.03930,3197534.35000
420,0.51102,0.12826,0.23082,0.09881,0.03873,2080022.75000
480,0.52149,0.13624,0.23116,0.09781,0.03884,2143202.10000
540,0.53316,0.15358,0.23164,0.09507,0.03867,2652802.15000
