run-id,run-name,output-filepath,renderer-variant,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,32_nsight_representative_cases,${RUN_TEMP}\run_00000.csv,9,0,0,0,0,1,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,1,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.23386,visibility,0.00991,visutil_histogram,0.01999,visutil_prefix,0.00211,visutil_flatten,0.02495,gbuffer,0.03284,lighting,0.08502,tonemap,0.02617,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:43:06,free,0.23110,0.23392,0.23891,0.23386,0.23181,0.23334,0.23421,0.23610,4225,0,64,100,9,0,0,0,0,1,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,1,1.0,1.0,64,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-43-07.txt",,
1,32_nsight_representative_cases,${RUN_TEMP}\run_00001.csv,9,1,0,0,0,1,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.27387,visibility,0.01006,visutil_histogram,0.02043,visutil_prefix,0.00202,visutil_flatten,0.02545,gbuffer,0.07215,lighting,0.08520,tonemap,0.02664,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:43:07,free,0.26995,0.27341,0.28061,0.27387,0.27018,0.27110,0.27696,0.27930,4225,0,64,100,9,1,0,0,0,1,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,64,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-43-09.txt",,
2,32_nsight_representative_cases,${RUN_TEMP}\run_00002.csv,9,2,0,0,0,1,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,0,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.28002,visibility,0.01388,visutil_histogram,0.02018,visutil_prefix,0.00205,visutil_flatten,0.02544,gbuffer,0.07234,lighting,0.08523,tonemap,0.02856,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:43:09,free,0.27411,0.27952,0.28842,0.28002,0.27568,0.27731,0.28307,0.28758,4225,0,64,100,9,2,0,0,0,1,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,0.0,1.0,64,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-43-12.txt",,
3,32_nsight_representative_cases,${RUN_TEMP}\run_00003.csv,9,3,0,0,0,1,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,1,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,255,0,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,64,1,1,256,1,100,total,0.50535,visibility,0.01497,visutil_histogram,0.02051,visutil_prefix,0.00222,visutil_flatten,0.02582,gbuffer,0.28876,lighting,0.08539,tonemap,0.03622,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:43:12,free,0.45146,0.49347,0.56035,0.50535,0.45574,0.46672,0.54723,0.55798,4225,0,64,100,9,3,0,0,0,1,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,0,0,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,255,0.0,1.0,64,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-43-21.txt",,
4,32_nsight_representative_cases,${RUN_TEMP}\run_00004.csv,8,4,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.37592,depth_prepass,0.09898,geometry,1.12618,lighting,0.09867,tonemap,0.03774,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T21:43:22,playback,0.82570,1.39693,1.92221,1.37592,0.84262,1.05606,1.67830,1.85184,4,0,1,100,8,4,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{480} measure_start{120} measure_end{420} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00004.csv_4_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-43-42.txt",,
5,32_nsight_representative_cases,${RUN_TEMP}\run_00005.csv,9,5,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.93494,visibility,0.15783,visutil_histogram,0.02880,visutil_prefix,0.00224,visutil_flatten,0.03899,gbuffer,1.54059,lighting,0.09862,tonemap,0.03754,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:43:42,playback,1.04822,1.85462,3.05674,1.93494,1.07059,1.43565,2.67066,2.95082,4,0,1,100,9,5,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{480} measure_start{120} measure_end{420} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00005.csv_5_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-44-03.txt",,
6,32_nsight_representative_cases,${RUN_TEMP}\run_00006.csv,9,6,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,1.38675,visibility,0.15526,visutil_histogram,0.02949,visutil_prefix,0.00218,visutil_flatten,0.04023,gbuffer,0.99273,lighting,0.09697,tonemap,0.03833,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:44:04,playback,0.98256,1.38640,1.88253,1.38675,0.98909,1.13872,1.66634,1.84438,4,0,1,100,9,6,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,120,300,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,6,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{480} measure_start{120} measure_end{420} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00006.csv_6_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-44-25.txt",,
7,32_nsight_representative_cases,${RUN_TEMP}\run_00007.csv,8,7,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,120,300,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1920,1080,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.49110,depth_prepass,0.13040,geometry,0.21564,lighting,0.09385,tonemap,0.03715,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-29T21:44:25,playback,0.38205,0.44614,0.74301,0.49110,0.38378,0.39872,0.62522,0.70243,4,0,1,100,8,7,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,120,300,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1920,1080,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,7,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{480} measure_start{120} measure_end{420} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00007.csv_7_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-44-32.txt",,
8,32_nsight_representative_cases,${RUN_TEMP}\run_00008.csv,9,8,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,120,300,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1920,1080,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.75799,visibility,0.26361,visutil_histogram,0.03005,visutil_prefix,0.00220,visutil_flatten,0.03866,gbuffer,0.23288,lighting,0.11317,tonemap,0.04413,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:44:32,playback,0.57805,0.73091,1.13318,0.75799,0.58054,0.62026,1.03654,1.11475,4,0,1,100,9,8,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,120,300,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1920,1080,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,8,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{480} measure_start{120} measure_end{420} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00008.csv_8_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-44-40.txt",,
9,32_nsight_representative_cases,${RUN_TEMP}\run_00009.csv,9,9,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,120,300,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1920,1080,0,0,64,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.76600,visibility,0.24999,visutil_histogram,0.03078,visutil_prefix,0.00209,visutil_flatten,0.04046,gbuffer,0.26809,lighting,0.09963,tonemap,0.04192,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-29T21:44:40,playback,0.62349,0.76749,1.16451,0.76600,0.63062,0.65104,0.86736,1.07968,4,0,1,100,9,9,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,120,300,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1920,1080,0,0,64,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,32_nsight_representative_cases,0,9,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{480} measure_start{120} measure_end{420} sample_count{300} window_frames{60}
Saved CSV: ${RUN_TEMP}\run_00009.csv_9_result.csv
Log saved to: ${REPOSITORY_ROOT}\out\build\x64-Release\bin\Release\logs\log_2026-07-29_21-44-48.txt",,
