frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.16172,0.06203,0.07068,0.01102,0.00473,3553381.35000
60,0.17212,0.06577,0.07664,0.01138,0.00485,3662944.30000
120,0.12001,0.04032,0.05212,0.01084,0.00419,2176008.00000
180,0.08693,0.02697,0.03302,0.01062,0.00380,1760027.75000
240,0.15646,0.06088,0.06677,0.01092,0.00442,2911562.30000
300,0.18438,0.07436,0.08009,0.01117,0.00468,3211259.30000
360,0.18328,0.07393,0.07943,0.01117,0.00467,3197534.35000
420,0.11832,0.04275,0.04741,0.01088,0.00411,2080022.75000
480,0.12420,0.04486,0.05138,0.01091,0.00418,2143202.10000
540,0.14489,0.05443,0.06220,0.01083,0.00429,2652802.15000
600,0.14812,0.05471,0.06564,0.01075,0.00419,2718203.40000
660,0.08486,0.02540,0.03308,0.01062,0.00377,1551084.95000
720,0.13632,0.05215,0.05653,0.01073,0.00389,2455791.85000
780,0.12359,0.04579,0.05061,0.01063,0.00375,2049572.45000
840,0.06692,0.01720,0.02368,0.01049,0.00375,904159.35000
900,0.14846,0.05457,0.06576,0.01075,0.00428,2916661.70000
960,0.19142,0.07614,0.08615,0.01108,0.00462,3578981.25000
1020,0.14652,0.05610,0.06182,0.01104,0.00408,2767377.40000
1080,0.13292,0.05109,0.05423,0.01087,0.00399,2271770.15000
1140,0.15786,0.06175,0.06736,0.01102,0.00442,2903832.20000
1200,0.13655,0.05364,0.05502,0.01084,0.00396,2424988.15000
1260,0.11710,0.04498,0.04478,0.01068,0.00377,2026572.10000
1320,0.12510,0.04634,0.05100,0.01087,0.00409,2301510.50000
1380,0.12614,0.04734,0.05111,0.01088,0.00398,2404923.35000
1440,0.13923,0.05212,0.05845,0.01101,0.00449,2983851.65000
1500,0.27795,0.10894,0.13922,0.01117,0.00475,5965339.50000
1560,0.31098,0.12577,0.15556,0.01108,0.00476,6425388.50000
1620,0.30939,0.12468,0.15464,0.01110,0.00478,6351675.30000
1680,0.18722,0.07192,0.08625,0.01113,0.00453,3853289.10000
1740,0.10028,0.03416,0.03917,0.01067,0.00377,1807302.25000
