frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.20955,0.11710,0.00426,0.00197,0.00512,0.03496,0.00999,0.00403,3553381.35000
60,0.21835,0.12211,0.00455,0.00195,0.00567,0.03841,0.01005,0.00415,3662944.30000
120,0.17957,0.07806,0.00522,0.00199,0.00646,0.04225,0.01013,0.00413,2176008.00000
180,0.15118,0.05310,0.00494,0.00195,0.00627,0.04111,0.01001,0.00393,1760027.75000
240,0.20482,0.10413,0.00500,0.00196,0.00644,0.04294,0.01016,0.00431,2911562.30000
300,0.21878,0.11675,0.00501,0.00196,0.00641,0.04389,0.01022,0.00444,3211259.30000
360,0.21961,0.11685,0.00499,0.00202,0.00641,0.04401,0.01022,0.00446,3197534.35000
420,0.17262,0.07248,0.00491,0.00194,0.00630,0.04287,0.01003,0.00414,2080022.75000
480,0.17707,0.07446,0.00501,0.00197,0.00631,0.04299,0.01006,0.00414,2143202.10000
540,0.19306,0.09226,0.00506,0.00196,0.00640,0.04263,0.01013,0.00424,2652802.15000
600,0.19942,0.09765,0.00568,0.00199,0.00647,0.04256,0.01013,0.00409,2718203.40000
660,0.14594,0.04681,0.00499,0.00192,0.00629,0.04189,0.01003,0.00392,1551084.95000
720,0.18401,0.08466,0.00490,0.00191,0.00632,0.04180,0.01006,0.00430,2455791.85000
780,0.17021,0.07292,0.00479,0.00192,0.00618,0.03997,0.00998,0.00426,2049572.45000
840,0.12679,0.03072,0.00457,0.00192,0.00600,0.03907,0.00995,0.00389,904159.35000
900,0.20034,0.10097,0.00508,0.00198,0.00629,0.04087,0.01006,0.00414,2916661.70000
960,0.23717,0.13051,0.00599,0.00209,0.00680,0.04478,0.01024,0.00442,3578981.25000
1020,0.20076,0.09808,0.00536,0.00201,0.00647,0.04379,0.01016,0.00412,2767377.40000
1080,0.18304,0.08147,0.00497,0.00193,0.00636,0.04363,0.01014,0.00393,2271770.15000
1140,0.20836,0.10413,0.00530,0.00200,0.00650,0.04525,0.01025,0.00417,2903832.20000
1200,0.18992,0.08663,0.00508,0.00193,0.00642,0.04522,0.01010,0.00403,2424988.15000
1260,0.17161,0.07073,0.00499,0.00192,0.00633,0.04362,0.01005,0.00391,2026572.10000
1320,0.18052,0.07903,0.00497,0.00199,0.00634,0.04364,0.01007,0.00392,2301510.50000
1380,0.18448,0.08224,0.00508,0.00195,0.00639,0.04447,0.01011,0.00394,2404923.35000
1440,0.20477,0.10002,0.00522,0.00192,0.00656,0.04584,0.01017,0.00431,2983851.65000
1500,0.33899,0.22435,0.00687,0.00209,0.00691,0.05084,0.01076,0.00481,5965339.50000
1560,0.36449,0.25158,0.00705,0.00211,0.00681,0.04846,0.01066,0.00502,6425388.50000
1620,0.36209,0.24784,0.00731,0.00210,0.00688,0.04970,0.01069,0.00503,6351675.30000
1680,0.24726,0.14141,0.00544,0.00197,0.00657,0.04626,0.01029,0.00431,3853289.10000
1740,0.15965,0.05872,0.00497,0.00192,0.00633,0.04347,0.01004,0.00392,1807302.25000
1800,0.14923,0.04920,0.00496,0.00192,0.00627,0.04305,0.01001,0.00393,1503980.35000
1860,0.14225,0.04291,0.00493,0.00192,0.00627,0.04236,0.01001,0.00392,1304820.90000
1920,0.14128,0.04172,0.00499,0.00192,0.00629,0.04267,0.01002,0.00391,1271388.55000
1980,0.13693,0.03756,0.00499,0.00192,0.00627,0.04212,0.01000,0.00392,1145896.95000
2040,0.12766,0.02905,0.00493,0.00192,0.00624,0.04155,0.01000,0.00391,833803.50000
2100,0.12437,0.02609,0.00491,0.00192,0.00622,0.04120,0.01000,0.00393,724541.55000
2160,0.12201,0.02386,0.00487,0.00192,0.00622,0.04084,0.01000,0.00393,651558.70000
2220,0.11841,0.02089,0.00483,0.00192,0.00615,0.04048,0.01002,0.00392,606690.35000
2280,0.10460,0.01463,0.00444,0.00192,0.00505,0.03402,0.00996,0.00389,387407.30000
2340,0.18010,0.08264,0.00491,0.00199,0.00592,0.03948,0.01010,0.00413,2264677.55000
2400,0.25720,0.15096,0.00612,0.00210,0.00675,0.04482,0.01030,0.00436,3983123.90000
2460,0.27195,0.16368,0.00643,0.00210,0.00681,0.04619,0.01037,0.00452,4233659.50000
2520,0.24670,0.13941,0.00601,0.00208,0.00678,0.04569,0.01037,0.00446,3774183.40000
2580,0.19994,0.09830,0.00497,0.00202,0.00634,0.04319,0.01015,0.00427,2738790.20000
2640,0.18110,0.08034,0.00493,0.00193,0.00628,0.04268,0.01013,0.00395,2234217.40000
2700,0.16562,0.06637,0.00498,0.00192,0.00628,0.04196,0.01006,0.00393,1876452.05000
2760,0.15325,0.05441,0.00490,0.00191,0.00621,0.04142,0.01000,0.00392,1554160.70000
2820,0.14972,0.05068,0.00494,0.00192,0.00622,0.04180,0.00998,0.00392,1444209.80000
2880,0.14267,0.04417,0.00483,0.00192,0.00618,0.04118,0.01000,0.00391,1270269.50000
2940,0.13784,0.03916,0.00492,0.00193,0.00624,0.04153,0.01001,0.00391,1185182.60000
3000,0.24123,0.13532,0.00564,0.00200,0.00645,0.04439,0.01034,0.00446,3737532.35000
3060,0.31788,0.20519,0.00643,0.00209,0.00683,0.04951,0.01061,0.00492,5419981.65000
3120,0.31684,0.20340,0.00656,0.00209,0.00685,0.05013,0.01069,0.00487,5328916.45000
3180,0.30018,0.18756,0.00613,0.00209,0.00684,0.05017,0.01067,0.00467,4942521.95000
3240,0.27567,0.16319,0.00584,0.00210,0.00679,0.04847,0.01059,0.00460,4355188.50000
3300,0.25457,0.14574,0.00577,0.00209,0.00672,0.04721,0.01046,0.00457,3918437.60000
3360,0.23522,0.12855,0.00557,0.00208,0.00664,0.04573,0.01032,0.00453,3488605.15000
3420,0.21522,0.11242,0.00497,0.00199,0.00642,0.04407,0.01017,0.00448,3070083.20000
3480,0.20143,0.10042,0.00485,0.00192,0.00632,0.04264,0.01009,0.00453,2804740.95000
3540,0.19241,0.09326,0.00475,0.00193,0.00626,0.04090,0.01007,0.00459,2554279.00000
3600,0.18890,0.08887,0.00480,0.00192,0.00626,0.04132,0.01005,0.00457,2404749.20000
3660,0.18753,0.08806,0.00485,0.00192,0.00626,0.04173,0.01007,0.00452,2364661.40000
3720,0.18546,0.08599,0.00489,0.00194,0.00627,0.04161,0.01009,0.00453,2323845.85000
3780,0.17773,0.08012,0.00478,0.00193,0.00621,0.04038,0.01002,0.00414,2171285.25000
3840,0.17268,0.07609,0.00470,0.00192,0.00614,0.03965,0.00998,0.00404,2069926.10000
3900,0.15772,0.06151,0.00468,0.00192,0.00600,0.03931,0.00996,0.00385,1706132.85000
3960,0.14452,0.04824,0.00471,0.00193,0.00609,0.03919,0.00995,0.00384,1310622.90000
4020,0.13646,0.04003,0.00480,0.00193,0.00606,0.03963,0.00995,0.00386,1119696.90000
4080,0.13270,0.03560,0.00476,0.00193,0.00607,0.04019,0.00997,0.00390,958432.85000
4140,0.12881,0.03174,0.00470,0.00193,0.00595,0.03977,0.00997,0.00387,891260.80000
4200,0.12318,0.02833,0.00465,0.00192,0.00591,0.03759,0.00996,0.00388,795127.20000
4260,0.18876,0.09427,0.00508,0.00196,0.00544,0.03613,0.01009,0.00417,2716290.05000
4320,0.40881,0.29603,0.00698,0.00210,0.00670,0.04648,0.01061,0.00498,7242797.15000
4380,0.35581,0.24903,0.00657,0.00207,0.00652,0.04461,0.01052,0.00475,6033148.00000
4440,0.12178,0.02723,0.00462,0.00192,0.00594,0.03755,0.00997,0.00388,867288.75000
4500,0.11715,0.02188,0.00456,0.00192,0.00593,0.03826,0.00999,0.00389,698827.95000
4560,0.11672,0.02173,0.00453,0.00192,0.00565,0.03775,0.00999,0.00386,684012.30000
4620,0.12353,0.02821,0.00463,0.00193,0.00590,0.03808,0.00999,0.00391,872447.40000
4680,0.17777,0.08057,0.00467,0.00193,0.00601,0.03975,0.00999,0.00407,2415162.35000
4740,0.30053,0.19910,0.00564,0.00207,0.00623,0.04141,0.01044,0.00457,5264990.15000
4800,0.39750,0.30043,0.00637,0.00210,0.00627,0.03962,0.01041,0.00471,7605016.10000
4860,0.38834,0.29291,0.00634,0.00210,0.00609,0.03858,0.01043,0.00461,7298187.05000
4920,0.39133,0.29631,0.00628,0.00211,0.00603,0.03844,0.01041,0.00463,7437915.15000
4980,0.42034,0.32529,0.00633,0.00210,0.00616,0.03899,0.01035,0.00463,8149009.90000
5040,0.33120,0.23289,0.00551,0.00207,0.00613,0.03844,0.01026,0.00463,5907876.05000
5100,0.35637,0.25968,0.00573,0.00209,0.00609,0.03776,0.01031,0.00469,6713387.25000
5160,0.43466,0.33514,0.00614,0.00211,0.00613,0.03918,0.01050,0.00473,8461629.95000
5220,0.43485,0.33842,0.00607,0.00210,0.00609,0.03958,0.01049,0.00472,8496360.00000
5280,0.43298,0.33499,0.00597,0.00210,0.00593,0.03866,0.01043,0.00471,8448473.20000
5340,0.35671,0.26745,0.00558,0.00210,0.00559,0.03452,0.01023,0.00450,6607069.85000
