frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.30466,0.14254,0.01128,0.00214,0.01322,0.05845,0.03298,0.00891,3553381.35000
60,0.32191,0.14899,0.01177,0.00211,0.01407,0.07089,0.03306,0.00915,3662944.30000
120,0.29542,0.10245,0.01246,0.00210,0.01558,0.08844,0.03333,0.00985,2176008.00000
180,0.27101,0.07856,0.01180,0.00210,0.01535,0.08544,0.03390,0.00981,1760027.75000
240,0.32637,0.12796,0.01258,0.00211,0.01567,0.09331,0.03380,0.00995,2911562.30000
300,0.34329,0.14322,0.01285,0.00210,0.01569,0.09166,0.03382,0.00999,3211259.30000
360,0.34380,0.14286,0.01312,0.00211,0.01590,0.09226,0.03401,0.00988,3197534.35000
420,0.29044,0.09709,0.01245,0.00210,0.01565,0.08799,0.03410,0.00992,2080022.75000
480,0.29219,0.09927,0.01264,0.00211,0.01571,0.08763,0.03393,0.00974,2143202.10000
540,0.31663,0.12199,0.01280,0.00211,0.01578,0.08916,0.03364,0.00989,2652802.15000
600,0.32454,0.13128,0.01293,0.00212,0.01578,0.08855,0.03336,0.00954,2718203.40000
660,0.26746,0.07293,0.01208,0.00209,0.01567,0.09027,0.03305,0.00997,1551084.95000
720,0.30680,0.11273,0.01243,0.00210,0.01556,0.08902,0.03340,0.01000,2455791.85000
780,0.28568,0.10129,0.01173,0.00210,0.01515,0.08054,0.03349,0.00947,2049572.45000
840,0.23414,0.05218,0.01083,0.00210,0.01486,0.07750,0.03316,0.00899,904159.35000
900,0.31462,0.13135,0.01145,0.00211,0.01509,0.07967,0.03336,0.00926,2916661.70000
960,0.35712,0.15724,0.01294,0.00210,0.01588,0.09268,0.03374,0.00981,3578981.25000
1020,0.32306,0.12337,0.01297,0.00210,0.01579,0.09317,0.03379,0.01002,2767377.40000
1080,0.30455,0.10625,0.01277,0.00211,0.01565,0.09213,0.03404,0.01000,2271770.15000
1140,0.33799,0.13603,0.01323,0.00211,0.01599,0.09581,0.03381,0.00991,2903832.20000
1200,0.31720,0.11580,0.01312,0.00211,0.01621,0.09561,0.03381,0.00974,2424988.15000
1260,0.29544,0.09866,0.01251,0.00211,0.01597,0.09170,0.03385,0.00976,2026572.10000
1320,0.30549,0.10910,0.01248,0.00212,0.01573,0.08988,0.03416,0.01000,2301510.50000
1380,0.31484,0.11144,0.01295,0.00211,0.01596,0.09452,0.03391,0.00990,2404923.35000
1440,0.33346,0.12783,0.01352,0.00211,0.01637,0.09867,0.03366,0.00977,2983851.65000
1500,0.45215,0.24370,0.01439,0.00211,0.01640,0.09862,0.03399,0.00974,5965339.50000
1560,0.47469,0.26955,0.01384,0.00211,0.01604,0.09270,0.03413,0.00969,6425388.50000
1620,0.47475,0.26470,0.01447,0.00211,0.01647,0.09680,0.03402,0.00974,6351675.30000
1680,0.36711,0.16641,0.01347,0.00210,0.01613,0.09313,0.03381,0.00962,3853289.10000
1740,0.27625,0.08009,0.01213,0.00211,0.01583,0.09155,0.03354,0.00977,1807302.25000
1800,0.26934,0.07261,0.01201,0.00211,0.01569,0.09002,0.03355,0.00952,1503980.35000
1860,0.26400,0.06647,0.01192,0.00211,0.01565,0.09058,0.03344,0.00954,1304820.90000
1920,0.25931,0.06427,0.01210,0.00211,0.01582,0.08949,0.03355,0.00970,1271388.55000
1980,0.25291,0.05939,0.01211,0.00211,0.01576,0.08880,0.03345,0.01003,1145896.95000
2040,0.24421,0.05040,0.01191,0.00211,0.01560,0.08703,0.03338,0.01002,833803.50000
2100,0.23550,0.04637,0.01184,0.00211,0.01553,0.08494,0.03337,0.01004,724541.55000
2160,0.23464,0.04348,0.01183,0.00211,0.01551,0.08497,0.03312,0.00997,651558.70000
2220,0.22777,0.04113,0.01161,0.00211,0.01533,0.08265,0.03327,0.00987,606690.35000
2280,0.17539,0.02450,0.00999,0.00199,0.01288,0.05431,0.03226,0.00828,387407.30000
2340,0.28562,0.10603,0.01143,0.00206,0.01449,0.07685,0.03345,0.00931,2264677.55000
2400,0.38120,0.17995,0.01303,0.00210,0.01577,0.09253,0.03400,0.00984,3983123.90000
2460,0.39117,0.19297,0.01317,0.00211,0.01591,0.09224,0.03412,0.00968,4233659.50000
2520,0.37009,0.16876,0.01314,0.00212,0.01598,0.09296,0.03401,0.00971,3774183.40000
2580,0.33075,0.13422,0.01262,0.00211,0.01571,0.09096,0.03390,0.00988,2738790.20000
2640,0.31153,0.11254,0.01240,0.00210,0.01566,0.09194,0.03370,0.00984,2234217.40000
2700,0.28818,0.09281,0.01241,0.00210,0.01566,0.09009,0.03380,0.00990,1876452.05000
2760,0.27131,0.07833,0.01213,0.00210,0.01545,0.08779,0.03394,0.00994,1554160.70000
2820,0.26952,0.07321,0.01226,0.00210,0.01550,0.08834,0.03393,0.01006,1444209.80000
2880,0.25986,0.06799,0.01202,0.00210,0.01539,0.08663,0.03366,0.00998,1270269.50000
2940,0.24968,0.05970,0.01206,0.00210,0.01547,0.08532,0.03361,0.00998,1185182.60000
3000,0.35124,0.15894,0.01248,0.00209,0.01536,0.08646,0.03386,0.00980,3737532.35000
3060,0.43040,0.22539,0.01327,0.00211,0.01567,0.09342,0.03641,0.00976,5419981.65000
3120,0.42825,0.22172,0.01366,0.00211,0.01605,0.09720,0.03396,0.00977,5328916.45000
3180,0.41334,0.20940,0.01362,0.00211,0.01615,0.09724,0.03385,0.00977,4942521.95000
3240,0.38966,0.18708,0.01373,0.00213,0.01623,0.09567,0.03381,0.00969,4355188.50000
3300,0.37207,0.17014,0.01368,0.00211,0.01622,0.09546,0.03379,0.00977,3918437.60000
3360,0.35447,0.15315,0.01342,0.00211,0.01618,0.09487,0.03383,0.00972,3488605.15000
3420,0.33954,0.13738,0.01324,0.00211,0.01595,0.09339,0.03367,0.00985,3070083.20000
3480,0.32411,0.12765,0.01269,0.00211,0.01561,0.09013,0.03385,0.01003,2804740.95000
3540,0.31102,0.12002,0.01196,0.00210,0.01518,0.08626,0.03373,0.01006,2554279.00000
3600,0.30874,0.11527,0.01200,0.00211,0.01527,0.08796,0.03398,0.01006,2404749.20000
3660,0.30430,0.10979,0.01234,0.00211,0.01541,0.08874,0.03371,0.00995,2364661.40000
3720,0.29674,0.10361,0.01242,0.00210,0.01535,0.08741,0.03379,0.00991,2323845.85000
3780,0.28542,0.09750,0.01216,0.00210,0.01499,0.08265,0.03382,0.00992,2171285.25000
3840,0.27495,0.09126,0.01188,0.00210,0.01475,0.07874,0.03373,0.00986,2069926.10000
3900,0.25389,0.07519,0.01157,0.00210,0.01456,0.07600,0.03351,0.00987,1706132.85000
3960,0.24648,0.06332,0.01167,0.00213,0.01472,0.07660,0.03358,0.00987,1310622.90000
