frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.19456,0.06360,0.07764,0.03122,0.00871,3553381.35000
60,0.20578,0.06621,0.08577,0.03145,0.00884,3662944.30000
120,0.17864,0.04963,0.07654,0.03118,0.00829,2176008.00000
180,0.14236,0.03115,0.05855,0.03091,0.00855,1760027.75000
240,0.20759,0.06654,0.08712,0.03154,0.00872,2911562.30000
300,0.23583,0.08231,0.09922,0.03153,0.00878,3211259.30000
360,0.23285,0.08016,0.09842,0.03145,0.00870,3197534.35000
420,0.18365,0.05097,0.08044,0.03093,0.00837,2080022.75000
480,0.19232,0.05624,0.08338,0.03100,0.00841,2143202.10000
540,0.20469,0.06324,0.08778,0.03128,0.00877,2652802.15000
600,0.20826,0.06547,0.08983,0.03121,0.00857,2718203.40000
660,0.14766,0.03343,0.06275,0.03088,0.00800,1551084.95000
720,0.18111,0.05645,0.07170,0.03117,0.00866,2455791.85000
780,0.17615,0.05322,0.07034,0.03088,0.00845,2049572.45000
840,0.11988,0.02297,0.04646,0.03064,0.00793,904159.35000
900,0.19054,0.05573,0.08162,0.03124,0.00857,2916661.70000
960,0.22466,0.07756,0.09291,0.03184,0.00875,3578981.25000
1020,0.20042,0.06448,0.08175,0.03150,0.00843,2767377.40000
1080,0.20000,0.06364,0.08367,0.03121,0.00834,2271770.15000
1140,0.22032,0.07631,0.09043,0.03169,0.00852,2903832.20000
1200,0.19978,0.06451,0.08176,0.03141,0.00873,2424988.15000
1260,0.18430,0.05550,0.07560,0.03114,0.00854,2026572.10000
1320,0.19269,0.06028,0.07914,0.03118,0.00867,2301510.50000
1380,0.19607,0.06110,0.08195,0.03127,0.00872,2404923.35000
1440,0.20459,0.06441,0.08637,0.03168,0.00871,2983851.65000
1500,0.33161,0.11975,0.15728,0.03196,0.00875,5965339.50000
1560,0.35940,0.13466,0.16964,0.03204,0.00878,6425388.50000
1620,0.36096,0.13399,0.17235,0.03190,0.00872,6351675.30000
1680,0.24975,0.07961,0.11639,0.03141,0.00879,3853289.10000
1740,0.17094,0.04495,0.07340,0.03090,0.00813,1807302.25000
1800,0.16859,0.04416,0.07247,0.03080,0.00793,1503980.35000
1860,0.16580,0.04197,0.07205,0.03081,0.00792,1304820.90000
1920,0.16270,0.03895,0.07167,0.03081,0.00793,1271388.55000
1980,0.15800,0.03440,0.07156,0.03080,0.00793,1145896.95000
2040,0.15154,0.03153,0.06934,0.03072,0.00794,833803.50000
2100,0.14597,0.02915,0.06600,0.03064,0.00794,724541.55000
2160,0.13979,0.02585,0.06326,0.03064,0.00794,651558.70000
2220,0.13669,0.02224,0.06363,0.03063,0.00795,606690.35000
2280,0.10001,0.01317,0.03642,0.03070,0.00787,387407.30000
2340,0.17309,0.04960,0.07080,0.03115,0.00845,2264677.55000
2400,0.25968,0.09077,0.11456,0.03188,0.00874,3983123.90000
2460,0.26965,0.09512,0.12038,0.03189,0.00881,4233659.50000
2520,0.24213,0.08395,0.10373,0.03198,0.00878,3774183.40000
2580,0.21757,0.07844,0.08525,0.03156,0.00876,2738790.20000
2640,0.20267,0.06962,0.08021,0.03117,0.00812,2234217.40000
2700,0.18726,0.05400,0.08143,0.03086,0.00793,1876452.05000
2760,0.17668,0.04582,0.07942,0.03082,0.00824,1554160.70000
2820,0.17597,0.04762,0.07670,0.03087,0.00807,1444209.80000
2880,0.15707,0.04077,0.06523,0.03070,0.00792,1270269.50000
2940,0.14748,0.03396,0.06295,0.03061,0.00790,1185182.60000
3000,0.24613,0.08312,0.11027,0.03145,0.00837,3737532.35000
3060,0.32100,0.11798,0.14870,0.03202,0.00878,5419981.65000
3120,0.31705,0.11738,0.14536,0.03202,0.00873,5328916.45000
3180,0.31010,0.11377,0.14203,0.03202,0.00873,4942521.95000
3240,0.27844,0.10119,0.12205,0.03194,0.00880,4355188.50000
3300,0.25932,0.09279,0.11227,0.03175,0.00877,3918437.60000
3360,0.23950,0.08224,0.10268,0.03171,0.00878,3488605.15000
3420,0.22605,0.07656,0.09534,0.03138,0.00879,3070083.20000
3480,0.22198,0.07557,0.09254,0.03123,0.00885,2804740.95000
3540,0.21157,0.06881,0.08924,0.03113,0.00886,2554279.00000
3600,0.20461,0.06719,0.08434,0.03106,0.00881,2404749.20000
3660,0.19884,0.06561,0.07992,0.03120,0.00865,2364661.40000
3720,0.19836,0.06109,0.08500,0.03108,0.00865,2323845.85000
3780,0.19703,0.06174,0.08408,0.03092,0.00855,2171285.25000
3840,0.18976,0.05817,0.08047,0.03078,0.00836,2069926.10000
3900,0.17901,0.05059,0.07757,0.03068,0.00801,1706132.85000
3960,0.17640,0.04456,0.08135,0.03064,0.00781,1310622.90000
4020,0.17210,0.03968,0.08162,0.03065,0.00791,1119696.90000
4080,0.17583,0.04308,0.08232,0.03065,0.00790,958432.85000
4140,0.16496,0.03592,0.07846,0.03065,0.00786,891260.80000
4200,0.14637,0.02766,0.06779,0.03064,0.00785,795127.20000
4260,0.18147,0.05294,0.07686,0.03112,0.00809,2716290.05000
4320,0.41872,0.16780,0.19605,0.03207,0.00872,7242797.15000
4380,0.37108,0.14413,0.17267,0.03196,0.00855,6033148.00000
4440,0.12551,0.02021,0.05498,0.03061,0.00781,867288.75000
4500,0.14020,0.02370,0.06552,0.03066,0.00785,698827.95000
4560,0.13205,0.02249,0.05932,0.03061,0.00776,684012.30000
4620,0.13626,0.02677,0.05914,0.03061,0.00781,872447.40000
4680,0.18971,0.05481,0.08288,0.03109,0.00826,2415162.35000
4740,0.29026,0.10499,0.13073,0.03194,0.00859,5264990.15000
4800,0.41195,0.16457,0.19229,0.03195,0.00886,7605016.10000
4860,0.40634,0.16430,0.18694,0.03193,0.00899,7298187.05000
4920,0.41089,0.16607,0.18968,0.03193,0.00896,7437915.15000
4980,0.44363,0.17973,0.20871,0.03199,0.00891,8149009.90000
5040,0.34048,0.13187,0.15363,0.03181,0.00858,5907876.05000
5100,0.37111,0.14644,0.17036,0.03181,0.00851,6713387.25000
5160,0.46168,0.18881,0.21809,0.03212,0.00857,8461629.95000
5220,0.46680,0.19228,0.21977,0.03211,0.00857,8496360.00000
5280,0.46116,0.18892,0.21709,0.03195,0.00863,8448473.20000
5340,0.36873,0.14667,0.16789,0.03153,0.00874,6607069.85000
5400,0.09441,0.02095,0.02217,0.03077,0.00791,1056943.50000
5460,0.06404,0.00721,0.00597,0.03082,0.00768,344217.00000
