texture_load,variant,renderer,pass,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
off,8,DonutDeferredPrepass,total,0.225615,0.198600,0.370845,0.462141,0.064040,0.466800
off,8,DonutDeferredPrepass,depth_prepass,0.073582,0.063420,0.146209,0.189222,0.007210,0.192280
off,8,DonutDeferredPrepass,geometry,0.099146,0.082600,0.172151,0.218241,0.005970,0.219770
off,8,DonutDeferredPrepass,lighting,0.031268,0.031190,0.031960,0.032111,0.030610,0.032120
off,8,DonutDeferredPrepass,tonemap,0.008415,0.008550,0.008799,0.008963,0.007680,0.008990
off,9,DonutVisGBuffer,total,0.305108,0.288100,0.446734,0.509285,0.118460,0.509840
off,9,DonutVisGBuffer,visibility,0.136056,0.111735,0.275734,0.356763,0.011490,0.357800
off,9,DonutVisGBuffer,visutil_histogram,0.012129,0.012110,0.013509,0.014303,0.007950,0.014430
off,9,DonutVisGBuffer,visutil_prefix,0.002084,0.002090,0.002100,0.002110,0.001910,0.002110
off,9,DonutVisGBuffer,visutil_flatten,0.015010,0.015495,0.016007,0.016364,0.009170,0.016400
off,9,DonutVisGBuffer,gbuffer,0.065105,0.070045,0.074052,0.075747,0.018840,0.076420
off,9,DonutVisGBuffer,lighting,0.033498,0.033700,0.034419,0.034802,0.030300,0.034820
off,9,DonutVisGBuffer,tonemap,0.009353,0.009440,0.009959,0.010240,0.007620,0.010240
on,8,DonutDeferredPrepass,total,0.231718,0.202105,0.375921,0.469164,0.064330,0.473450
on,8,DonutDeferredPrepass,depth_prepass,0.074143,0.063760,0.146426,0.189482,0.007140,0.192440
on,8,DonutDeferredPrepass,geometry,0.103624,0.086105,0.179845,0.223447,0.005940,0.224530
on,8,DonutDeferredPrepass,lighting,0.031604,0.031635,0.032368,0.032445,0.030590,0.032500
on,8,DonutDeferredPrepass,tonemap,0.008690,0.008925,0.009100,0.009301,0.007690,0.009310
on,9,DonutVisGBuffer,total,0.323635,0.307770,0.473405,0.529652,0.119330,0.529980
on,9,DonutVisGBuffer,visibility,0.137177,0.112635,0.277929,0.360299,0.011610,0.361600
on,9,DonutVisGBuffer,visutil_histogram,0.012215,0.012145,0.013465,0.014397,0.007940,0.014470
on,9,DonutVisGBuffer,visutil_prefix,0.002100,0.002110,0.002120,0.002140,0.001930,0.002140
on,9,DonutVisGBuffer,visutil_flatten,0.015053,0.015505,0.016049,0.016406,0.009210,0.016470
on,9,DonutVisGBuffer,gbuffer,0.081301,0.087575,0.094835,0.098625,0.018710,0.098670
on,9,DonutVisGBuffer,lighting,0.033624,0.033730,0.034020,0.035646,0.030330,0.036410
on,9,DonutVisGBuffer,tonemap,0.009653,0.009770,0.010019,0.010061,0.007640,0.010070
