frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.16069,0.06381,0.07082,0.00867,0.00397,3553381.35000
60,0.16544,0.06531,0.07399,0.00839,0.00399,3662944.30000
120,0.11484,0.04165,0.04944,0.00769,0.00361,2176008.00000
180,0.07965,0.02641,0.03027,0.00748,0.00338,1760027.75000
240,0.15186,0.06150,0.06679,0.00750,0.00361,2911562.30000
300,0.17635,0.07355,0.07865,0.00758,0.00386,3211259.30000
360,0.17509,0.07340,0.07705,0.00757,0.00401,3197534.35000
420,0.11196,0.04262,0.04598,0.00752,0.00341,2080022.75000
480,0.11620,0.04460,0.04773,0.00751,0.00362,2143202.10000
540,0.13652,0.05403,0.05884,0.00753,0.00353,2652802.15000
600,0.14059,0.05460,0.06195,0.00767,0.00365,2718203.40000
660,0.07462,0.02398,0.02795,0.00745,0.00328,1551084.95000
720,0.13135,0.05243,0.05612,0.00739,0.00346,2455791.85000
780,0.11689,0.04520,0.04866,0.00737,0.00332,2049572.45000
840,0.05784,0.01564,0.01944,0.00739,0.00324,904159.35000
900,0.14331,0.05470,0.06412,0.00772,0.00370,2916661.70000
960,0.18199,0.07426,0.08244,0.00795,0.00384,3578981.25000
1020,0.15168,0.06127,0.06644,0.00757,0.00345,2767377.40000
1080,0.12803,0.05065,0.05424,0.00746,0.00328,2271770.15000
1140,0.15210,0.06134,0.06594,0.00780,0.00368,2903832.20000
1200,0.13100,0.05227,0.05434,0.00767,0.00363,2424988.15000
1260,0.11251,0.04366,0.04489,0.00761,0.00352,2026572.10000
1320,0.11514,0.04359,0.04826,0.00760,0.00336,2301510.50000
1380,0.12083,0.04627,0.05067,0.00765,0.00352,2404923.35000
1440,0.13631,0.05325,0.05816,0.00774,0.00377,2983851.65000
1500,0.27752,0.10903,0.14173,0.00849,0.00405,5965339.50000
1560,0.31200,0.12722,0.15870,0.00813,0.00407,6425388.50000
1620,0.30897,0.12516,0.15759,0.00822,0.00405,6351675.30000
1680,0.18486,0.07269,0.08651,0.00790,0.00393,3853289.10000
1740,0.09374,0.03381,0.03663,0.00750,0.00330,1807302.25000
1800,0.08392,0.02946,0.03160,0.00749,0.00331,1503980.35000
1860,0.07522,0.02494,0.02753,0.00748,0.00331,1304820.90000
1920,0.07195,0.02300,0.02606,0.00748,0.00329,1271388.55000
1980,0.06650,0.02029,0.02336,0.00746,0.00330,1145896.95000
2040,0.05749,0.01623,0.01898,0.00742,0.00329,833803.50000
2100,0.05446,0.01465,0.01745,0.00739,0.00328,724541.55000
2160,0.05233,0.01313,0.01651,0.00739,0.00325,651558.70000
2220,0.05044,0.01146,0.01624,0.00739,0.00327,606690.35000
2280,0.04254,0.00807,0.01178,0.00736,0.00320,387407.30000
2340,0.12553,0.04773,0.05360,0.00764,0.00357,2264677.55000
2400,0.21616,0.09064,0.09959,0.00797,0.00405,3983123.90000
2460,0.22474,0.09354,0.10552,0.00802,0.00407,4233659.50000
2520,0.18973,0.07730,0.08702,0.00805,0.00391,3774183.40000
2580,0.14728,0.05926,0.06358,0.00768,0.00343,2738790.20000
2640,0.12140,0.04709,0.05116,0.00753,0.00328,2234217.40000
2700,0.10086,0.03670,0.04117,0.00756,0.00328,1876452.05000
2760,0.08616,0.02983,0.03359,0.00760,0.00332,1554160.70000
2820,0.08567,0.02983,0.03289,0.00757,0.00331,1444209.80000
2880,0.07747,0.02590,0.02855,0.00749,0.00329,1270269.50000
2940,0.07207,0.02313,0.02574,0.00748,0.00327,1185182.60000
3000,0.18727,0.07364,0.08880,0.00803,0.00371,3737532.35000
3060,0.27680,0.11343,0.13686,0.00841,0.00400,5419981.65000
3120,0.27532,0.11362,0.13583,0.00839,0.00407,5328916.45000
3180,0.25585,0.10597,0.12416,0.00831,0.00402,4942521.95000
3240,0.22776,0.09452,0.10782,0.00808,0.00406,4355188.50000
3300,0.21224,0.08936,0.09748,0.00784,0.00406,3918437.60000
