frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.17368,0.10577,0.00293,0.00192,0.00257,0.02314,0.00368,0.00280,3553381.35000
60,0.17839,0.10907,0.00300,0.00191,0.00261,0.02388,0.00368,0.00280,3662944.30000
120,0.14046,0.07051,0.00293,0.00192,0.00264,0.02424,0.00367,0.00280,2176008.00000
180,0.11920,0.05011,0.00290,0.00192,0.00265,0.02354,0.00368,0.00280,1760027.75000
240,0.16205,0.09129,0.00297,0.00192,0.00266,0.02507,0.00365,0.00281,2911562.30000
300,0.17355,0.10331,0.00291,0.00192,0.00265,0.02503,0.00367,0.00280,3211259.30000
360,0.17363,0.10277,0.00289,0.00192,0.00265,0.02516,0.00369,0.00279,3197534.35000
420,0.13533,0.06546,0.00293,0.00192,0.00265,0.02436,0.00366,0.00279,2080022.75000
480,0.13753,0.06709,0.00289,0.00192,0.00265,0.02450,0.00366,0.00281,2143202.10000
540,0.15271,0.08229,0.00299,0.00192,0.00266,0.02475,0.00368,0.00282,2652802.15000
600,0.15845,0.08794,0.00308,0.00192,0.00265,0.02484,0.00367,0.00279,2718203.40000
660,0.11377,0.04408,0.00292,0.00192,0.00265,0.02454,0.00366,0.00280,1551084.95000
720,0.14696,0.07738,0.00292,0.00192,0.00265,0.02436,0.00367,0.00280,2455791.85000
780,0.13510,0.06682,0.00284,0.00192,0.00263,0.02319,0.00367,0.00280,2049572.45000
840,0.09661,0.02834,0.00284,0.00192,0.00263,0.02304,0.00368,0.00280,904159.35000
900,0.15947,0.09065,0.00300,0.00192,0.00264,0.02375,0.00366,0.00282,2916661.70000
960,0.18429,0.11393,0.00301,0.00192,0.00265,0.02511,0.00368,0.00282,3578981.25000
1020,0.16082,0.09049,0.00298,0.00192,0.00265,0.02498,0.00367,0.00280,2767377.40000
1080,0.14829,0.07775,0.00289,0.00193,0.00266,0.02517,0.00368,0.00281,2271770.15000
1140,0.16874,0.09743,0.00302,0.00192,0.00267,0.02555,0.00367,0.00280,2903832.20000
1200,0.15251,0.08113,0.00292,0.00192,0.00266,0.02537,0.00370,0.00283,2424988.15000
1260,0.13912,0.06773,0.00286,0.00192,0.00265,0.02520,0.00373,0.00286,2026572.10000
1320,0.14759,0.07689,0.00287,0.00192,0.00266,0.02494,0.00365,0.00280,2301510.50000
1380,0.14939,0.07882,0.00290,0.00192,0.00265,0.02493,0.00367,0.00280,2404923.35000
1440,0.16338,0.09214,0.00298,0.00193,0.00267,0.02546,0.00365,0.00281,2983851.65000
1500,0.28259,0.20631,0.00374,0.00200,0.00309,0.02805,0.00392,0.00340,5965339.50000
1560,0.31167,0.23478,0.00384,0.00207,0.00325,0.02822,0.00398,0.00363,6425388.50000
1620,0.30872,0.23118,0.00387,0.00208,0.00326,0.02859,0.00398,0.00362,6351675.30000
1680,0.19980,0.12717,0.00327,0.00197,0.00284,0.02599,0.00374,0.00294,3853289.10000
1740,0.12628,0.05562,0.00288,0.00193,0.00264,0.02529,0.00366,0.00280,1807302.25000
1800,0.11777,0.04720,0.00286,0.00192,0.00264,0.02516,0.00365,0.00281,1503980.35000
1860,0.11267,0.04166,0.00285,0.00193,0.00265,0.02518,0.00366,0.00281,1304820.90000
1920,0.11114,0.04068,0.00285,0.00193,0.00265,0.02484,0.00366,0.00280,1271388.55000
1980,0.10639,0.03639,0.00286,0.00193,0.00266,0.02474,0.00366,0.00280,1145896.95000
2040,0.09708,0.02767,0.00287,0.00193,0.00265,0.02427,0.00366,0.00282,833803.50000
2100,0.09462,0.02459,0.00286,0.00193,0.00265,0.02413,0.00369,0.00281,724541.55000
2160,0.09238,0.02243,0.00285,0.00192,0.00266,0.02363,0.00365,0.00281,651558.70000
