run-id,run-name,output-filepath,renderer-variant,visibility-debug-mode,donut-linear-gbuffer,variable,to-use-scene,to-load-texture,use-vfc,scene-variant,scene-importer,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,to-set-start-frame,key-frame,profile-window-frames,capture-frames,capture-output-dir,capture-stride,capture-fps,window-width,window-height,seed,material-assign-strategy,material-assign-max-open,material-assign-locality,material-assign-diversity,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,source_material_count,active_material_bin_count,material_bin_compaction_ratio,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_renderer_variant,param_variable,param_to_use_scene,param_to_load_texture,param_use_vfc,param_scene_variant,param_scene_importer,param_scene_path,param_warmup_frames,param_measure_frames,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_to_set_start_frame,param_key_frame,param_profile_window_frames,param_capture_frames,param_capture_stride,param_capture_fps,param_window_width,param_window_height,param_seed,param_material_assign_strategy,param_material_assign_max_open,param_material_assign_locality,param_material_assign_diversity,param_geometry_div,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error,runner_stderr,runner_skip_reason,runner_missing_assets
0,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00000.csv,8,2,0,0,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.47862,depth_prepass,0.09601,geometry,0.32720,lighting,0.03261,tonemap,0.00858,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T12:21:20,playback,0.04944,0.47965,0.88573,0.47862,0.05434,0.06925,0.76045,0.81242,29,4,0.13793,4,0,1,100,8,0,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,0,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00000.csv_0_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-21-38.txt",,
1,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00001.csv,9,2,0,1,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,1,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.67529,visibility,0.15865,visutil_histogram,0.01171,visutil_prefix,0.00238,visutil_flatten,0.01431,gbuffer,0.41750,lighting,0.03245,tonemap,0.00944,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T12:21:38,playback,0.10595,0.74835,1.32205,0.67529,0.10813,0.12899,1.02298,1.19302,29,4,0.13793,4,0,1,100,9,1,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,60,2500,0,2,../../../../../scripts/standard_camera.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,1,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2620} measure_start{60} measure_end{2560} sample_count{2500} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00001.csv_1_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-21-58.txt",,
2,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00002.csv,8,2,0,2,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.23304,depth_prepass,0.07458,geometry,0.10428,lighting,0.03184,tonemap,0.00839,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T12:21:58,playback,0.06301,0.20243,0.61789,0.23304,0.06643,0.13898,0.40957,0.47117,132,3,0.02273,4,0,1,100,8,2,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,2,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{5620} measure_start{60} measure_end{5560} sample_count{5500} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00002.csv_2_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-22-04.txt",,
3,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00003.csv,9,2,0,3,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,1,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.32636,visibility,0.13872,visutil_histogram,0.01225,visutil_prefix,0.00208,visutil_flatten,0.01516,gbuffer,0.08248,lighting,0.03386,tonemap,0.00948,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T12:22:04,playback,0.11776,0.30877,0.68384,0.32636,0.12813,0.22362,0.47760,0.53376,132,3,0.02273,4,0,1,100,9,3,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,5500,0,2,../../../../../scripts/standard_camera_bistro.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,3,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{5620} measure_start{60} measure_end{5560} sample_count{5500} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00003.csv_3_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-22-12.txt",,
4,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00004.csv,8,2,0,4,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroInterior_Wine.fbx,60,1734,1,0,2,../../../../../scripts/standard_camera_bistroin.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.15382,depth_prepass,0.03405,geometry,0.06659,lighting,0.03169,tonemap,0.00817,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T12:22:12,playback,0.10182,0.14730,0.45654,0.15382,0.10374,0.11142,0.19488,0.29434,74,4,0.05405,4,0,1,100,8,4,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroInterior_Wine.fbx,60,1734,0,2,../../../../../scripts/standard_camera_bistroin.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,4,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{1854} measure_start{60} measure_end{1794} sample_count{1734} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00004.csv_4_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-22-18.txt",,
5,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00005.csv,9,2,0,5,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroInterior_Wine.fbx,60,1734,1,0,2,../../../../../scripts/standard_camera_bistroin.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.26223,visibility,0.07314,visutil_histogram,0.01210,visutil_prefix,0.00209,visutil_flatten,0.01550,gbuffer,0.08539,lighting,0.03309,tonemap,0.00918,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T12:22:18,playback,0.18989,0.26106,0.51325,0.26223,0.19734,0.20598,0.31856,0.37213,74,4,0.05405,4,0,1,100,9,5,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/Bistro_v5_2/BistroInterior_Wine.fbx,60,1734,0,2,../../../../../scripts/standard_camera_bistroin.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,5,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{1854} measure_start{60} measure_end{1794} sample_count{1734} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00005.csv_5_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-22-22.txt",,
6,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00006.csv,8,2,0,6,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/San_Miguel/san-miguel.obj,60,2689,1,0,2,../../../../../scripts/standard_camera_sanmiguel.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.77378,depth_prepass,0.30632,geometry,0.41153,lighting,0.03274,tonemap,0.00863,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T12:22:22,playback,0.07248,0.72864,1.75123,0.77378,0.08131,0.27174,1.39763,1.55235,288,5,0.01736,4,0,1,100,8,6,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/San_Miguel/san-miguel.obj,60,2689,0,2,../../../../../scripts/standard_camera_sanmiguel.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,6,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2809} measure_start{60} measure_end{2749} sample_count{2689} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00006.csv_6_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-22-57.txt",,
7,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00007.csv,9,2,0,7,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/San_Miguel/san-miguel.obj,60,2689,1,0,2,../../../../../scripts/standard_camera_sanmiguel.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.82628,visibility,0.62082,visutil_histogram,0.01427,visutil_prefix,0.00240,visutil_flatten,0.01627,gbuffer,0.09943,lighting,0.03356,tonemap,0.00954,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T12:22:57,playback,0.14301,0.80918,1.59811,0.82628,0.15930,0.37414,1.36291,1.48781,288,5,0.01736,4,0,1,100,9,7,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/San_Miguel/san-miguel.obj,60,2689,0,2,../../../../../scripts/standard_camera_sanmiguel.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,7,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{2809} measure_start{60} measure_end{2749} sample_count{2689} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00007.csv_7_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-23-21.txt",,
8,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00008.csv,8,2,0,8,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/SunTemple_v4/SunTemple.fbx,60,2976,1,0,2,../../../../../scripts/standard_camera_suntemple.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.12891,depth_prepass,0.02670,geometry,0.04888,lighting,0.03196,tonemap,0.00805,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutDeferredPrepass,2026-07-30T12:23:21,playback,0.08451,0.12630,0.29901,0.12891,0.08739,0.10426,0.15293,0.17040,48,2,0.04167,4,0,1,100,8,8,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/SunTemple_v4/SunTemple.fbx,60,2976,0,2,../../../../../scripts/standard_camera_suntemple.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,8,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{3096} measure_start{60} measure_end{3036} sample_count{2976} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00008.csv_8_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-23-29.txt",,
9,36_many_scene,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00009.csv,9,2,0,9,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/SunTemple_v4/SunTemple.fbx,60,2976,1,0,2,../../../../../scripts/standard_camera_suntemple.csv,10,0,0,60,0,captures,1,60,1280,720,0,1,255,1,1,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,total,0.22854,visibility,0.04996,visutil_histogram,0.01152,visutil_prefix,0.00213,visutil_flatten,0.01510,gbuffer,0.07469,lighting,0.03386,tonemap,0.00904,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,DonutVisGBuffer,2026-07-30T12:23:29,playback,0.16301,0.22698,0.42621,0.22854,0.16778,0.19891,0.25914,0.36707,48,2,0.04167,4,0,1,100,9,9,1,1,1,0,assimp,../../../../../assets/scenes/unpacked/SunTemple_v4/SunTemple.fbx,60,2976,0,2,../../../../../scripts/standard_camera_suntemple.csv,10,0,0,60,0,1,60,1280,720,0,1,255,1.0,1.0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,256,1,100,36_many_scene,0,9,0,success,0,,"Scene CPU cache disabled; rebuilding source scene.
[FrameCounter] frames{3096} measure_start{60} measure_end{3036} sample_count{2976} window_frames{60}
Saved CSV: C:\Users\mgkim15\AppData\Local\Temp\tvbperf_li7_k82g\run_00009.csv_9_result.csv
Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-30_12-23-32.txt",,
