frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.19925,0.06365,0.08222,0.03157,0.00862,3553381.35000
60,0.21945,0.06755,0.09315,0.03187,0.00863,3662944.30000
120,0.18428,0.05042,0.08153,0.03145,0.00821,2176008.00000
180,0.14586,0.03152,0.06173,0.03137,0.00833,1760027.75000
240,0.21602,0.06699,0.09399,0.03226,0.00863,2911562.30000
300,0.24490,0.08315,0.10676,0.03232,0.00865,3211259.30000
360,0.24054,0.08053,0.10517,0.03206,0.00860,3197534.35000
420,0.18757,0.05138,0.08306,0.03152,0.00845,2080022.75000
480,0.19561,0.05661,0.08604,0.03136,0.00831,2143202.10000
540,0.21032,0.06374,0.09151,0.03159,0.00844,2652802.15000
600,0.21346,0.06638,0.09381,0.03132,0.00829,2718203.40000
660,0.15143,0.03383,0.06542,0.03103,0.00802,1551084.95000
720,0.18908,0.05664,0.07872,0.03181,0.00846,2455791.85000
780,0.18039,0.05342,0.07354,0.03163,0.00833,2049572.45000
840,0.12308,0.02332,0.04762,0.03132,0.00799,904159.35000
900,0.19462,0.05611,0.08508,0.03140,0.00838,2916661.70000
960,0.23835,0.07793,0.10315,0.03234,0.00863,3578981.25000
1020,0.20981,0.06502,0.08941,0.03217,0.00865,2767377.40000
1080,0.20610,0.06416,0.08801,0.03180,0.00851,2271770.15000
1140,0.23035,0.07707,0.09820,0.03215,0.00852,2903832.20000
1200,0.20533,0.06518,0.08627,0.03195,0.00834,2424988.15000
1260,0.18732,0.05609,0.07782,0.03155,0.00817,2026572.10000
1320,0.19728,0.06108,0.08231,0.03163,0.00852,2301510.50000
1380,0.20374,0.06166,0.08567,0.03174,0.00849,2404923.35000
1440,0.21310,0.06574,0.09338,0.03209,0.00860,2983851.65000
1500,0.34610,0.12433,0.16696,0.03251,0.00861,5965339.50000
1560,0.37443,0.13858,0.18063,0.03241,0.00874,6425388.50000
1620,0.37362,0.13755,0.18133,0.03219,0.00863,6351675.30000
1680,0.25843,0.08077,0.12142,0.03175,0.00869,3853289.10000
1740,0.17282,0.04517,0.07477,0.03116,0.00866,1807302.25000
1800,0.16978,0.04432,0.07406,0.03097,0.00808,1503980.35000
1860,0.16613,0.04196,0.07342,0.03080,0.00797,1304820.90000
1920,0.16301,0.03895,0.07331,0.03080,0.00799,1271388.55000
1980,0.15833,0.03445,0.07279,0.03073,0.00797,1145896.95000
2040,0.15266,0.03162,0.07078,0.03061,0.00798,833803.50000
2100,0.14696,0.02926,0.06691,0.03060,0.00797,724541.55000
2160,0.14183,0.02600,0.06458,0.03070,0.00796,651558.70000
2220,0.13794,0.02238,0.06470,0.03066,0.00797,606690.35000
2280,0.10161,0.01329,0.03719,0.03089,0.00791,387407.30000
2340,0.17883,0.05015,0.07528,0.03179,0.00834,2264677.55000
2400,0.26914,0.09110,0.12323,0.03249,0.00862,3983123.90000
2460,0.28142,0.09580,0.12851,0.03250,0.00865,4233659.50000
2520,0.25392,0.08532,0.11381,0.03247,0.00862,3774183.40000
2580,0.22518,0.07890,0.09131,0.03225,0.00873,2738790.20000
