frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.20564,0.06908,0.00967,0.00201,0.01168,0.04248,0.03098,0.00790,1876737.05000
60,0.25719,0.09965,0.01068,0.00208,0.01294,0.05946,0.03192,0.00843,2369595.65000
120,0.34849,0.15225,0.01302,0.00208,0.01580,0.09053,0.03332,0.00962,3095099.55000
180,0.30802,0.10879,0.01289,0.00209,0.01580,0.09318,0.03350,0.00966,2194734.50000
240,0.25616,0.06936,0.01164,0.00209,0.01529,0.08431,0.03308,0.00905,1347893.35000
300,0.29489,0.10269,0.01241,0.00209,0.01560,0.08763,0.03327,0.00904,2126524.85000
360,0.27988,0.08832,0.01236,0.00210,0.01570,0.08759,0.03320,0.00909,1749674.70000
420,0.22505,0.04210,0.01167,0.00208,0.01538,0.08111,0.03250,0.00897,677965.90000
480,0.22862,0.04083,0.01174,0.00209,0.01552,0.08584,0.03241,0.00891,629764.55000
540,0.28232,0.08552,0.01276,0.00209,0.01597,0.09178,0.03323,0.00937,1568272.95000
600,0.27461,0.07656,0.01290,0.00209,0.01601,0.09289,0.03310,0.00958,1357401.40000
660,0.25278,0.05952,0.01254,0.00209,0.01591,0.08915,0.03292,0.00962,954317.80000
720,0.21303,0.03400,0.01171,0.00210,0.01552,0.07678,0.03299,0.00871,356691.10000
780,0.25731,0.06586,0.01271,0.00209,0.01591,0.08745,0.03312,0.00934,1117913.15000
840,0.30362,0.10395,0.01318,0.00209,0.01601,0.09351,0.03338,0.00936,1994698.65000
900,0.31629,0.11184,0.01316,0.00209,0.01629,0.09807,0.03346,0.00978,2277518.10000
960,0.31588,0.11163,0.01325,0.00209,0.01635,0.09576,0.03342,0.00978,2285540.35000
1020,0.27980,0.08082,0.01274,0.00210,0.01592,0.09385,0.03294,0.00998,1514240.90000
1080,0.22490,0.03546,0.01176,0.00210,0.01552,0.08746,0.03217,0.00927,499119.15000
1140,0.21885,0.03160,0.01178,0.00210,0.01541,0.08493,0.03211,0.00949,431415.85000
1200,0.21529,0.03269,0.01170,0.00210,0.01532,0.08022,0.03246,0.00893,533153.15000
1260,0.20026,0.02346,0.01112,0.00208,0.01513,0.07592,0.03251,0.00857,198208.15000
1320,0.20400,0.02213,0.01106,0.00210,0.01528,0.08082,0.03228,0.00887,81244.90000
1380,0.28431,0.08914,0.01226,0.00209,0.01565,0.09056,0.03306,0.00955,1725090.35000
1440,0.27445,0.08313,0.01192,0.00209,0.01543,0.08785,0.03295,0.00920,1681235.90000
1500,0.28929,0.09356,0.01240,0.00208,0.01574,0.09033,0.03320,0.00965,1851069.80000
1560,0.27483,0.08323,0.01210,0.00209,0.01556,0.08722,0.03316,0.00914,1644395.15000
1620,0.25205,0.06755,0.01187,0.00208,0.01531,0.08181,0.03301,0.00889,1268010.10000
1680,0.22604,0.04558,0.01174,0.00209,0.01527,0.07849,0.03259,0.00839,796843.33333
