frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,0.10877,0.04413,0.04597,0.00367,0.00251,2955774.10000
60,0.12456,0.05196,0.05435,0.00365,0.00247,3390293.45000
120,0.07141,0.02516,0.02775,0.00367,0.00248,1763572.05000
180,0.06559,0.02261,0.02493,0.00367,0.00247,1334104.85000
240,0.07244,0.02564,0.02856,0.00367,0.00248,1563999.05000
300,0.06098,0.02075,0.02221,0.00365,0.00247,942806.45000
360,0.04903,0.01455,0.01631,0.00365,0.00247,651664.20000
420,0.04078,0.01020,0.01224,0.00369,0.00248,531526.60000
480,0.03268,0.00618,0.00807,0.00372,0.00246,335265.25000
540,0.03441,0.00697,0.00907,0.00368,0.00248,394504.35000
600,0.17719,0.07684,0.08056,0.00401,0.00255,4763095.10000
660,0.25803,0.11466,0.12184,0.00425,0.00321,7008309.50000
720,0.26136,0.11714,0.12207,0.00427,0.00318,6851715.25000
780,0.26141,0.11593,0.12327,0.00430,0.00320,6833477.10000
840,0.30103,0.13569,0.14387,0.00428,0.00319,7736553.50000
900,0.29936,0.13386,0.14376,0.00431,0.00318,7912527.20000
960,0.22974,0.10148,0.10773,0.00418,0.00282,6364935.35000
1020,0.19142,0.08334,0.08809,0.00406,0.00257,5390683.35000
1080,0.15415,0.06515,0.06930,0.00371,0.00250,4144249.10000
1140,0.09895,0.03931,0.04138,0.00365,0.00248,2469341.80000
1200,0.10930,0.04415,0.04724,0.00364,0.00246,2921893.50000
1260,0.06968,0.02495,0.02650,0.00366,0.00247,1600253.25000
1320,0.07565,0.02772,0.02980,0.00369,0.00247,1828604.05000
1380,0.19397,0.08356,0.08915,0.00418,0.00288,5316520.45000
1440,0.28485,0.12665,0.13422,0.00430,0.00321,7541994.90000
1500,0.34867,0.15850,0.16820,0.00430,0.00317,9143355.45000
1560,0.38577,0.17675,0.18711,0.00431,0.00320,10284076.30000
1620,0.40158,0.18491,0.19490,0.00431,0.00319,10793619.40000
1680,0.40408,0.18507,0.19714,0.00434,0.00319,11201993.95000
1740,0.39480,0.17815,0.19457,0.00430,0.00320,11196844.40000
1800,0.40003,0.18113,0.19494,0.00432,0.00318,11241036.30000
1860,0.40718,0.18573,0.19952,0.00434,0.00320,11241007.00000
1920,0.41957,0.19037,0.20722,0.00442,0.00320,11240943.40000
1980,0.39527,0.18068,0.19249,0.00452,0.00326,10257777.50000
2040,0.26698,0.11815,0.12793,0.00424,0.00304,7118236.70000
2100,0.16148,0.06933,0.07300,0.00389,0.00273,4779189.60000
2160,0.06838,0.02398,0.02589,0.00368,0.00248,1653801.50000
2220,0.02921,0.00493,0.00573,0.00374,0.00242,250198.20000
2280,0.02355,0.00245,0.00248,0.00387,0.00237,81778.25000
2340,0.01991,0.00108,0.00056,0.00389,0.00232,0.00000
2400,0.01993,0.00112,0.00055,0.00389,0.00231,0.00000
2460,0.02006,0.00112,0.00055,0.00387,0.00230,0.00000
