frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.61432,0.53950,0.00424,0.00212,0.00305,0.02530,0.00362,0.00333,11242987.85000
60,0.58901,0.51263,0.00428,0.00211,0.00308,0.02520,0.00361,0.00331,11001266.85000
120,0.49668,0.42221,0.00420,0.00211,0.00307,0.02546,0.00361,0.00328,8882636.90000
180,0.31409,0.24213,0.00369,0.00200,0.00273,0.02499,0.00344,0.00308,5562476.95000
240,0.33380,0.25986,0.00389,0.00207,0.00297,0.02563,0.00356,0.00315,5857320.75000
300,0.16113,0.09412,0.00312,0.00192,0.00242,0.02300,0.00317,0.00259,2632827.75000
360,0.08243,0.01592,0.00279,0.00192,0.00235,0.02272,0.00316,0.00259,429792.15000
420,0.62071,0.54654,0.00411,0.00208,0.00299,0.02590,0.00355,0.00319,12123684.65000
480,0.80564,0.73029,0.00438,0.00212,0.00310,0.02618,0.00364,0.00332,16188193.40000
540,0.77449,0.69638,0.00435,0.00214,0.00309,0.02656,0.00361,0.00330,15301253.70000
600,0.60865,0.53557,0.00469,0.00295,0.00339,0.02736,0.00365,0.00330,11790077.35000
660,0.43315,0.36193,0.00439,0.00275,0.00324,0.02682,0.00393,0.00307,7729759.65000
720,0.14720,0.08013,0.00314,0.00192,0.00241,0.02310,0.00317,0.00260,2193486.80000
780,0.07590,0.00897,0.00281,0.00196,0.00236,0.02278,0.00319,0.00261,135813.00000
