geometry-div,renderer_name,pass_time_avg_ms,pass
8,DonutDeferredPrepass,0.05798,total
8,DonutVisGBuffer,0.11481,total
16,DonutDeferredPrepass,0.05861,total
16,DonutVisGBuffer,0.11494,total
24,DonutDeferredPrepass,0.05918,total
24,DonutVisGBuffer,0.11494,total
32,DonutDeferredPrepass,0.05993,total
32,DonutVisGBuffer,0.11507,total
40,DonutDeferredPrepass,0.06095,total
40,DonutVisGBuffer,0.11529,total
48,DonutDeferredPrepass,0.06103,total
48,DonutVisGBuffer,0.11546,total
56,DonutDeferredPrepass,0.06139,total
56,DonutVisGBuffer,0.11617,total
64,DonutDeferredPrepass,0.0621,total
64,DonutVisGBuffer,0.1164075,total
72,DonutDeferredPrepass,0.06255,total
72,DonutVisGBuffer,0.11682,total
80,DonutDeferredPrepass,0.0631,total
80,DonutVisGBuffer,0.11705,total
88,DonutDeferredPrepass,0.0637,total
88,DonutVisGBuffer,0.11697,total
96,DonutDeferredPrepass,0.06415,total
96,DonutVisGBuffer,0.11701,total
104,DonutDeferredPrepass,0.06453,total
104,DonutVisGBuffer,0.11696,total
112,DonutDeferredPrepass,0.06462,total
112,DonutVisGBuffer,0.1174,total
120,DonutDeferredPrepass,0.0652,total
120,DonutVisGBuffer,0.11803,total
128,DonutDeferredPrepass,0.06572,total
128,DonutVisGBuffer,0.11845,total
8,DonutDeferredPrepass,0.00284,depth_prepass
8,DonutDeferredPrepass,0.00483,geometry
8,DonutDeferredPrepass,0.03053,lighting
8,DonutDeferredPrepass,0.008,tonemap
8,DonutVisGBuffer,0.02245,gbuffer
8,DonutVisGBuffer,0.03053,lighting
8,DonutVisGBuffer,0.00797,tonemap
8,DonutVisGBuffer,0.00358,visibility
8,DonutVisGBuffer,0.00946,visutil_flatten
8,DonutVisGBuffer,0.0079,visutil_histogram
8,DonutVisGBuffer,0.00192,visutil_prefix
16,DonutDeferredPrepass,0.00312,depth_prepass
16,DonutDeferredPrepass,0.00514,geometry
16,DonutDeferredPrepass,0.03055,lighting
16,DonutDeferredPrepass,0.00804,tonemap
16,DonutVisGBuffer,0.02268,gbuffer
16,DonutVisGBuffer,0.0303,lighting
16,DonutVisGBuffer,0.00798,tonemap
16,DonutVisGBuffer,0.00376,visibility
16,DonutVisGBuffer,0.00942,visutil_flatten
16,DonutVisGBuffer,0.00789,visutil_histogram
16,DonutVisGBuffer,0.00192,visutil_prefix
24,DonutDeferredPrepass,0.00328,depth_prepass
24,DonutDeferredPrepass,0.00548,geometry
24,DonutDeferredPrepass,0.03057,lighting
24,DonutDeferredPrepass,0.00806,tonemap
24,DonutVisGBuffer,0.02258,gbuffer
24,DonutVisGBuffer,0.03033,lighting
24,DonutVisGBuffer,0.00799,tonemap
24,DonutVisGBuffer,0.00403,visibility
24,DonutVisGBuffer,0.00938,visutil_flatten
24,DonutVisGBuffer,0.00791,visutil_histogram
24,DonutVisGBuffer,0.00192,visutil_prefix
32,DonutDeferredPrepass,0.00372,depth_prepass
32,DonutDeferredPrepass,0.00591,geometry
32,DonutDeferredPrepass,0.0305,lighting
32,DonutDeferredPrepass,0.00801,tonemap
32,DonutVisGBuffer,0.02253,gbuffer
32,DonutVisGBuffer,0.03035,lighting
32,DonutVisGBuffer,0.00801,tonemap
32,DonutVisGBuffer,0.00447,visibility
32,DonutVisGBuffer,0.00938,visutil_flatten
32,DonutVisGBuffer,0.0079,visutil_histogram
32,DonutVisGBuffer,0.00192,visutil_prefix
40,DonutDeferredPrepass,0.00391,depth_prepass
40,DonutDeferredPrepass,0.00631,geometry
40,DonutDeferredPrepass,0.03056,lighting
40,DonutDeferredPrepass,0.00804,tonemap
40,DonutVisGBuffer,0.02258,gbuffer
40,DonutVisGBuffer,0.03033,lighting
40,DonutVisGBuffer,0.00798,tonemap
40,DonutVisGBuffer,0.00482,visibility
40,DonutVisGBuffer,0.00938,visutil_flatten
40,DonutVisGBuffer,0.0079,visutil_histogram
40,DonutVisGBuffer,0.00192,visutil_prefix
48,DonutDeferredPrepass,0.00402,depth_prepass
48,DonutDeferredPrepass,0.00661,geometry
48,DonutDeferredPrepass,0.03057,lighting
48,DonutDeferredPrepass,0.00807,tonemap
48,DonutVisGBuffer,0.02252,gbuffer
48,DonutVisGBuffer,0.03035,lighting
48,DonutVisGBuffer,0.00798,tonemap
48,DonutVisGBuffer,0.00503,visibility
48,DonutVisGBuffer,0.00938,visutil_flatten
48,DonutVisGBuffer,0.00791,visutil_histogram
48,DonutVisGBuffer,0.00192,visutil_prefix
56,DonutDeferredPrepass,0.00392,depth_prepass
56,DonutDeferredPrepass,0.0071,geometry
56,DonutDeferredPrepass,0.03055,lighting
56,DonutDeferredPrepass,0.00805,tonemap
56,DonutVisGBuffer,0.02252,gbuffer
56,DonutVisGBuffer,0.03058,lighting
56,DonutVisGBuffer,0.008,tonemap
56,DonutVisGBuffer,0.00525,visibility
56,DonutVisGBuffer,0.00938,visutil_flatten
56,DonutVisGBuffer,0.0079,visutil_histogram
56,DonutVisGBuffer,0.00192,visutil_prefix
64,DonutDeferredPrepass,0.0040825,depth_prepass
64,DonutDeferredPrepass,0.0075275,geometry
64,DonutDeferredPrepass,0.03058,lighting
64,DonutDeferredPrepass,0.008035,tonemap
64,DonutVisGBuffer,0.0225625,gbuffer
64,DonutVisGBuffer,0.0303275,lighting
64,DonutVisGBuffer,0.00799,tonemap
64,DonutVisGBuffer,0.0054575000000000005,visibility
64,DonutVisGBuffer,0.009399999999999999,visutil_flatten
64,DonutVisGBuffer,0.0079025,visutil_histogram
64,DonutVisGBuffer,0.00192,visutil_prefix
72,DonutDeferredPrepass,0.00438,depth_prepass
72,DonutDeferredPrepass,0.00785,geometry
72,DonutDeferredPrepass,0.03059,lighting
72,DonutDeferredPrepass,0.00798,tonemap
72,DonutVisGBuffer,0.02277,gbuffer
72,DonutVisGBuffer,0.03033,lighting
72,DonutVisGBuffer,0.00799,tonemap
72,DonutVisGBuffer,0.00568,visibility
72,DonutVisGBuffer,0.00938,visutil_flatten
72,DonutVisGBuffer,0.0079,visutil_histogram
72,DonutVisGBuffer,0.00192,visutil_prefix
80,DonutDeferredPrepass,0.00445,depth_prepass
80,DonutDeferredPrepass,0.00834,geometry
80,DonutDeferredPrepass,0.03057,lighting
80,DonutDeferredPrepass,0.00803,tonemap
80,DonutVisGBuffer,0.0226,gbuffer
80,DonutVisGBuffer,0.03033,lighting
80,DonutVisGBuffer,0.008,tonemap
80,DonutVisGBuffer,0.00581,visibility
80,DonutVisGBuffer,0.00938,visutil_flatten
80,DonutVisGBuffer,0.0079,visutil_histogram
80,DonutVisGBuffer,0.00192,visutil_prefix
88,DonutDeferredPrepass,0.00471,depth_prepass
88,DonutDeferredPrepass,0.00868,geometry
88,DonutDeferredPrepass,0.03055,lighting
88,DonutDeferredPrepass,0.00803,tonemap
88,DonutVisGBuffer,0.02253,gbuffer
88,DonutVisGBuffer,0.03033,lighting
88,DonutVisGBuffer,0.00798,tonemap
88,DonutVisGBuffer,0.00623,visibility
88,DonutVisGBuffer,0.00938,visutil_flatten
88,DonutVisGBuffer,0.0079,visutil_histogram
88,DonutVisGBuffer,0.00192,visutil_prefix
96,DonutDeferredPrepass,0.00494,depth_prepass
96,DonutDeferredPrepass,0.00891,geometry
96,DonutDeferredPrepass,0.03054,lighting
96,DonutDeferredPrepass,0.00803,tonemap
96,DonutVisGBuffer,0.02255,gbuffer
96,DonutVisGBuffer,0.03035,lighting
96,DonutVisGBuffer,0.008,tonemap
96,DonutVisGBuffer,0.00647,visibility
96,DonutVisGBuffer,0.00938,visutil_flatten
96,DonutVisGBuffer,0.00791,visutil_histogram
96,DonutVisGBuffer,0.00192,visutil_prefix
104,DonutDeferredPrepass,0.00511,depth_prepass
104,DonutDeferredPrepass,0.00909,geometry
104,DonutDeferredPrepass,0.0305,lighting
104,DonutDeferredPrepass,0.00804,tonemap
104,DonutVisGBuffer,0.02253,gbuffer
104,DonutVisGBuffer,0.03026,lighting
104,DonutVisGBuffer,0.00796,tonemap
104,DonutVisGBuffer,0.00674,visibility
104,DonutVisGBuffer,0.00938,visutil_flatten
104,DonutVisGBuffer,0.0079,visutil_histogram
104,DonutVisGBuffer,0.00192,visutil_prefix
112,DonutDeferredPrepass,0.00525,depth_prepass
112,DonutDeferredPrepass,0.00919,geometry
112,DonutDeferredPrepass,0.03049,lighting
112,DonutDeferredPrepass,0.00803,tonemap
112,DonutVisGBuffer,0.02255,gbuffer
112,DonutVisGBuffer,0.03033,lighting
112,DonutVisGBuffer,0.00802,tonemap
112,DonutVisGBuffer,0.00693,visibility
112,DonutVisGBuffer,0.00938,visutil_flatten
112,DonutVisGBuffer,0.00791,visutil_histogram
112,DonutVisGBuffer,0.00192,visutil_prefix
120,DonutDeferredPrepass,0.0054,depth_prepass
120,DonutDeferredPrepass,0.0094,geometry
120,DonutDeferredPrepass,0.03052,lighting
120,DonutDeferredPrepass,0.00804,tonemap
120,DonutVisGBuffer,0.02255,gbuffer
120,DonutVisGBuffer,0.03038,lighting
120,DonutVisGBuffer,0.00797,tonemap
120,DonutVisGBuffer,0.00728,visibility
